stem,POS,source,totalImages
water,NOUN,user comment,1.0
want,VERB,user comment,1.0
analyse,PROPN,user comment,1.0
ammount,NOUN,user comment,1.0
co-occurrence-matrix,,literature,
coherence,,literature,
compactness,,literature,
compression,,literature,
congestion,,literature,
congestion,,literature,
entropy,,literature,
harmony,,literature,
heterogeneity,,literature,
luminance,,literature,
material,,literature,
meaningfulness,,literature,
perceivability,,literature,
prototypicality,,literature,
skeleton,,literature,
strength,,literature,
symmetry,,literature,
turn,,literature,
cognitive-load,,literature,
