oar_term,n_phrase_match,matched_phrases
unclear_color_value_meaning,55,axis meaning | black color | black-to-white/color gradient | blue color | clear color uses
high_color_variety,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
varied_color_usage,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
black_color_present,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
distinct_color_variety,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
low_color_diversity,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
limited_color_variety,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
same_color_used,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
only_black_color,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
color_choice_complex,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
low_color_distinguishability,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
bold_color_usage,32,black color | black-to-white/color gradient | blue color | bold colors | clear color uses
less_color_variety,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
varied_color_wording,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
insufficient_color_variety,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
orange_color_complex,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
different_colors_distinguishable,32,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
distinct_color_separation,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
good_color_choices,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
color_shades_vary,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
poor_color_choices,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
no_color_guide_present,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
green_color_present,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
yellow_color_present,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
color_adds_factor_to_consider,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
boring_color_choice,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
various_color_shades,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
limited_color_range,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
high_color_saturation,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
color_adds_complexity,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
excessive_color_count,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
color_coded_separation,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
weird_color_palette,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
high_color_variability,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
color_coding_present,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
limited_color_count,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
very_weird_color,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
contrasting_color_scheme,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
poor_color_choice,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
undefined_color,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
gradient_color_transition,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
discordant_color_choice,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
dark_green_color,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
harsh_red_color,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
distinct_color_hues,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
wide_color_range,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
notable_color_differences,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
high_color_intensity,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
grouped_by_color,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
dark_green_color_used,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
limited_color_segments,31,black color | black-to-white/color gradient | blue color | clear color uses | color details
multiple_unique_shapes,31,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
multiple_colors_used,30,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
layered_shapes_and_details,30,abstract shapes or colors | categorized shapes | clear colors/shapes | color details | curves and shapes
cluttered_data_elements,30,clustered data/info | cluttered labels/annotations | data intersection | data trend | dense points/lines/shapes/elements
multiple_colors_distributed,30,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
complex_arrangement_of_shapes,30,abstract shapes or colors | categorized shapes | clear colors/shapes | clear text arrangement/density | color variety/arrangement/distribution
varied_number_of_shapes,30,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
multiple_colors_present,30,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
multiple_distinct_colors,30,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
high_number_of_shapes,30,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
multiple_colors_same_area,30,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
readable_text_elements,30,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | dense points/lines/shapes/elements
different_colors_used,29,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
number_of_colors,29,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
many_data_aspects_present,29,amount of / too many colors | clustered data/info | data intersection | data trend | dense/cluttered data/info
orange_colored_shapes,29,abstract shapes or colors | categorized shapes | clear colored bars/charts | clear colors/shapes | colored bars/charts
different_colors_present,29,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
all_colors_very_different,29,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
number_of_colors_manageable,29,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
high_number_of_colors,29,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
multiple_distinct_shapes,29,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
many_data_items,29,amount of / too many colors | clustered data/info | data intersection | data trend | dense/cluttered data/info
many_text_boxes_present,29,amount of / too many colors | clear text arrangement/density | clear text/scale/information | code/text | context/text/description
unclear_data_message,29,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
overlapping_data_elements,29,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
multiple_shapes_present,29,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
multiple_scale_lines,28,bars as individual lines | clear text/scale/information | color scale/scheme | curved lines | dense points/lines/shapes/elements
large_amount_of_shapes,28,abstract shapes or colors | amount of / too many colors | amount of words/context/numbers | categorized shapes | clear colors/shapes
many_visual_elements,28,amount of / too many colors | dense points/lines/shapes/elements | few points/lines/shapes/elements | intense/too many colors | less organized elements
random_like_shapes,28,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
variety_of_shapes,28,abstract shapes or colors | categorized shapes | clear colors/shapes | color variety/arrangement/distribution | curves and shapes
range_and_contrast_of_colors,28,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
higher_contrast_colors,28,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
information_over_many_years,28,amount of / too many colors | change over time | clear text/scale/information | diverse information | factual information
numerous_text_elements,27,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | dense points/lines/shapes/elements
many_elements_same_area,27,amount of / too many colors | dense points/lines/shapes/elements | few points/lines/shapes/elements | intense/too many colors | less organized elements
curve_lines_simple,27,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
few_colors_used,27,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
variety_of_bright_colors,27,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
many_box_elements,27,amount of / too many colors | dense points/lines/shapes/elements | few points/lines/shapes/elements | intense/too many colors | less organized elements
wide_variety_of_colors,27,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
visually_confusing_lines,27,ambiguous/confusing colors | bars as individual lines | confusing connection | curved lines | dense points/lines/shapes/elements
sparse_data_elements,27,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
variety_of_colors,27,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
absent_text_elements,27,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | dense points/lines/shapes/elements
more_unrelated_data_elements,27,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
shapes_aid_interpretation,27,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
many_individual_elements,27,amount of / too many colors | bars as individual lines | dense points/lines/shapes/elements | few points/lines/shapes/elements | intense/too many colors
country_shapes_familiar,26,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
multiple_data_points,26,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
similar_colors,26,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
similar_colors_used,26,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
too_many_elements,26,amount of / too many colors | dense points/lines/shapes/elements | few points/lines/shapes/elements | intense/too many colors | less organized elements
information_shown_in_text,26,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | crop production shown
odd_irregular_shapes,26,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
multiple_shape_types,26,colored shape | dense/cluttered shape | hard to read shape | multiple aspects | multiple features/elements/graphs
complex_geographic_shapes,26,abstract shapes or colors | categorized shapes | clear colors/shapes | complex design | curves and shapes
colors_aid_interpretation,26,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
less_uniform_shapes,26,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
distinct_recognizable_shapes,26,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
axis_data_present,26,axis meaning | axis numbers | axis scales | clear title/axis/label | clustered data/info
unknown_data_meaning,26,axis meaning | clustered data/info | data intersection | data trend | dense/cluttered data/info
information_hard_to_extract,26,clear text/scale/information | diverse information | easy to identify/extract/find features | factual information | field information
complex_geometric_shapes,26,abstract shapes or colors | categorized shapes | clear colors/shapes | complex design | curves and shapes
many_elements_present,26,amount of / too many colors | dense points/lines/shapes/elements | few points/lines/shapes/elements | intense/too many colors | less organized elements
multiple_horizontal_lines,26,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
colors_harder_to_look_at,26,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
metric_meaning_unclear,26,axis meaning | different word meaning | distracting/confusing/unclear | easy to derive meaning | label meaning
colors_too_similar,26,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
many_elements_intermingled,26,amount of / too many colors | dense points/lines/shapes/elements | few points/lines/shapes/elements | intense/too many colors | less organized elements
similar_looking_colors,26,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
recognizable_country_shapes,26,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
high_quantity_of_shapes,26,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
provides_more_data_information,26,clear text/scale/information | clustered data/info | data intersection | data trend | dense/cluttered data/info
shapes_more_complex,26,abstract shapes or colors | categorized shapes | clear colors/shapes | complex design | curves and shapes
multiple_overlapping_lines,26,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
visually_harsh_colors,26,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
multiple_lines_present,25,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
difficult_to_read_words,25,amount of words/context/numbers | description easy to read | easier to interpret/read/understand | easier to read | easy to interpret/read/understand
multiple_interconnecting_lines,25,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
colors_draw_attention,25,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | attention/squinting to understand
multiple_lines_intersecting,25,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
mixes_several_colors,25,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
various_geometrical_shapes,25,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
clear_text,25,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
axis_measurements_clear,25,axis meaning | axis numbers | axis scales | clear and concise | clear color uses
colors_densely_clustered,25,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
varied_colors_present,25,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
colors_more_appealing,25,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
colors_represent_groups,25,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
varied_shapes_present,25,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
soft_appealing_colors,25,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
varied_dot_colors,25,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
multiple_crossing_lines,25,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
ambiguous_colors_used,25,abstract shapes or colors | ambiguous numbers | ambiguous/confusing colors | amount of / too many colors | appealing colors
varied_vibrant_colors,25,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
clearer_distinct_colors,25,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
numbers_lack_meaning,25,ambiguous numbers | amount of words/context/numbers | axis meaning | axis numbers | different word meaning
shapes_represent_subsets,25,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
more_colors_used,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
two_distinct_colors,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
brighter_colors,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
strongly_contrasting_colors,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
numerous_colors_used,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
colors_involved,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
unclear_representation,24,distracting/confusing/unclear | familiar representation | infomration representation | line quantity representation | metric representation
hard_to_read,24,description easy to read | easier to interpret/read/understand | easier to read | easy to interpret/read/understand | easy to read
only_two_colors_used,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
prominent_colors_present,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
unlabeled_legend_data,24,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
various_colors_present,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
dull_and_blended_colors,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
poorly_contrasting_colors,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
muted_colors_used,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
less_clear_information,24,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
more_colors_present,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
identical_colors_both_sides,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
clear_information_presentation,24,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
range_of_colors_present,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
no_colors_used,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
multiple_information_points,24,clear text/scale/information | dense points/lines/shapes/elements | diverse information | factual information | few points/lines/shapes/elements
many_different_labels,24,amount of / too many colors | cluttered labels/annotations | different clarity | different font/word sizes/structure | different labels
colors_aid_recognition,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
bright_vivid_colors,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
description_easy_to_read,24,context/text/description | description | description easy to read | easier to interpret/read/understand | easier to read
intense_colors,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
small_text_size,24,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
same_shade_colors,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
distinct_colors_used,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
no_more_than_three_colors,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
hard_to_ascertain_meaning,24,axis meaning | different word meaning | easy to derive meaning | hard to compare/discern/distinguish | hard to describe
bold_colors_used,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
only_two_main_colors,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
shape_variety_aids_reading,24,color variety/arrangement/distribution | colored shape | dense/cluttered shape | distinguishable color variety/arrangement/distribution | hard to read shape
distinguished_distinctive_colors,24,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
no_clear_visual_cutoff_points,23,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
dense_information_small_space,23,clear text/scale/information | dense points/lines/shapes/elements | dense/cluttered data/info | dense/cluttered layout | dense/cluttered shape
overlapping_data_points,23,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
colored_within_shape,23,clear colored bars/charts | colored bars/charts | colored shape | colored surface | dense/cluttered shape
complex_shape_variety,23,color variety/arrangement/distribution | colored shape | complex design | dense/cluttered shape | distinguishable color variety/arrangement/distribution
few_data_points,23,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
two_separate_lines,23,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
text_and_numbers_present,23,ambiguous numbers | amount of words/context/numbers | axis numbers | clear text arrangement/density | clear text/scale/information
very_few_data_points,23,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
multivariate_data_representation,23,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
ambiguous_shape_encoding,23,ambiguous numbers | ambiguous/confusing colors | colored shape | dense/cluttered shape | hard to read shape
unclear_content_meaning,23,axis meaning | different word meaning | distracting/confusing/unclear | easy to derive meaning | label meaning
unclear_inter_word_relations,23,different font/word sizes/structure | different word meaning | distracting/confusing/unclear | unclear color meaning | unclear coloring
few_or_no_data_points,23,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
