phrase,0.0–0.2,0.2–0.4,0.4–0.6,0.6–0.8,0.8–1.0,total
black color,0,0,0,2,0,2
shape arrangement,0,1,0,1,0,2
drawing style,0,0,1,1,0,2
random-like movement,0,0,0,2,0,2
explanation text,0,0,1,1,0,2
provokes thought and understanding,0,1,1,0,0,2
easy to derive meaning,0,0,2,0,0,2
not enough knowledge to tell,0,0,1,1,0,2
not easily understood,0,0,1,1,0,2
hard to read,0,0,1,1,0,2
hard to measure/model,0,0,2,0,0,2
require specialized knowledge,0,0,1,1,0,2
fast readability,0,0,2,0,0,2
hard to describe,0,0,0,2,0,2
nothing clear,0,0,1,0,1,2
number of levels,0,0,1,1,0,2
number of legend items,0,0,1,1,0,2
information nuance expressed,0,1,0,0,1,2
indicating symbols,0,0,0,2,0,2
information overload,0,0,1,1,0,2
intense/too many colors,0,0,1,1,0,2
intersecting lines,0,0,0,1,1,2
involves numbers,0,0,2,0,0,2
word frequency,0,0,2,0,0,2
visually stimulating  texture/colors,0,0,1,1,0,2
appealing colors,0,0,2,0,0,2
more colors,0,0,0,2,0,2
more intricate,0,0,1,1,0,2
more interpretable/readable/understandable,0,1,0,1,0,2
more numbers,0,0,1,1,0,2
more forms,0,0,2,0,0,2
lack of meaning,0,0,1,1,0,2
lack of legend,0,0,0,2,0,2
no detail,0,0,2,0,0,2
nonlinearity,0,0,1,1,0,2
irregular,0,0,1,1,0,2
label meaning,0,0,1,0,1,2
more uniform design,0,0,1,1,0,2
easy to identify/extract/find features,0,2,0,0,0,2
axis scales,0,0,1,0,0,1
blended colors,0,0,0,1,0,1
bold colors,0,1,0,0,0,1
captions,0,0,1,0,0,1
categorized shapes,0,0,0,1,0,1
change over time,0,0,1,0,0,1
clear and concise,0,0,1,0,0,1
clear colored bars/charts,0,0,1,0,0,1
unclear what data conveys,0,0,1,0,0,1
unclear where to look/what to see,0,0,0,1,0,1
uneven shape,0,0,0,1,0,1
uninterpretable ranking,0,0,0,1,0,1
unique,0,1,0,0,0,1
unique data point,0,0,1,0,0,1
unknown hidden content,0,0,1,0,0,1
value representation,0,0,0,0,1,1
waterfall-like,0,0,1,0,0,1
white color on black background,0,0,0,0,1,1
with legend,0,0,1,0,0,1
word misoriented,0,0,0,1,0,1
word source,0,1,0,0,0,1
words and numbers,0,1,0,0,0,1
x-axis unlabeled,0,0,0,1,0,1
y-axis meaning unclear,0,0,1,0,0,1
more pixels,0,0,0,1,0,1
many numbers,0,0,0,1,0,1
metric representation,0,1,0,0,0,1
misaligned,0,0,0,1,0,1
mismatched number-circle proportion,0,0,1,0,0,1
mixed size,0,0,1,0,0,1
mixed timeline,0,0,0,1,0,1
more axes,0,0,0,1,0,1
almost no explanation,0,0,1,0,0,1
ambiguous numbers,0,0,1,0,0,1
arbitrary imaging,0,0,0,1,0,1
axis meaning,0,0,0,1,0,1
axis numbers,0,0,1,0,0,1
visualization meaning,0,0,1,0,0,1
visually overwhelming,0,0,0,0,1,1
visually striking,0,0,0,1,0,1
multiple interpretation,0,0,0,1,0,1
multiple points/lines/shapes/elements,0,0,0,0,1,1
multiple shapes,0,0,1,0,0,1
multivariate,0,0,1,0,0,1
less simple,0,0,1,0,0,1
less understandable,0,0,1,0,0,1
less uniform shapes,0,0,0,1,0,1
line movement,0,0,1,0,0,1
line quantity representation,0,0,1,0,0,1
line thickness variation,0,0,0,1,0,1
lines and scales,0,0,0,1,0,1
low readability,0,0,1,0,0,1
many legend categories,0,0,1,0,0,1
many measurements,0,1,0,0,0,1
more legible,0,0,1,0,0,1
more nuance information,0,0,0,1,0,1
nonlinear measurement/metric/axis,0,0,0,1,0,1
large dataset,0,0,0,1,0,1
legend on the top,0,1,0,0,0,1
length,0,0,0,1,0,1
length variation,0,0,0,1,0,1
less clear,0,0,1,0,0,1
less detailed/things,0,0,1,0,0,1
less empty space,0,0,0,1,0,1
less negative space,0,0,0,1,0,1
less organic shapes,0,0,0,1,0,1
more squares than shapes,0,0,0,1,0,1
more text boxes,0,0,0,1,0,1
more thinking,0,0,1,0,0,1
multi-year information,0,0,1,0,0,1
multiple aspects,0,0,1,0,0,1
multiple interacting elements,0,0,0,0,1,1
overall shape,0,0,0,1,0,1
image size,0,0,1,0,0,1
inconsistent,0,0,1,0,0,1
indication,0,0,1,0,0,1
infomration representation,0,1,0,0,0,1
labeled axis,0,0,1,0,0,1
negative space,0,0,0,0,1,1
network representation,0,0,0,1,0,1
no color,0,0,0,1,0,1
no color difference,0,0,0,1,0,1
no data,0,0,0,0,1,1
no interaction,0,0,0,1,0,1
no measurement/metric,0,0,1,0,0,1
no more information,0,0,1,0,0,1
no square information,0,0,0,0,1,1
nodes,0,1,0,0,0,1
hard to distinguish colors,0,0,1,0,0,1
hard to read shape,0,0,1,0,0,1
harder to view data point,0,0,1,0,0,1
hierarchical text,0,0,0,0,1,1
highlighted words,0,0,0,1,0,1
horizontal bars,0,1,0,0,0,1
icons,0,0,1,0,0,1
image layout,0,0,0,1,0,1
image location,0,0,0,1,0,1
image portrayal,0,0,0,1,0,1
not simple color-wise,0,0,1,0,0,1
nothing visible,0,0,0,0,1,1
number distribution,0,0,1,0,0,1
number of vertical lines,0,0,0,1,0,1
numbers and shapes,0,0,1,0,0,1
order of words,0,0,1,0,0,1
precision of lines,0,0,0,1,0,1
random-like shapes,0,0,0,1,0,1
readable/distinguishable colors,0,0,1,0,0,1
recognizable objects,0,0,0,1,0,1
regions,0,1,0,0,0,1
representation,0,0,1,0,0,1
salient colors,0,0,1,0,0,1
feeling strange,0,0,0,0,1,1
few lines,0,0,1,0,0,1
fewer axes,0,0,1,0,0,1
field information,0,0,1,0,0,1
font,0,0,1,0,0,1
frame with values,0,0,1,0,0,1
graph,0,0,1,0,0,1
graphical information,0,0,1,0,0,1
grid layout,0,0,1,0,0,1
separate color scales,0,0,0,1,0,1
separate values by color to show differences,0,0,0,1,0,1
shape,0,1,0,0,0,1
shape indicators,0,0,0,1,0,1
shape misunderstanding,0,0,1,0,0,1
shape subset representation,0,0,0,1,0,1
easy to read,0,1,0,0,0,1
error bars,0,0,0,0,1,1
exact feature,0,0,1,0,0,1
exact value,0,0,1,0,0,1
explanatory legend,0,0,0,1,0,1
eye-catching description,0,0,1,0,0,1
factual information,0,0,1,0,0,1
pixeled picture,0,0,1,0,0,1
plots,0,0,1,0,0,1
precision of aspect,0,0,0,1,0,1
shapes varied,0,0,0,0,1,1
similar box sizes,0,0,0,1,0,1
similar colors,0,0,0,1,0,1
similar shapes,0,0,1,0,0,1
simple information,0,1,0,0,0,1
single font,0,0,1,0,0,1
single variable,0,0,0,1,0,1
size,0,0,0,0,1,1
different labels,0,0,0,0,1,1
different movement,0,0,1,0,0,1
different word meaning,0,0,0,1,0,1
disposition,0,0,0,1,0,1
distinguishable/full color uses,0,0,1,0,0,1
diverse information,0,0,0,1,0,1
easier to compare/discern/distinguish,0,0,0,1,0,1
same colors,0,0,0,0,1,1
smooth lines,0,0,1,0,0,1
squares,0,0,1,0,0,1
stimulus less visible,0,0,0,1,0,1
striped texture,0,0,1,0,0,1
struggled to read,0,0,0,1,0,1
symbols and shading,0,0,1,0,0,1
technical encoding,0,0,1,0,0,1
crop production shown,0,0,1,0,0,1
data intersection,0,0,0,1,0,1
data trend,0,0,0,1,0,1
dates,0,0,0,1,0,1
dense/cluttered shape,0,0,1,0,0,1
description,0,1,0,0,0,1
detailed inscription,0,1,0,0,0,1
different clarity,0,0,1,0,0,1
shape-color mix,0,0,0,1,0,1
text ratio,0,0,1,0,0,1
too many numbers,0,0,1,0,0,1
too many sections,0,0,0,1,0,1
too many subjects,0,0,0,1,0,1
too many subplots,0,0,0,1,0,1
too more points/lines/shapes/elements,0,0,1,0,0,1
color represents sounds,0,0,0,1,0,1
color saturation,0,0,1,0,0,1
color superposition/layer,0,0,0,1,0,1
colored bars/charts,0,0,0,1,0,1
colored shape,0,0,0,1,0,1
colored surface,0,0,0,1,0,1
complex design,0,0,1,0,0,1
concentrated,0,0,1,0,0,1
context/text/description,0,0,1,0,0,1
small,0,0,0,1,0,1
values in the middle,0,0,1,0,0,1
very different colors,0,0,0,1,0,1
visual cues,0,0,0,1,0,1
clear delineation,0,0,1,0,0,1
clearer coloring,0,1,0,0,0,1
clustered data/info,0,0,0,1,0,1
color differentiation,0,0,1,0,0,1
color hues,0,0,0,1,0,1
color intensity,0,0,1,0,0,1
unable to remember,0,0,0,1,0,1
unable to sort,0,0,0,1,0,1
unclear filled bars,0,0,0,1,0,1
unclear shape,0,0,0,1,0,1
unclear structure,0,0,1,0,0,1
text,0,0,0,1,0,1
text on picture,0,0,1,0,0,1
