filename,data_density_explanation,visual_encoding_explanation,text_annotation_explanation,domain_schema_explanation,color_symbol_explanation,aesthetic_order_explanation,cognitive_load_explanation,summary,topic_explanation
wsj124.png,Very few data points (7 dots across 4 studies); minimal clutter.,Simple dot plot on a single axis with two symbol types; straightforward encoding.,"Moderate text with a descriptive title, subtitle, study labels, legend, axis labels, and source attribution.",Simple comparative dot plot requiring no specialized knowledge to interpret.,Only two symbol types (filled black and open white circles) with light blue row shading; minimal color variety.,"Very clean, well-organized layout with ample spacing; professional Wall Street Journal design.",Immediately interpretable; the trend of earlier puberty onset is clear at a glance.,"A clean, simple dot plot from the Wall Street Journal comparing puberty onset ages across four studies. Very low visual complexity with only 7 data points, two symbol types, and a well-organized layout.","The text volume (title, subtitle, labels, source) is the most notable complexity element in an otherwise minimal chart. The simple dot encoding and very sparse data density confirm the low overall complexity."
VisJ.1197.5(3).png,Extremely dense 3D treemap or city-block visualization with hundreds of overlapping rectangular elements filling the entire frame.,"3D perspective projection of rectangular blocks encoding data through height and area, creating complex occlusion patterns.","No text, labels, axes, or annotations visible anywhere in the image.",Appears to be a 3D treemap or urban visualization requiring understanding of spatial data encoding in three dimensions.,Monochromatic grayscale palette with shading providing depth cues; no color variety or symbols.,Extremely cluttered with hundreds of overlapping 3D blocks; very difficult to parse individual elements.,"High cognitive demand due to dense 3D occlusion, lack of labels, and difficulty distinguishing individual data elements.","A dense 3D block visualization (likely a 3D treemap or urban model) rendered in grayscale with hundreds of rectangular blocks of varying heights. The extreme density, 3D occlusion, and lack of any labels or legend make interpretation very challenging.","The sheer density of hundreds of overlapping 3D blocks is the primary complexity driver. The visual clutter from occlusion and overlapping elements makes the layout appear chaotic, and the lack of any textual guidance combined with the 3D perspective demands significant cognitive effort to interpret."
SciVisJ.980.7(2).png,Multiple concentric rings with numerous colored glyphs at each radial position create moderate-to-high data density.,"Complex multi-layered encoding: color hue maps to angular position, shape morphs from circles to elongated ellipses to star-like glyphs across radial layers.","Minimal text: only four angular labels (γ values) and one radial label (r=½), so text volume is low.",Highly specialized polar coordinate visualization showing parameterized glyph transformations; requires mathematical/domain knowledge to interpret γ and r parameters.,"Full color wheel spectrum with ~16 distinct hues, plus shape variation across 3 concentric layers including patterned star glyphs at center.","Well-organized circular layout with clear radial symmetry, though the inner glyphs are complex and somewhat cluttered.","Requires understanding polar parameterization, glyph shape encoding, and color-angle mapping simultaneously; high cognitive demand.","A polar coordinate diagram showing parameterized glyphs across concentric rings, with color hue encoding angular position and shape transforming from circles to elongated forms to complex star-like patterns. The specialized mathematical schema and multi-dimensional encoding make this moderately to highly complex.","The specialized polar parameterization schema is the primary complexity driver, requiring domain-specific knowledge. The rich color spectrum and diverse glyph shapes across layers add substantial visual complexity. Together these demand high cognitive effort to decode the relationships between parameters."
InfoVisC.157.1.png,36 individual scatterplot panels (lower triangle of 9x9 matrix) each containing dense point clouds with thousands of data points.,"Uniform scatterplot encoding across all panels with consistent mark types, but the matrix structure requires cross-referencing rows and columns.",Only variable names along the diagonal; minimal text content overall.,SPLOM (scatterplot matrix) is a specialized multivariate visualization requiring understanding of pairwise variable relationships.,Monochrome black points on beige background; virtually no color variety.,"Many dense panels create moderate visual clutter, though the regular grid layout provides structure.",Interpreting pairwise relationships across 36 panels and 9 variables demands significant cognitive effort.,"A scatterplot matrix (SPLOM) showing pairwise relationships among 9 variables (sex, length, diameter, height, whole_wt, shucked_wt, viscera_wt, shell_wt, rings). The dense point clouds across 36 panels create substantial data density despite the monochrome encoding. The systematic matrix layout is structured but cognitively demanding to fully interpret.",The high data density from thousands of points across 36 panels is the primary complexity driver. The cognitive load of comparing pairwise relationships across 9 variables is substantial. The SPLOM schema requires familiarity with multivariate visualization conventions.
InfoVisJ.669.4.png,"Hundreds of data points with significant overlap especially in the lower-right region, creating moderate-to-high density.",Simple scatterplot with single point type; straightforward positional encoding only.,"Minimal text: just a title 'No', y-axis label, and a few tick marks; x-axis labels are missing.",Standard 2D scatterplot requiring no specialized knowledge to interpret.,Monochrome gray/black circles only; no color variety or symbol diversity.,"Dense clustering and overplotting in the lower-right creates visual clutter, though the overall layout is clean.","Easy to grasp the general pattern quickly, though overplotting obscures exact distributions in dense regions.","A monochrome scatterplot with several hundred points showing median value on the y-axis. The main complexity driver is the high data density with substantial overplotting in the lower-right region, but the chart type itself is simple and immediately interpretable.","The heavy overplotting in the lower-right region is the primary complexity driver, making data density the most relevant topic. The resulting visual clutter (aesthetics uncertainty) and difficulty discerning individual points in dense areas (cognitive load) are secondary contributors."
VASTJ.1720.4.png,Only 7 bars with minimal data; very sparse visualization.,Simple bar chart with straightforward height encoding; trivially easy to read.,"Minimal text: a title, axis labels, and numeric values on x-axis; all clearly legible.",Standard histogram/bar chart requiring no specialized knowledge.,Two colors only (dark blue and red highlight); minimal color complexity.,Extremely clean layout with ample whitespace and no clutter.,Instantly interpretable; one highlighted bar draws attention with near-zero cognitive effort.,A simple bar chart showing 7 categories of clothes data with one red-highlighted bar. Extremely low visual complexity with clean layout and minimal encoding.,"The very low data density is the defining feature of this simple chart. Cognitive load is minimal due to the straightforward bar encoding, and the visual encoding is as basic as possible with simple rectangular bars."
wsj28.png,About 12 labeled segments in a single stacked bar with moderate data density.,Simple proportional bar chart with segments; straightforward encoding but many labeled parts.,"Heavy text annotations with dollar amounts, descriptions, and a detailed subtitle; high text volume throughout.",Standard proportional bar chart requiring no specialized knowledge beyond basic fiscal literacy.,Limited color palette of pinks/reds with minimal variation; simple visual design.,"Moderately cluttered due to many text labels crowding the bar segments, but overall organized.",Requires reading many labels and connecting them to segments; moderate cognitive effort.,A Wall Street Journal infographic showing a segmented horizontal bar chart of proposed tax code changes with dollar amounts. The visual encoding is simple but the heavy text labeling across 12 segments adds moderate complexity.,"The dominant complexity driver is the sheer volume of text labels and annotations crowding the chart. The 12 individually labeled segments create moderate data density, and connecting each label to its segment requires non-trivial cognitive effort."
InfoVisJ.2639.8.png,"Three panels with moderate data: a color strip, a text table, and a horizontal bar chart with 8 categories.","Mixed encodings across panels — color strips, tabular text, and bar lengths — but each is individually straightforward.",Substantial text in the table describing each category's actions; high text volume across the visualization.,The visualization describes UI interaction categories; moderately specialized but conceptually accessible.,Multiple distinct colors used consistently across the strip and bar chart; moderate color variety.,Well-organized three-panel layout with clear spatial separation; relatively clean.,Requires reading the table and cross-referencing with the bar chart and color strip; moderate cognitive effort.,"A three-part figure showing (a) a colored timeline strip, (b) a table of interaction categories with descriptions, and (c) a horizontal bar chart with percentages. Moderate complexity driven primarily by the text-heavy table and multi-panel coordination.","The heavy text in the table is the most visually prominent complexity driver. The three coordinated panels contribute moderate data density, and cross-referencing between panels increases cognitive load."
InfoVisJ.691.6(3).png,Moderate number of words displayed with some overlap and cropping at edges.,Simple word cloud encoding: font size maps to frequency/importance; straightforward visual form.,High volume of text words densely packed; the visualization is entirely text-based.,"Word clouds are a familiar, low-abstraction visualization type requiring minimal domain knowledge.","Limited palette of dark navy, medium blue-gray, and light sage green; minimal color variety.","Some visual clutter from overlapping and cropped words, but overall layout is recognizable.","Word clouds are immediately interpretable; larger words are more important, requiring low cognitive effort.","A word cloud visualization showing technical/academic terms with font size encoding importance. Uses a limited color palette of navy, blue-gray, and green tones. Moderate density but a familiar, easily interpretable format.","The visualization is entirely text-based, making text volume the dominant feature. The moderate density of overlapping words contributes to clutter. Despite the text density, the word cloud format is immediately recognizable, keeping cognitive load relatively low."
InfoVisJ.2556.8.png,Extremely dense overlapping text labels covering the entire image with minimal whitespace.,"Street names are encoded as text along their paths, creating a typographic map that requires spatial reasoning to parse.","Massive volume of text; street names overlap, rotate at various angles, and repeat, making the image predominantly text.",A typographic street map is a moderately specialized visualization form but conceptually familiar as a map.,Minimal color use — only black and red text on white background; very limited palette.,"Heavy visual clutter from overlapping and intersecting text labels at multiple orientations creates a dense, chaotic feel.",Requires significant effort to trace streets and understand spatial relationships through text alone.,"A typographic street map where road names replace traditional line geometry, creating dense overlapping text at various angles. The image is visually cluttered with high text density but uses minimal color (black and red only). Parsing spatial relationships requires considerable cognitive effort.","The visualization is almost entirely composed of dense, overlapping text labels, making text volume the dominant complexity factor. The resulting image clutter from intersecting street names at multiple angles creates high visual density, and the chaotic overlapping layout drives aesthetic uncertainty."
whoJ44.png,Only two line series over 11 time points; very sparse data content.,Simple dual-line chart with clear differentiation between the two series.,"Title, subtitle, axis labels, legend, annotations, and source citation provide moderate text volume.",Standard time-series line chart requiring no specialized knowledge.,Two colors (dark blue and light blue) with no additional symbols or textures.,"Very clean, well-organized layout with ample whitespace and no clutter.",Instantly interpretable; the message is even stated in the title.,"A clean dual-line time series chart showing Total ODA versus General Budget Support from 2000-2010. Minimal complexity with only two series, clear labels, and a descriptive title that explains the takeaway.","The text volume (title, annotations, labels) is the most notable complexity element in an otherwise very simple chart. The low data density and immediate interpretability confirm the overall low complexity."
VASTC.51.10.png,"Dense temporal visualization with many overlapping text labels, flow lines, and background stream elements creating significant clutter.","Complex encoding combining streamgraph background, branching tree/flow structures, text labels of varying sizes, and temporal axis with multiple visual layers.","Abundant text labels scattered throughout at various sizes; many overlap with background elements and flow lines, reducing legibility.",Specialized topic evolution/keyword flow visualization over time requiring understanding of text mining and temporal topic modeling concepts.,"Muted color palette with gray streams, colored flow lines (red, blue, black), and varying text sizes encoding importance.","Overlapping labels, intersecting flow lines, and layered background streams create considerable visual disorder.","Requires tracking keyword flows across time, understanding branching patterns, and interpreting multiple simultaneous layers of information.","A temporal topic evolution visualization showing keyword flows and branching patterns over several weeks, likely related to an Ebola outbreak. Multiple encoding layers including streamgraphs, flow trees, and text labels create high visual complexity. The specialized schema and dense overlapping elements demand significant cognitive effort.","The high cognitive load from interpreting multiple layered encodings simultaneously is the primary complexity driver. The specialized topic-flow schema requires domain knowledge of text analysis visualization. Dense overlapping text labels, flow lines, and background streams contribute substantial clutter."
SciVisJ.796.18.png,Moderate spatial data density with continuous field visualization but relatively sparse overall with large uniform regions.,Sequential color map on a 2D spatial field with clear contour bands; straightforward but requires understanding of field plots.,Minimal text; only the legend with numeric range labels is present.,"A computational fluid dynamics or stress/thermal contour plot around a circular obstacle, requiring some engineering domain knowledge.",Sequential green-yellow colormap with about 10 discrete bins; moderate color range usage.,Clean layout with smooth contour bands and clear spatial organization; low visual clutter.,"Requires understanding of contour/field plots and the physical domain, but the single-view format keeps cognitive load moderate.","A contour/field plot showing a scalar quantity (likely stress, velocity, or temperature) around a circular obstacle. The visualization uses a sequential colormap with discrete bins and is relatively clean with moderate domain-specific complexity.","The specialized engineering/scientific domain knowledge required to interpret a contour field plot is the primary complexity driver. The continuous field encoding with discrete color bins adds moderate encoding complexity, and the sequential colormap choice is central to reading the data."
v483_n7390_1_f2.png,Three stacked spectra with noisy line traces; moderate data density but clearly separated vertically.,Standard spectral line plots stacked vertically with reference dashed lines; straightforward encoding.,"Minimal text with axis labels, annotations for surface/bulk resonance, and roman numeral labels; all legible.",Spectroscopy plot requiring domain knowledge of surface vs bulk plasmon resonances and energy loss spectra.,Almost entirely monochrome with only red dashed reference lines; very limited color palette.,Clean stacked layout with good separation between traces; low visual clutter.,Requires understanding of spectroscopy and comparing peak positions across three spectra; moderate cognitive demand.,"A stacked spectroscopy plot showing three energy loss spectra with annotated surface and bulk resonance peaks. The layout is clean and well-organized, but domain-specific knowledge is needed for full interpretation.","The specialized spectroscopy schema is the primary complexity driver, requiring domain expertise to interpret resonance peaks. Comparing features across three noisy spectra adds cognitive load, and the noisy line traces contribute moderate data density."
InfoVisC.8.7.png,"Dense overlapping concentric circles, radial lines, and multiple stellar trajectory curves create substantial visual clutter.",Polar projection with multiple overlapping circular and curved paths using different line styles and colors; complex encoding scheme.,"Star names, degree markings around the perimeter, cardinal directions, and epoch/azimuth data in the legend provide moderate text density.",Stereographic or polar projection of stellar altitudes requires specialized astronomical knowledge to interpret correctly.,"Uses red, blue, orange, green, and black lines with solid, dashed, and dotted styles to encode different elements.","Many overlapping curves and grid lines create visual congestion, especially near the center and southern portion.","Requires understanding polar projections, stellar coordinates, azimuth/altitude systems, and epoch-specific astronomical context.","A polar stereographic projection showing stellar altitudes at latitude 48.5 for epoch -4700. Multiple concentric rings, radial gridlines, and colored trajectory curves overlap extensively, requiring specialized astronomical knowledge to decode. The combination of domain-specific schema and dense overlapping elements makes this highly complex.","The specialized astronomical polar projection schema is the primary complexity driver, requiring domain expertise. High cognitive load stems from interpreting overlapping stellar paths in this coordinate system. Dense overlapping gridlines and trajectory curves add significant visual clutter."
VisC.433.1.png,"Dense continuous heatmap with high information content across the entire plotting area, showing complex spectral patterns.",Single heatmap encoding with a continuous color scale; straightforward but the continuous nature adds perceptual complexity.,"Minimal text: axis labels (State, Frequency), state letters A-J, and colorbar label; very low text volume.",Spectral/frequency analysis heatmap requiring some domain knowledge of power spectra and logarithmic scales.,"Rich continuous color palette spanning dark blue through cyan, green, yellow, red to dark red; high color variety.",The dense color gradients and complex patterns create moderate visual clutter despite a single-panel layout.,Interpreting spectral patterns across states requires careful reading of color gradients and understanding of the domain.,A spectral heatmap showing logarithmic power across frequency and states (A-J) with a rich continuous color scale. The dense color patterns and spectral domain context create moderate-to-high visual complexity despite being a single-panel visualization.,"The continuous heatmap packs dense spectral information into every pixel, making data density the primary complexity driver. The rich multi-hue color scale spanning the full spectrum adds significant visual complexity. Together these demand considerable cognitive effort to parse patterns across states and frequencies."
SciVisJ.259.7.png,"Moderate density with a spatial heatmap, contour lines, and an inset zoom panel adding layered information.",Color-mapped continuous field with contour overlays and annotation circles; multiple encoding types present.,"Minimal text — just a title, legend labels, and distance scale; low text volume.",Geospatial/meteorological visualization requiring domain knowledge to interpret primary banners and distance fields.,"Sequential color scale from dark blue through green to yellow, with pink/purple contour lines and red annotation circles.","Moderately cluttered with overlapping contour lines and annotation circles, but the dark background keeps it manageable.","Requires understanding of the spatial distance field, contour meanings, and the zoom inset relationship.","A geospatial visualization showing distance fields with a sequential colormap, contour lines, and a magnified inset view. The domain-specific nature and layered encodings create moderate-to-high complexity despite relatively clean aesthetics.","The specialized geospatial/meteorological schema is the primary complexity driver, requiring domain knowledge to interpret. The layered color encoding with contour overlays adds visual detail, and the cognitive load of relating the inset zoom to the main view increases interpretive effort."
