imageName,VisType,Topics,humanCuratedPhrases,finalPhrases
VisC.501.7(2).png,Point,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details",more detailed/things; unfamiliar concepts/patterns; color variety/arrangement/distribution; texture details,"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); much/little data/info; symbols"
SciVisJ.728.14.png,Grid,"Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",dense/cluttered layout; more regions/space; much/more data/info/info spread; amount of words/context/numbers; clear text arrangement/density; explanation text; font; legend easy to understand; more texts/words; title/axis/label/descriptions; too much legend; distinguishable color variety/arrangement/distribution; lack of color contrast / hard to distinguish colors; unclear colormaps; visual clarity/appealing; easy to interpret/read/understand; more difficult to interpret/read/understand/differentiate; more reading/interpretation/understanding; read/analyze many figures/items,amount of words/context/numbers; clear text arrangement/density; color contrast/clarity; distinguishable color variety/arrangement/distribution; distracting/confusing/unclear; easy/hard to interpret; labels/axes/legends; more regions/space; much/little data/info; overlapping shapes/colors/lines; read/analyze many figures/items; take longer to interpret; word rotation/small font size
InfoVisJ.413.3.png,Cont.-ColorPatn,"Color, Symbol, and Texture Details",amount of / too many colors,color variety/shading
InfoVisJ.2486.8.png,Node-link,"Visual Encoding Clarity; Schema; Color, Symbol, and Texture Details","design-data relationship; lines; shapes and lines; a specific technique; a specific technique, e.g., bar, pie, circle; color scale/scheme","color variety/shading; design-data relationship; domain-specific concepts (e.g., chemical, biology, map); shapes and lines"
whoQ58_3.png,Area,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",much/more data/info/info spread; overlapping shapes/colors/lines; too much data/info; curves and shapes; multi-year information; amount of words/context/numbers; lack of/not enough axis labels/legend/annotations/context; more title/axis/label; no measurement/metric/axis; a specific technique; familiar representation; color shading; color variety/arrangement/distribution; distinguishable color variety/arrangement/distribution; lack of color contrast / hard to distinguish colors; unclear colormaps; distracting/confusing/unclear; unclear colors/contrast; easy to focus/follow; easy to interpret/read/understand; hard to interpret/read/understand/differentiate; intuitive; low readability; more complicated; more to read/analyze/understand; take longer to interpret,"amount of words/context/numbers; color contrast/clarity; color variety/shading; distinguishable color variety/arrangement/distribution; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; much/little data/info; overlapping shapes/colors/lines; shapes and lines; take longer to interpret; unclear colors/contrast"
VisJ.1949.18(3).png,Glyph,"Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details",more charts/points/lines/shapes/elements; lack of/not enough axis labels/legend/annotations/context; unfamiliar concepts/patterns; color intensity; low color contrast/separation/segmentation; white/black background / other background,"color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); labels/axes/legends; more charts/points/lines/shapes/elements; white/black background / other background"
InfoVisJ.2639.8.png,Bar,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",color variety/arrangement/distribution; colored bars/charts; more complicated; more to read/analyze/understand; take longer to interpret; unclear meaning/confusing,color variety/shading; easy/hard to interpret; take longer to interpret; unclear meaning/confusing
visMost573.png,Area,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load","dense/cluttered data/info; dense/cluttered layout; disposition; many/more data/info; more charts/points/lines/shapes/elements; much/more data/info/info spread; multiple features/elements/graphs; overlapping shapes/colors/lines; shape-color mix; clear connection; shape size; shape size variation; shapes and lines; simple visual elements; -; clear title/axis/label; description easy to read; explanation text; legend easy to understand; more texts/words; number of legend items; title/axis/label/descriptions; too much legend; word rotation/small font size; abstract shapes or colors; domain-specific concepts (e.g., chemical, biology, map); familiar representation; no context or reference; ambiguous/confusing colors; color represents sounds; color superposition/layer; color variety/arrangement/distribution; distinguishable color variety/arrangement/distribution; indicating symbols; intense/too many colors; more colors; soft/layered/overlapping colors; too many colors; white/black background / other background; distracting/confusing/unclear; complicated to process; easier to interpret/read/understand; easier to process/visualize; easy to interpret/read/understand; hard to compare/discern/distinguish; hard to interpret/read/understand; hard to interpret/read/understand/differentiate; more difficult; more difficult to interpret/read/understand/differentiate; not intuitive/simple data","2D/3D; abstract shapes or colors; amount of words/context/numbers; color contrast/clarity; color variety/shading; distinguishable color variety/arrangement/distribution; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines; shape size; shapes and lines; simple visual elements; soft/layered/overlapping colors; symbols; white/black background / other background; word rotation/small font size"
VASTC.1.7.png,Node-link,"Data Density / Image Clutter; Visual Encoding Clarity; Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load","fine/layered details; little data/info; more charts/points/lines/shapes/elements; more detailed/things; confusing connection; number of vertical lines; shape size variation; shapes and lines; a specific technique; domain-specific concepts (e.g., chemical, biology, map); familiar representation; clear color uses; color variety/arrangement/distribution; low color contrast/separation/segmentation; unclear colormaps; arbitrary imaging; distracting/confusing/unclear; hard to interpret/read/understand; hard to interpret/read/understand/differentiate; more complicated; not interpretable/readable/understandable; unclear meaning/confusing","color contrast/clarity; color variety/shading; distinguishable/full/highly contrast color uses; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; shapes and lines; unclear meaning/confusing"
vis678.png,Bar,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",dense/cluttered data/info; dense/cluttered layout; more charts/points/lines/shapes/elements; much/more data/info/info spread; design-data relationship; mixed timeline; title/axis/label/descriptions; color variety/arrangement/distribution; distracting/confusing/unclear; hard to describe; more difficult to interpret/read/understand/differentiate,color variety/shading; design-data relationship; distracting/confusing/unclear; easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines
InfoVisC.65.8.png,Bar,"Visual Encoding Clarity; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",shapes and lines; clearer coloring; color dimension; simple to interpret/read/understand,color variety/shading; easy/hard to interpret; shapes and lines
whoQ26.png,Area,"Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","clear indication; regions; shape point of interest; legend on the top; domain-specific concepts (e.g., chemical, biology, map); familiar representation; unfamiliar concepts/patterns; inadequate/few coloring; easier to interpret/read/understand; easy to interpret/read/understand; more complicated","domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; inadequate/few coloring; labels/axes/legends; shape point of interest; shapes and lines; unclear meaning/confusing"
VASTC.19.8.png,Cont.-ColorPatn,"Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",no context or reference; black-to-white/color gradient; blended colors; blurry colors/images; distracting/confusing/unclear; attention/squinting to understand,"blurry colors/images; color variety/shading; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); take longer to interpret"
SciVisJ.807.5.png,Grid,Schema,a specific technique,"domain-specific concepts (e.g., chemical, biology, map)"
vis853.png,Area,"Semantics / Text Legibility; Color, Symbol, and Texture Details",word rotation/small font size; unclear colormaps,color contrast/clarity; word rotation/small font size
InfoVisJ.691.6(3).png,Text,Data Density / Image Clutter; Visual Encoding Clarity,little data/info; simple visual elements,much/little data/info; simple visual elements
SciVisJ.891.2.png,Grid,"Color, Symbol, and Texture Details",color saturation; color variety/arrangement/distribution,color variety/shading
InfoVisJ.681.1.png,Cont.-ColorPatn,"Data Density / Image Clutter; Visual Encoding Clarity; Schema; Color, Symbol, and Texture Details",more charts/points/lines/shapes/elements; data trend; shape indicators; abstract shapes or colors; color scale/scheme; indicating symbols; unclear colormaps,2D/3D; abstract shapes or colors; color contrast/clarity; color variety/shading; more charts/points/lines/shapes/elements; shapes and lines; symbols
visMost325.png,Area,"Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","more detailed/things; small and simple; word rotation/small font size; domain-specific concepts (e.g., chemical, biology, map); color details; unclear coloring; more difficult to interpret/read/understand/differentiate","color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; much/little data/info; word rotation/small font size"
whoJ44.png,Line,Data Density / Image Clutter; Visual Encoding Clarity,little data/info; lines,much/little data/info; shapes and lines
whoJ40_2.png,Area,"Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",bold colors; distracting/confusing/unclear; easy to interpret/read/understand,color variety/shading; distracting/confusing/unclear; easy/hard to interpret
vis737.png,Node-link,"Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",lack of/not enough axis labels/legend/annotations/context; similar colors; hard to interpret/read/understand/differentiate; unclear meaning/confusing,color variety/shading; easy/hard to interpret; labels/axes/legends; unclear meaning/confusing
InfoVisJ.1558.9.png,Glyph,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",dense/cluttered shape; overlapping shapes/colors/lines; shape size; shapes and lines; squares; lack of/not enough axis labels/legend/annotations/context; too much legend; familiar representation; appealing colors; blue color; good color contrast/separation/segmentation; lack of color contrast / hard to distinguish colors; intuitive; more difficult to interpret/read/understand/differentiate; take longer to interpret,"color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; overlapping shapes/colors/lines; shape size; shapes and lines; take longer to interpret"
VASTJ.412.3.png,Bar,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",two colors; easy to interpret/read/understand,easy/hard to interpret; two colors
visMost147.png,Area,"Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","concentrated; more charts/points/lines/shapes/elements; too many details/divisions; word rotation/small font size; domain-specific concepts (e.g., chemical, biology, map); familiar representation; too many colors; easy to interpret/read/understand; hard to identify/extract/find features","color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; word rotation/small font size"
economist_daily_chart_317.png,Area,"Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load","more charts/points/lines/shapes/elements; much/more data/info/info spread; graphical information; axis numbers; easier to read; little/less text/numbers/context; domain-specific concepts (e.g., chemical, biology, map); color keys; intense/too many colors; unclear coloring; looks random/messy/lack structure; easier to process/visualize; easy to interpret/read/understand; simple to interpret/read/understand; take longer to interpret","color contrast/clarity; color variety/shading; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; little/less text/numbers/context; more charts/points/lines/shapes/elements; much/little data/info; take longer to interpret; word rotation/small font size"
SciVisJ.259.7.png,Cont.-ColorPatn,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details",more charts/points/lines/shapes/elements; more detailed/things; several elements; unclear colormaps,color contrast/clarity; more charts/points/lines/shapes/elements; much/little data/info; several elements
SciVisJ.635.6.png,Cont.-ColorPatn,"Data Density / Image Clutter; Color, Symbol, and Texture Details",much/more data/info/info spread; complex design; color shading; distinguishable/full/highly contrast color uses; visually stimulating  texture/colors,color variety/shading; distinguishable/full/highly contrast color uses; much/little data/info; overlapping shapes/colors/lines; symbols
VisJ.1515.12.png,Cont.-ColorPatn,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",more charts/points/lines/shapes/elements; exact feature; no more information; representation; understand/read shapes; lack of/not enough axis labels/legend/annotations/context; unfamiliar concepts/patterns; low color contrast/separation/segmentation; unclear coloring; unclear colormaps; unclear colors/contrast; hard to compare/discern/distinguish; hard to identify/extract/find features; hard to measure/model; less understandable; more difficult to focus/follow; not interpretable/readable/understandable,"color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; more difficult to focus/follow; much/little data/info; shapes and lines; unclear colors/contrast; understand/read shapes"
VisC.375.9(2).png,Node-link,Visual Encoding Clarity; Immediacy / Cognitive Load,shape position; easy to interpret/read/understand,easy/hard to interpret; shape position
whoK16_3.png,Area,Schema,a specific technique,"domain-specific concepts (e.g., chemical, biology, map)"
visMost634.png,Point,"Color, Symbol, and Texture Details",good color contrast/separation/segmentation,color contrast/clarity
SciVisJ.728.4(2).png,Glyph,"Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",unknown hidden content; black-to-white/color gradient; complicated to process,"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret"
VisC.383.7.png,Node-link,"Schema; Color, Symbol, and Texture Details",2D/3D; familiar representation; unclear coloring,"2D/3D; color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map)"
VASTJ.320.9.png,Grid,"Color, Symbol, and Texture Details",unclear color meaning,color contrast/clarity
v488_n7409_19_f1.png,Grid,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load","more charts/points/lines/shapes/elements; more parameters/variables; much/more data/info/info spread; multiple features/elements/graphs; more squares than shapes; scattered shapes (e.g., dots, squares, pictures); shapes; amount of words/context/numbers; more texts/words; more title/axis/label; title/axis/label/descriptions; too much legend; unclear relation between words; unreadable; word rotation/small font size; word/text/sentence; clear color uses; color details; color dimension; color variety/arrangement/distribution; unclear colormaps; convoluted composition; visual clarity/appealing; attention/squinting to understand; easy to interpret/read/understand; hard to interpret/read/understand; not interpretable/readable/understandable; not intuitive/simple data; read/analyze many figures/items; take longer to interpret","amount of words/context/numbers; color contrast/clarity; color variety/shading; distinguishable/full/highly contrast color uses; distracting/confusing/unclear; easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; more parameters/variables; much/little data/info; overlapping shapes/colors/lines; read/analyze many figures/items; scattered shapes (e.g., dots, squares, pictures); shapes and lines; take longer to interpret; unclear meaning/confusing; word rotation/small font size"
SciVisJ.625.5.png,Cont.-ColorPatn,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",unclear colormaps; easy to interpret/read/understand,color contrast/clarity; easy/hard to interpret
VASTJ.1139.3(2).png,Node-link,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",few points/lines/shapes/elements; little data/info; curves and shapes; shape variety; shapes and lines; title/axis/label/descriptions; familiar representation; lack of color contrast / hard to distinguish colors; easy to interpret/read/understand,"color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; much/little data/info; shapes and lines"
VASTJ.1764.2.png,Grid,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",color shading; not interpretable/readable/understandable,color variety/shading; easy/hard to interpret
np_11.png,Node-link,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details","many points/lines/shapes/elements; more charts/points/lines/shapes/elements; more detailed/things; much/more data/info/info spread; multiple features/elements/graphs; element sizes; word/text/sentence; domain-specific concepts (e.g., chemical, biology, map); color variety/arrangement/distribution","amount of words/context/numbers; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); more charts/points/lines/shapes/elements; much/little data/info; shapes and lines"
VASTC.107.8.png,Cont.-ColorPatn,"Color, Symbol, and Texture Details; Aesthetics Uncertainty",lack of color contrast / hard to distinguish colors; distracting/confusing/unclear,color contrast/clarity; distracting/confusing/unclear
SciVisJ.995.10(3).png,Glyph,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",little data/info; random-like movement; shape arrangement; ambiguous/confusing colors; color variety/arrangement/distribution; visual cues,color contrast/clarity; color variety/shading; distracting/confusing/unclear; much/little data/info; shapes and lines; unclear meaning/confusing
whoQ42_6.png,Line,"Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",color variety/arrangement/distribution; distracting/confusing/unclear; looks random/messy/lack structure; hard to interpret/read/understand/differentiate; more thinking,color variety/shading; distracting/confusing/unclear; easy/hard to interpret; take longer to interpret
SciVisJ.1819.4(5).png,Cont.-ColorPatn,"Color, Symbol, and Texture Details; Aesthetics Uncertainty",low color contrast/separation/segmentation; unclear colors/contrast,color contrast/clarity; unclear colors/contrast
SciVisJ.744.13.png,Cont.-ColorPatn,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",less detailed/things; more detailed/things; much/more data/info/info spread; 2D/3D; not enough knowledge to tell; color variety/arrangement/distribution; hard to measure/model; not interpretable/readable/understandable,2D/3D; color variety/shading; easy/hard to interpret; much/little data/info; take longer to interpret
InfoVisC.57.4.png,Bar,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",unclear shape meaning; color variety/arrangement/distribution,color variety/shading; unclear meaning/confusing
InfoVisJ.349.1.png,Node-link,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",dense points/lines/shapes/elements; overlapping shapes/colors/lines; lines; random-like movement; random-like shapes; shapes and lines; lack of/not enough axis labels/legend/annotations/context; text hard to read; monochrome; unclear colormaps; easy to focus/follow; unclear meaning/confusing,color contrast/clarity; distracting/confusing/unclear; easy/hard to interpret; labels/axes/legends; monochrome; more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; random-like shapes; shapes and lines; unclear meaning/confusing; word rotation/small font size
InfoVisJ.1063.13.png,Node-link,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",more charts/points/lines/shapes/elements; black color; visual clarity/appealing; easier to interpret/read/understand,color variety/shading; distracting/confusing/unclear; easy/hard to interpret; more charts/points/lines/shapes/elements
InfoVisC.173.9(1).png,Area,"Color, Symbol, and Texture Details; Aesthetics Uncertainty",color variety/arrangement/distribution; looks random/messy/lack structure,color variety/shading; distracting/confusing/unclear
InfoVisC.133.5(3).png,Node-link,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details",more detailed/things; element sizes; shapes and contrasts,color contrast/clarity; much/little data/info; shapes and lines
InfoVisC.27.6.png,Node-link,"Schema; Color, Symbol, and Texture Details",image layout; color variety/arrangement/distribution,2D/3D; color variety/shading
SciVisJ.1819.4.png,Cont.-ColorPatn,"Visual Encoding Clarity; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",curves and shapes; field information; nothing clear; color variety/arrangement/distribution,"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; shapes and lines"
VASTC.72.13.png,Bar,"Data Density / Image Clutter; Color, Symbol, and Texture Details",much/more data/info/info spread; color variety/arrangement/distribution,color variety/shading; much/little data/info
InfoVisJ.2251.3.png,Schematic,Immediacy / Cognitive Load,more difficult to interpret/read/understand/differentiate; unclear meaning/confusing,easy/hard to interpret; unclear meaning/confusing
wsj359.png,Line,"Visual Encoding Clarity; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",shape increase/decrease point; color variety/arrangement/distribution; more difficult to interpret/read/understand/differentiate,color variety/shading; easy/hard to interpret; shape increase/decrease point
SciVisJ.1043.14.png,Cont.-ColorPatn,"Color, Symbol, and Texture Details",color variety/arrangement/distribution,color variety/shading
InfoVisJ.935.6.png,Grid,"Color, Symbol, and Texture Details",color variety/arrangement/distribution,color variety/shading
whoK06_1.png,Area,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",more to read/analyze/understand; color variety/arrangement/distribution,color variety/shading; take longer to interpret
InfoVisJ.2072.12.png,Grid,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",color variety/arrangement/distribution; take longer to interpret,color variety/shading; take longer to interpret
InfoVisC.115.3.png,Area,"Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",nonlinearity; title/axis/label/descriptions; color variety/arrangement/distribution; not interpretable/readable/understandable,"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends"
v487_n7407_7_f2.png,Grid,Data Density / Image Clutter; Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,"more detailed/things; title/axis/label/descriptions; too much legend; a specific technique, e.g., bar, pie, circle; domain-specific concepts (e.g., chemical, biology, map); easy to interpret/read/understand","domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; much/little data/info"
