raw_name,synset,category,source,n_images,example_images,example_raw_comments,example_llm_input,example_sentiments,example_finalPhrases
dataset_2,content.data,content,extended,1,wsj135.png,"Left one is just a time scale with 2 data sets in same scale, diferent colors and aligment makes it easy to understand.; The other image is more easier to read and understand",alignment; time scale; 2 data sets; different colors; easy to understand,?; (-); (-); (-); (-),color variety/shading; easy/hard to interpret; much/little data/info; scale difference; shapes and lines
distribution,content.data,content,extended,2,InfoVisJ.1558.11(6).png | InfoVisJ.339.10.png,"The elements in the first image are more evenly distributed but do not seem to present much interaction between them.; the other one only has dots || There were visually more details in the pictures I chose; Excessive Data Points: When a chart contains too many data points, it can overwhelm the viewer and make it difficult to discern meaningful patterns or trends. Cluttered Labels and Annotations: If labels, titles, and annotations are excessively crowded or overlapping, it can make it challenging to identify specific elements within the chart. Poor Color Choices: Using too many colors or poorly contrasting colors can make it difficult to differentiate between different data series or categories. Data Overload: Including too much data in a single chart or diagram can make it difficult to focus on the most important information and can obscure key insights.; there are more information shown - you need more time to understand what this chart shows - you need time to understand what this chart even stands for; there are numbers, sticks and boxes and we don't know what is the distribution of numbers and what is the ratio between them; çizilen çizgilerin keskin renge sahip olmaması","more evenly distributed; not much interaction; only has dots || numbers, sticks and boxes; the distribution of numbers; the ratio between them; more information shown; more time to understand; visually more details",(-); (-); (-) || (+); (+); (+); (+); (+); (+),2D/3D; labels/axes/legends; shapes and lines || 2D/3D; amount of words/context/numbers; much/little data/info; symbols; take longer to interpret
entities,content.data,content,extended,1,economist_daily_chart_372.png,nan,how organised/disorganised was the picture; how many type of entities they were; numbers on entities; numbers of unique shapes/colors,(+); (+); (+); (+),color variety/shading; distracting/confusing/unclear
information,content.data,content,original,0,,,,,
parameters,content.data,content,extended,1,InfoVisJ.599.10(2).png,nan,Number of elements; Number of parameters; Number of colours; General complexity,(+); (+); (+); ?,color variety/shading
statistics,content.data,content,extended,1,wsj299.png,nan,more detailed graphics; more statistics; more colours,(+); (+); (+),color variety/shading; take longer to interpret
variables,content.data,content,extended,5,whoQ44_4.png | InfoVisJ.881.15.png | InfoVisJ.2082.3.png,"1. More numbers presented 2. Lots of different variables 3. Large numbers 4. Different colors; more information; more colours, more forms; There are more variations of shade; more information is portrayed; the shapes are more complex.; The number of different graphic elements; clear and clean; has numbers and legend; data in different formats; It is much easier to read the second graph.; Readability: the colours in the orange highlight are difficult to tell apart, which makes reading the data more difficult at a glance.; but in the second graphic I could undersant easly what is about it; Small numbers || I choose that because I recognised there is more data in the right side. Also there can be more variable thats why it came to me more complex. || No colors, more factors to consider; This image just appears to have more variables. It appears to have a lot of fine detail with corresponding data that is rather complex.; Both of these images are a bit complex. The chosen one shows way more information at first look — the information is divided and there seem to be many elements to consider.; I believe that the image on the right is more complex because it includes more ink on the page, more writing, less color, and it is more organized.; the right side is a simple histogram like figure with labels and it is understandable by readin it; more informative, easy to understand",data in  different format; number of different graphic elements; Readability; colors are difficult to tell apart; reading data more difficult; easier to read; undersant easly what is about; Small numbers; more information; shapes more complex; variations of shade; Lots of variables; Large numbers; Different colors; more forms; more colors; quicker/easier to process; legend; numbers; clear and clean || more data; more variables || easy to understand; labels; histogram like figure; more organized; more ink on the page; more writing; less color; many elements; way more information; a lot of fine detail; more variables; No colors; more factors to consider,(+); (+); (+); (+); (+); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (-) || (+); (+) || (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),"2D/3D; amount of words/context/numbers; color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; more parameters/variables; much/little data/info; shapes and lines; word rotation/small font size || more parameters/variables; much/little data/info || 2D/3D; amount of words/context/numbers; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; inadequate/few coloring; labels/axes/legends; more charts/points/lines/shapes/elements; more parameters/variables; much/little data/info; read/analyze many figures/items"
wavelet_coefficients,content.data,content,extended,1,VASTC.1.7.png,"No details color code Growth pattern; 1 - Abundance of individual objects 2 - Variation in Colours 3 - Number of vertical lines 4 - Contrasting patterns; Imaging seemed more arbitrary and complex in the orange one; the details in the orange one are finer and more intricate.; all of the dots seem like there more going on hard to make out what it means each box is significantly different; number of dots, color of dots; All of the dots make it seem like there's more going on; hard to make out what it means; each box is significantly different; clear color difference; i really dont understand that graphic. They look like stages of a process but it is not clear to me. intuitively I do not see it.; I have no experience with 'Wavelet Coefficients', therefore the coloured dots don't mean anything to me and is impossible to interpret; The way of connecting to its surroundings feels confusing and even though I somewhat understand it, it has created me confusion before; its more complex, at least for the viewer, as you first need to understand what each picture or image inside the columns tell you.",hard to make out what it means; connection to surroundingsfeels confusing; feels confusing; Abundance of individual objects; Number of vertical lines; Contrasting patterns; Variation in Colors; details are finer and more intricate; Imaging seemed arbitrary; clear color difference; Wavelet Coefficients; colored dots; impossible to interpret; color code; no details; growth pattern; more going on; dots; each box is significantly different; stages of a process; not clear; dont understand; number of dots; color of dots,(+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (+); (+); (+),"color contrast/clarity; color variety/shading; distinguishable/full/highly contrast color uses; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; shapes and lines; unclear meaning/confusing"
word_frequency,content.data,content,extended,2,MorphableWordClouds5.png | InfoVisJ.2412.16(2).png,"The image not highlighted seemed to be simply a chart showing frequency of words used. The bigger the word, the most often the use. || The second image is simpler: It is monochrome, the main points are clearly visible at a glance and there does not seem to be much more meaning to it other than the frequency at which each word is used.","The bigger the word, the most often the use.; frequency of words; chart showing frequency of words || frequency each word is used; monochrome; clearly visible at a glance",(-); (-); (-) || (-); (-); (-),"amount of words/context/numbers; domain-specific concepts (e.g., chemical, biology, map); word rotation/small font size || amount of words/context/numbers; easy/hard to interpret; monochrome"
detail,content.detail,content,original,0,,,,,
hidden_content,content.detail,content,extended,1,SciVisJ.728.4(2).png,I saw that this is visually complex because it was dark and black and no one knows whats hidden,dark and black; no one knows whats hidden; visually complex,(+); (+); (+),"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret"
small_details,content.detail,content,extended,1,wsj603.png,had many small details like the small ups and downs. There are much more information; The one on the right seems like it's fairly easy to read; There were more colours in the image on the left. The shapes and lines were more complex; Comprehensibility Readability,shapes and lines; more colors; fairly easy to read; many small details; much more information,(+); (+); (-); (+); (+),color variety/shading; easy/hard to interpret; much/little data/info; shapes and lines
biological_content,content.domain,content,extended,1,InfoVisJ.1073.3.png,The picture on the right just made me confused looking at it. I assume it's something in biology but not sure what.,something in biology; made me confused,(+); (+),"domain-specific concepts (e.g., chemical, biology, map); unclear meaning/confusing"
concept,content.domain,content,original,0,,,,,
context,content.domain,content,extended,2,VisJ.1197.5(3).png | visMost533.png,"There are a lot of layers of shapes/details. This complexity of texture is stimulating. Quantity of items in the image.; so many cube -> difficult to visualize; the image on the right I see no context whatsoever.; The one on the right has 3 dimensions, so it looks like it's showing more data and more complexity. || many elements, colors, size, names; very complex to process; Image 1 requires more understanding; it seems to contain data but lacks context, so I'm curious what it represents.",so many cube; difficult to visualize; Quantity of items; layers of shapes/details; shapes; texture is stimulating; no context || lacks context; requires more understanding; many elements; size; names; colors; very complex to process,(+); (+); (+); (+); (+); (+); (+) (-) || (+); (+); (+); (+); (+); (+); (+),"domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; shapes and lines; symbols || color contrast/clarity; easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; shapes and lines; take longer to interpret"
field_information,content.domain,content,extended,1,SciVisJ.1819.4.png,"Left ist more like water or a wave. I couldn`t see a high education inthere.; complexity in shape/s; colour variation - number of colours, number of shades of same colour; field information represented; nothing is clear",nothing is clear; complexity in shapes; field information; color variation,(+); (+); (+); (+),"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; shapes and lines"
football_imagery,content.domain,content,extended,1,InfoVisJ.621.8.png,Words are easier to understand - Football is a topic I am more familiar with,Words; Football; familiar with; Words are easier to understand,(+); (-); (-); (-),"amount of words/context/numbers; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret"
knowledge,content.domain,content,original,0,,,,,
semantic_content,content.domain,content,extended,2,VisJ.1541.1(2).png | SciVisJ.2664.2.png,"There seems to be far more noise in the image, I had to take a lot longer to try and process and think about what the image portrayed. 1. Noise 2. Understanding of what the image is; The image in the left has some contect with color hues || nan","far more noise; what the image portrayed; longer to process; color hues; context || Human interpretability; Able to imagine a meaning; Range of colours, presumably conveying meaning.",(+); (+); (+); (-); (-) || (-); (-); (-),"2D/3D; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); overlapping shapes/colors/lines; take longer to interpret || color variety/shading; take longer to interpret"
subject_matter,content.domain,content,extended,1,InfoVisC.173.9.png,"variety and boldness of colours; Even if I don't understand the image on the right, I still can think it's about hearthquake or something similar. Maybe the fact that there is a title helped a little.",variety and boldness of colors; there is little; about earthquake,(+); (-); (-),"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); much/little data/info"
terminology,content.domain,content,extended,1,VisJ.1595.6(2).png,"I believe that the image on the left is more complex because it includes more writing on the actual page, more color, more shapes, and overall, it fills the paper more, making it a more complex image.; how objects spread over the whole picture; its an equation giving coordinates and its hard to solve the dotted lines and the picture itself; The one to the right does not sound familiar to me at all. I guess it has something to do with familiarity.; the other graphic is something i am not familiar with and that is why i had chosen it; Confusing, text on left is hard to read.; multiple colors, shape, dashed box and line, unfamiliar with terms make the right one more complicated.; Both images are complex to me in their simplicity.",text hard to read; Confusing; not familiar with; hard to solve; more shapes; more writing; more color; objects spread over; does not sound familiar; dashed box; dashed line; shape; unfamiliar with terms; multiple colors,(+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),"amount of words/context/numbers; color variety/shading; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; shapes and lines; take longer to interpret; unclear meaning/confusing; word rotation/small font size"
codes_numbers,content.number,content,extended,1,InfoVisJ.485.9.png,"There are colours, a grid, numbers, and codes in the one I chose. It overall feels more complicated even though I haven't had a chance to truly analyze it.; detail is not fixed in one area. eyes would have to take in lots of separate charts of information. too much for eyes to remember as a whole image.; 1. Involves multiple graphics; 2. Involves colors; 3. Involves words/sentences.; The amount of overlapping lines Several scatter plots; 1.Image size. 2. Small details in the image. 3. The number of shapes in the image; Excessive Data Points: When a chart contains too many data points, it can overwhelm the viewer and make it difficult to discern meaningful patterns or trends. Cluttered Labels and Annotations: If labels, titles, and annotations are excessively crowded or overlapping, it can make it challenging to identify specific elements within the chart. Data Overload: Including too much data in a single chart or diagram can make it difficult to focus on the most important information and can obscure key insights.; Data is easier to compare on the left.; Mixing visual graphs and line data confusing. Unclear what is being measured. Data points not clearly marked or labelled. Very busy images, unsure where to start looking","easier to compare; unsure where to start looking; multiple graphics; colors; words/sentences; lots of separate charts; too much to remember; too many data points; too much data; labels, titles, and annotations are excessively crowded or overlapping; challenging to identify; difficult to discern; difficult to focus on; codes; numbers; more complicated; Small details; number of shapes; overlapping lines; scatter plots",(-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+) (-); (+); (+),"amount of words/context/numbers; color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines; unclear meaning/confusing"
measurements,content.number,content,extended,3,SciVisJ.1025.11.png | SciVisJ.796.5(1).png | VisJ.1949.11.png,"Lots of inscription with details, several measurements on the same graph, numbers; There are more colours in this image and it is displaying more data; -number of information -color contrast; less text; more information and nuances transportet through the picture.; Compared to the other one its a bit more complex || No measurements; Not sure what the pattern is and what color stands for || 1) I'm not sure how to interpret the highlighted image because I don't know what I'm looking at 2) No clear pattern 3) No measurements 4) Not sure what the colors differentiate",Lots of inscription with details; several measurements; inscription with details; numbers; information and nuance transported; number of information; color contrast; less text; more data; more colors || No measurements; not sure what color stands for; unsure pattern || No measurements; what the colors differentiate; No clear pattern; don't know what looking at,(+); (+); (+); (+); (+); (+); (-); (+); (+); (+) || (+); (+); (+) || (+); (+); (+); (+),"amount of words/context/numbers; color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); little/less text/numbers/context; much/little data/info; word rotation/small font size || color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); labels/axes/legends || color contrast/clarity; distracting/confusing/unclear; labels/axes/legends; unclear meaning/confusing"
metrics,content.number,content,extended,1,v488_n7410_20_f4.png,The image on the left is harder to undertand as again no metrics is provided making it harder to make sense,no metrics; harder to understand,(+); (-),easy/hard to interpret; labels/axes/legends
midpoint_values,content.number,content,extended,1,VASTC.24.5.png,"The visual has a lot of confusing numbers, letters, and overall understandability. I find that it is hard to tell what it is trying to convey and what it even measures. There are too many colors, letters, and numbers.; There are differences between the three columns that I would need more time to realise.; A, B & C has different bars; Some values are in the middle and according to me it's complicated to look at; I did not choose the left one. It seems to imply something that is not clearly stated and is not easily understood by the majority of people.","not clearly stated; not easily understood; need more time to realize; too many numbers; confusing numbers, letters; too many letters; confusing overall understandability; hard to tell; different bars; some values in the middle; complicated to look at",(+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),2D/3D; amount of words/context/numbers; color variety/shading; distracting/confusing/unclear; easy/hard to interpret; labels/axes/legends; several elements; take longer to interpret; unclear meaning/confusing; word rotation/small font size
number,content.number,content,original,0,,,,,
numbers,content.number,content,original,15,SciVisJ.1025.11.png | whoQ44_4.png | VisJ.1949.18(3).png,"Lots of inscription with details, several measurements on the same graph, numbers; There are more colours in this image and it is displaying more data; -number of information -color contrast; less text; more information and nuances transportet through the picture.; Compared to the other one its a bit more complex || 1. More numbers presented 2. Lots of different variables 3. Large numbers 4. Different colors; more information; more colours, more forms; There are more variations of shade; more information is portrayed; the shapes are more complex.; The number of different graphic elements; clear and clean; has numbers and legend; data in different formats; It is much easier to read the second graph.; Readability: the colours in the orange highlight are difficult to tell apart, which makes reading the data more difficult at a glance.; but in the second graphic I could undersant easly what is about it; Small numbers || background white we see more clearly numbers and legend; Patterns, the image I chose was slightly mesmerizing as my brain wanted to find a pattern in it. More elements. The level of contrast. The colour intensity.",Lots of inscription with details; several measurements; inscription with details; numbers; information and nuance transported; number of information; color contrast; less text; more data; more colors || data in  different format; number of different graphic elements; Readability; colors are difficult to tell apart; reading data more difficult; easier to read; undersant easly what is about; Small numbers; more information; shapes more complex; variations of shade; Lots of variables; Large numbers; Different colors; more forms; more colors; quicker/easier to process; legend; numbers; clear and clean || background white; numbers and legend; More elements.; wanted to find a pattern; color intensity.; level of contrast.,(+); (+); (+); (+); (+); (+); (-); (+); (+); (+) || (+); (+); (+); (+); (+); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (-) || (+); (+); (+); (+); (+); (+),"amount of words/context/numbers; color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); little/less text/numbers/context; much/little data/info; word rotation/small font size || 2D/3D; amount of words/context/numbers; color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; more parameters/variables; much/little data/info; shapes and lines; word rotation/small font size || color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); labels/axes/legends; more charts/points/lines/shapes/elements; white/black background / other background"
numeric_values,content.number,content,extended,1,InfoVisJ.621.6(2).png,would understand the image; The words and number in the alternative image were so familiar to me.,words and number; familiar to me,(-); (-),"amount of words/context/numbers; domain-specific concepts (e.g., chemical, biology, map)"
numerical_values,content.number,content,extended,2,SciVisJ.995.5.png | VisC.171.4.png,"The image I chose shows what information the graph is presenting, and therefore provokes more thought and understanding. There are axes, numerical values. || On the left, I don't have any idea of what is the subjetc. There are numbers that I've never seen before like ""9e+06"" ??; No graph metrics given The numbers do not make sense",axes; numerical values; information presenting; provokes thought and understanding || numbers never seen before; no idea the subjetc; No graph metrics given; numbers do not make sense,(+); (+); (+); (+) || (+); (+); (-); (+),"domain-specific concepts (e.g., chemical, biology, map); labels/axes/legends; take longer to interpret || domain-specific concepts (e.g., chemical, biology, map); labels/axes/legends; unclear meaning/confusing"
ratio,content.number,content,extended,1,InfoVisJ.339.10.png,"There were visually more details in the pictures I chose; Excessive Data Points: When a chart contains too many data points, it can overwhelm the viewer and make it difficult to discern meaningful patterns or trends. Cluttered Labels and Annotations: If labels, titles, and annotations are excessively crowded or overlapping, it can make it challenging to identify specific elements within the chart. Poor Color Choices: Using too many colors or poorly contrasting colors can make it difficult to differentiate between different data series or categories. Data Overload: Including too much data in a single chart or diagram can make it difficult to focus on the most important information and can obscure key insights.; there are more information shown - you need more time to understand what this chart shows - you need time to understand what this chart even stands for; there are numbers, sticks and boxes and we don't know what is the distribution of numbers and what is the ratio between them; çizilen çizgilerin keskin renge sahip olmaması","numbers, sticks and boxes; the distribution of numbers; the ratio between them; more information shown; more time to understand; visually more details",(+); (+); (+); (+); (+); (+),2D/3D; amount of words/context/numbers; much/little data/info; symbols; take longer to interpret
values,content.number,content,extended,1,InfoVisC.24.8(1).png,"Values - Graphic and vales have logic (left one is more complex at least the right can see words). Graphs generation - how the graph is generated, size, length, points (left one is more complex).both are complex.",Values - Graphic and vales have logic; can see words,(+); (-),2D/3D; labels/axes/legends
axes,furniture.axes,furniture,original,20,v483_n7391_8_f5.png | v488_n7409_19_f1.png | treasuryG07_2.png,"The graph is something I am unfamiliar with, it is harder to read and understand, and it is visually more striking.; as a coloured surface, which is harder to discern; contains more information; Too many similar colours, and axis; A lot of data; More colors; More numbers; The data in the chosen picture are more difficult to read. The graph itself seems conveying more data; The other image has an order; require a more specialized education to understand.; the left has more details and displayed via a bar chart - more simple. It is harder to read.; there are more colors, more information to look at, the lines are wavy and not straightforward; Much more data on the graph than just words.; The image in orange could be anything — an individual without specialized knowledge would be clueless as to what it is. Multiple data points in the image in orange. To the human eye it is more complex: whereas most graphs have two axes (as in the seismic graph), the orange image has four axes and is more difficult to understand based on the results presented.; I feel like the left seems pretty organized and easy to understand, also the colors on both side left are identical, which makes it less complex for me. It's structured.; four labelled axes; separate colour scale; Both have 3 variables; the right one representing one variable with a heat map makes it easier for me to understand at a glance. Curve lines limiting the heat map also helps. || It was very hard to understand what is going on. The first one has lots of different colors. It was difficult to understand what is happening because of the small font used in the letters.; The image I chose as more more complex had more colours in comparison to the other image and more variables.; Many more factors to consider; Way more colors and points of the graph; Bigger graph; A lot more parameters. Color to take into account to understand the graph.; I didn't understand the image as much as I did the other one. It was visually complex in the sense that it wasn't intuitive to the average person to interpret. The key in the image I selected is quite expansive and contains a lot of terms I do not know. There are many more different visual components at work in the image I selected: colors, shapes, tables, texts, as well as implied data points/patterns.; there is more detail on the right. there are lots more isolated squares, and just appear more random. There are more unique colours.; there is more colors and more points and axis of parameters.; the first one look more important because there is a lot of stuff writting; - Colors are more appealing; More words more squares than dots multiple axes; A lot of colors are used. All of the colors and squares are scattered all over. Really small writing and labels. Ineligible for the size of the chart.; A lot of colors are used. All of the colors and squares are scattered all over. Lots of small writing and labels. Ineligible for the size of the chart. || The more straightforward lines in the picture (easier to read and discern).; lines, graph",Curve lines; one variable; heat map; understand at a glance; conveying more data; difficult to read; colored surface; harder to discern; more data points; more axes; require specialized education to understand.; four labeled axes; separate color scale; organized; structured; colors on both side left are identical; easy to understand; ordered; more details; bar chart; harder to read; A lot of data; More colors; More numbers; more information; lines not straightforward; more colors; Multiple data points; four axes; seismic graph; clueless; more difficult to understand; Too many similar colors; axis; visually more striking; unfamiliar with; harder to read and understand; Much more data; words || more squares than dots; More words; multiple axes; more points; axis of parameters; more colors; a lot of stuff writting; more factors to consider; lots of colors; small font; difficult to understand; Colors more appealing; squares scattered all over.; Ineligible; labels; small writing; A lot of colors; more detail; isolated squares; more unique colors; more variables; squares scattered all over; ineligible; small writing and labels; A lot more parameters; Color to take into account; a lot of terms; many more different visual components; shapes; key in the image; texts; colors; didn't understand; wasn't intuitive || straightforward lines; easier to read; easier to read and discern; lines; graph,(-); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (-); (+); (+); (+); (+); (-) || (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+) || (-); (-); (-); (+); (+),"2D/3D; amount of words/context/numbers; color contrast/clarity; color variety/shading; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; much/little data/info; ordered; shapes and lines; take longer to interpret || amount of words/context/numbers; color contrast/clarity; color variety/shading; distinguishable/full/highly contrast color uses; distracting/confusing/unclear; easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; more parameters/variables; much/little data/info; overlapping shapes/colors/lines; read/analyze many figures/items; scattered shapes (e.g., dots, squares, pictures); shapes and lines; take longer to interpret; unclear meaning/confusing; word rotation/small font size || domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; shapes and lines; word rotation/small font size"
axis,furniture.axes,furniture,original,3,VisC.527.1.png | VASTJ.320.11.png | VisC.297.4.png,"When I look at the image of the left, its easier. Dots in more or less a line, axis, few items. || - Almost no explanation - No graphic leyend - No axis || black and white; only one shape (a vertical live) and multiple copies of it. They are also on the same horizontal axis",few items; Dots in more or less a line; axis; its easier || Almost no explanation; No axis; No graphic legend || multiple copies; on the same axis; one shape; black and white,(-); (-); (-); (-) || (+); (+); (+) || (-); (-); (-); (-),easy/hard to interpret; labels/axes/legends; much/little data/info; shape increase/decrease point || labels/axes/legends || 2D/3D; color variety/shading; more charts/points/lines/shapes/elements; shapes and lines
timeline,furniture.axes,furniture,extended,1,vis678.png,"The image I chose would be more difficult to me to describe to someone. The reason I chose it must be the all the designs, color differences, data and concept.; The image I picked has a lot of charts at once, while also being mixed with a timeline. It is also confusing that there are two different charts and some bits of text.; its dense clutter of elements, varied and vibrant color usage indicating different data categories, a high degree of interconnectedness showcasing complex relationships. It was essentially harder to read.; Very busy, a lot going on, lots of details and images. A lot of intricacy.","dense clutter of elements; varied and vibrant color; harder to read; Very busy; lots of details; color differences; design, data and concept; difficult for me to describe; a lot of charts; mixed with a timeline; some text; confusing",(+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),color variety/shading; design-data relationship; distracting/confusing/unclear; easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines
x_axis,furniture.axes,furniture,original,5,economist_daily_chart_140.png | SciVisJ.259.14.png | VASTJ.51.8.png,"The other image is easier to understand as the figures are displayed along with the countries, so with just a glance everything is summarized.; I chose the image with the orange complex because I am not familiar with the world map. I knew for certain that I did not know the countries highlighted, therefore, I was more confused.; while on the left, 3 axes: x, y, color || In this instance the image on the right felt like a weather map, which is easily recognisable to me, even though this particular map is less recognisable it ""felt"" familiar and therefore I made the selection as I did.; even tough i dont know what is supposed to show me because the x-axis is not labeled it seems to be more detailed. || 3 aspects, color, x-position and y-position is too much variables",did not know the countries highlighted; not familiar with the world map; orange complex; I was more confused; countries; easier to understand; just a glance everything is summarized; 3 axes; x; y; color || x-axis is not labeled; easily recognizable; weather map || 3 aspects; too much variables; x-position; y-position,(+); (+); (+); (+); (+); (-); (-); (-); (-); (+); (+) || (+); (-); (-) || (+); (+); (+); (+),"color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; unclear meaning/confusing || domain-specific concepts (e.g., chemical, biology, map); labels/axes/legends || labels/axes/legends; more parameters/variables"
