imageName,VisType,rawUserComments,originalPhrases,originalSentiments,n_obj,n_attr,n_rel,objects,attributes,relationships
whoQ44_4.png,Area,"1. More numbers presented 2. Lots of different variables 3. Large numbers 4. Different colors; more information; more colours, more forms; There are more variations of shade; more information is portrayed; the shapes are more complex.; The number of different graphic elements; clear and clean; has numbers and legend; data in different formats; It is much easier to read the second graph.; Readability: the colours in the orange highlight are difficult to tell apart, which makes reading the data more difficult at a glance.; but in the second graphic I could undersant easly what is about it; Small numbers",data in  different format; number of different graphic elements; Readability; colors are difficult to tell apart; reading data more difficult; easier to read; undersant easly what is about; Small numbers; more information; shapes more complex; variations of shade; Lots of variables; Large numbers; Different colors; more forms; more colors; quicker/easier to process; legend; numbers; clear and clean,(+); (+); (+); (+); (+); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (-),7,19,5,chart --> whole.visualization [overall] | graphic_elements --> mark.element [data_area] | colors --> property.color [data_area] | legend --> furniture.legend [legend] | numbers --> content.number [data_area] | variables --> content.data [data_area] | shapes --> mark.shape [data_area],data_in_different_format @ chart (whole.visualization) [+] | more_information_present @ chart (whole.visualization) [+] | clear_and_clean_layout @ chart (whole.visualization) [-] | quicker_easier_to_process @ chart (whole.visualization) [-] | easier_to_read @ chart (whole.visualization) [-] | understand_easily_what_about @ chart (whole.visualization) [-] | reading_data_more_difficult @ chart (whole.visualization) [+] | reduced_readability @ chart (whole.visualization) [+] | high_number_of_elements @ graphic_elements (mark.element) [+] | more_forms_present @ graphic_elements (mark.element) [+] | difficult_to_tell_apart @ colors (property.color) [+] | variations_of_shade @ colors (property.color) [+] | more_colors_used @ colors (property.color) [+] | different_colors_present @ colors (property.color) [+] | legend_adds_complexity @ legend (furniture.legend) [+] | small_numbers_present @ numbers (content.number) [-] | large_numbers_present @ numbers (content.number) [+] | lots_of_variables @ variables (content.data) [+] | shapes_more_complex @ shapes (mark.shape) [+],graphic_elements(mark.element) --increases_visual_clutter_in--> chart(whole.visualization) [+] | colors(property.color) --complicates_interpretation_of--> legend(furniture.legend) [+] | variables(content.data) --adds_cognitive_load_to--> chart(whole.visualization) [+] | shapes(mark.shape) --increases_encoding_complexity_in--> chart(whole.visualization) [+] | numbers(content.number) --contributes_to_readability_of--> chart(whole.visualization) [-]
SciVisJ.2926.1.png,Cont.-ColorPatn,I don't know what it presents. So it starts with some level of complexity.,don't know what it presents.,(+),1,3,0,visualization --> whole.visualization [overall],unclear_content_meaning @ visualization (whole.visualization) [+] | high_interpretive_difficulty @ visualization (whole.visualization) [+] | requires_domain_knowledge @ visualization (whole.visualization) [+],
VisJ.1515.12.png,Cont.-ColorPatn,"it was harder for my eyes to focus on the colours in this picture making it harder to adjust and see the colours.; the contrast of the colors is really weird and it doesnt make sense; Colour coded for separating facts; more lines, making it more difficult to identify differences in the information presented; i have no idea what is going on. i cannot make sense of it; I didn't understand what the left image was demonstrating; i have more dificulty to read this image for me.i don't know what to say; really don't understand this one; Processing information is not possible on the selected image; no context; too dark; Hard measure; Hard to find exact feature; I was looking for images that made sense to me, in terms of how I would retrieve data, the orange highlighted one gave me no further information; the image is not as understandable in terms of shapes and what it resembles",don't understand; didn't understand; in terms of shapes; what it resembles; not as understandable; Processing information is not possible; more lines; Color coded for separating facts; difficult to identify differences in information; no context; too dark; cannot make sense of it; contrast of the colors; color contrast really weird; colors; harder for my eyes to focus; gave no further information; don't know what to say; exact feature; measure; Hard measure; Hard to find exact feature,(+); (+); (+); (+); (+); (+); (+); (+); (+); (+) (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),6,12,5,lines --> mark.line [data_area] | shapes --> mark.shape [data_area] | colors --> property.color [overall] | legend --> furniture.legend [legend] | labels --> text.label [axes] | background --> structure.background [overall],multiple_lines_present @ lines (mark.line) [+] | difficult_to_differentiate @ lines (mark.line) [+] | ambiguous_shape_encoding @ shapes (mark.shape) [+] | unclear_resemblance @ shapes (mark.shape) [+] | color_coded_separation @ colors (property.color) [-] | weird_color_contrast @ colors (property.color) [+] | hard_to_focus_eyes @ colors (property.color) [+] | provides_no_context @ legend (furniture.legend) [+] | gives_no_further_information @ legend (furniture.legend) [+] | hard_to_find_features @ labels (text.label) [+] | measure_not_clear @ labels (text.label) [+] | too_dark @ background (structure.background) [+],colors(property.color) --causes_difficulty_identifying--> lines(mark.line) [+] | background(structure.background) --increases_visual_strain_on--> colors(property.color) [+] | legend(furniture.legend) --fails_to_clarify--> shapes(mark.shape) [+] | lines(mark.line) --contributes_to_clutter_with--> shapes(mark.shape) [+] | labels(text.label) --lacks(raw:lacks_context_for)--> lines(mark.line) [+]
v487_n7406_7_f3.png,Glyph,There are more colors and more details all mixed up to scrutinize on the orange highlight image. Datas printed on orange highlight image seem more difficult to understand.,mixed up; more details; more colors; more difficult to understand,(+); (+); (+); (+),4,4,3,chart --> whole.visualization [overall] | color_scheme --> property.color [data_area] | details --> content.detail [data_area] | layout --> structure.layout [overall],multiple_colors_present @ color_scheme (property.color) [+] | high_detail_density @ details (content.detail) [+] | mixed_up_arrangement @ layout (structure.layout) [+] | difficult_to_understand @ chart (whole.visualization) [+],color_scheme(property.color) --increases_clutter_in--> chart(whole.visualization) [+] | details(content.detail) --contributes_to_difficulty_of--> chart(whole.visualization) [+] | layout(structure.layout) --appears_mixed_up_within--> chart(whole.visualization) [+]
SciVisJ.980.12(2).png,Glyph,"The most important is to understand the topic, what I am looking at. Then the quality of the picture has to be reasonably good, with distinct colours and clear text.",clear text; distinct colors,(-); (+),2,2,1,text_labels --> text.label [axes] | color_encoding --> property.color [data_area],clear_and_legible @ text_labels (text.label) [-] | distinct_color_variety @ color_encoding (property.color) [+],color_encoding(property.color) --differentiates(raw:contrasts_with)--> text_labels(text.label) [+]
SciVisJ.1236.10.png,Grid,"The amount of pixels and colors also with different patterns and partly mixed up seemed more intense on the right side. Also the text abpve the pixel add up to it being more complex to me.; Number of square. Variety of data in every square. convey much more data.; On the contrary the left image is clear, it shows everything by columns and rows which is easier to visualize.; The more complex image needs to be studied more intently to make sense of.; I have no idea what Image 1 is; it makes me curious what it means and the colors seem to have some sort of meaning.; I dont understand at all the image selected, neither the graphics nor the data. I have never seen something similar.; The image with the orange box has 1. different shapes and sizes of blurred purple and green boxes 2. labels are top are confusing to decode; The meaning of the code which i don't understand",needs to be studied more intently to make sense of; different shapes and sizes; blurred purple and green boxes; labels; meaning of the code; don't understand; not something similar.; dont understand at all; no idea what Image is; the colors seem to have meaning; Number of square; Variety of data in square; columns and rows; easier to visualize,(+); (+); (+); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-),5,11,4,grid --> structure.grid [data_area] | squares --> mark.shape [data_area] | colors --> property.color [data_area] | labels --> text.label [axes] | columns_and_rows --> structure.grid [overall],different_shapes_and_sizes @ squares (mark.shape) [+] | blurred_appearance @ squares (mark.shape) [+] | high_quantity_of_squares @ squares (mark.shape) [+] | variety_of_data_within @ squares (mark.shape) [+] | purple_and_green_hues @ colors (property.color) [+] | colors_carry_meaning @ colors (property.color) [+] | aids_interpretation @ labels (text.label) [-] | structured_layout @ columns_and_rows (structure.grid) [-] | requires_domain_knowledge @ grid (structure.grid) [+] | unfamiliar_visualization_type @ grid (structure.grid) [+] | needs_intense_study @ grid (structure.grid) [+],columns_and_rows(structure.grid) --makes_easier_to_visualize--> grid(structure.grid) [-] | colors(property.color) --encodes_unclear_meaning_in--> squares(mark.shape) [+] | labels(text.label) --partially_clarifies--> squares(mark.shape) [-] | squares(mark.shape) --contributes_to_clutter_in--> grid(structure.grid) [+]
v483_n7391_8_f5.png,Cont.-ColorPatn,"The graph is something I am unfamiliar with, it is harder to read and understand, and it is visually more striking.; as a coloured surface, which is harder to discern; contains more information; Too many similar colours, and axis; A lot of data; More colors; More numbers; The data in the chosen picture are more difficult to read. The graph itself seems conveying more data; The other image has an order; require a more specialized education to understand.; the left has more details and displayed via a bar chart - more simple. It is harder to read.; there are more colors, more information to look at, the lines are wavy and not straightforward; Much more data on the graph than just words.; The image in orange could be anything — an individual without specialized knowledge would be clueless as to what it is. Multiple data points in the image in orange. To the human eye it is more complex: whereas most graphs have two axes (as in the seismic graph), the orange image has four axes and is more difficult to understand based on the results presented.; I feel like the left seems pretty organized and easy to understand, also the colors on both side left are identical, which makes it less complex for me. It's structured.; four labelled axes; separate colour scale; Both have 3 variables; the right one representing one variable with a heat map makes it easier for me to understand at a glance. Curve lines limiting the heat map also helps.",Curve lines; one variable; heat map; understand at a glance; conveying more data; difficult to read; colored surface; harder to discern; more data points; more axes; require specialized education to understand.; four labeled axes; separate color scale; organized; structured; colors on both side left are identical; easy to understand; ordered; more details; bar chart; harder to read; A lot of data; More colors; More numbers; more information; lines not straightforward; more colors; Multiple data points; four axes; seismic graph; clueless; more difficult to understand; Too many similar colors; axis; visually more striking; unfamiliar with; harder to read and understand; Much more data; words,(-); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (-); (+); (+); (+); (+); (-),7,24,6,colored_surface --> mark.area [data_area] | color_scale --> property.color [legend] | axes --> furniture.axes [axes] | axis_labels --> text.axis_label [axes] | data_points --> mark.point [data_area] | curve_lines --> mark.line [data_area] | text_labels --> text.label [axes],visually_striking_surface @ colored_surface (mark.area) [+] | difficult_to_read @ colored_surface (mark.area) [+] | conveys_more_data @ colored_surface (mark.area) [+] | harder_to_discern @ colored_surface (mark.area) [+] | separate_color_scale @ color_scale (property.color) [+] | too_many_similar_colors @ color_scale (property.color) [+] | more_colors_present @ color_scale (property.color) [+] | identical_colors_both_sides @ color_scale (property.color) [+] | four_labeled_axes @ axes (furniture.axes) [+] | more_axes_present @ axes (furniture.axes) [+] | axis_aids_orientation @ axes (furniture.axes) [-] | more_numbers_present @ axis_labels (text.axis_label) [+] | words_aid_reading @ axis_labels (text.axis_label) [-] | multiple_data_points @ data_points (mark.point) [+] | much_more_data @ data_points (mark.point) [+] | more_details_present @ data_points (mark.point) [+] | lines_not_straightforward @ curve_lines (mark.line) [+] | curve_lines_simple @ curve_lines (mark.line) [-] | requires_specialized_education @ colored_surface (mark.area) [+] | unfamiliar_chart_type @ colored_surface (mark.area) [+] | more_difficult_to_understand @ colored_surface (mark.area) [+] | organized_structured_layout @ colored_surface (mark.area) [-] | easy_to_understand @ colored_surface (mark.area) [-] | understand_at_a_glance @ colored_surface (mark.area) [-],colored_surface(mark.area) --encoded_with--> color_scale(property.color) [+] | colored_surface(mark.area) --bounded_by--> axes(furniture.axes) [+] | axes(furniture.axes) --labeled_with--> axis_labels(text.axis_label) [+] | colored_surface(mark.area) --contains--> data_points(mark.point) [+] | colored_surface(mark.area) --overlaid_with--> curve_lines(mark.line) [+] | color_scale(property.color) --increases_clutter_of--> colored_surface(mark.area) [+]
InfoVisJ.2699.12.png,Node-link,"less white space; red colours amongst lots of black overlapping lines; straight lines, dots, colour and shapes used",less white space; lots of overlapping lines; dots; shapes; straight lines; red colors,(+); (+); (-); (+); (-); (+),5,6,3,white_space --> structure.background [overall] | lines --> mark.line [data_area] | dots --> mark.point [data_area] | shapes --> mark.shape [data_area] | red_colors --> property.color [data_area],reduced_white_space @ white_space (structure.background) [+] | high_overlap_density @ lines (mark.line) [+] | straight_line_encoding @ lines (mark.line) [-] | simple_point_marks @ dots (mark.point) [-] | varied_shape_types @ shapes (mark.shape) [+] | prominent_red_coloring @ red_colors (property.color) [+],lines(mark.line) --overlaps_with--> lines(mark.line) [+] | shapes(mark.shape) --increases_clutter_over--> dots(mark.point) [+] | red_colors(property.color) --visually_dominates--> lines(mark.line) [+]
VisJ.1197.5(3).png,Glyph,"There are a lot of layers of shapes/details. This complexity of texture is stimulating. Quantity of items in the image.; so many cube -> difficult to visualize; the image on the right I see no context whatsoever.; The one on the right has 3 dimensions, so it looks like it's showing more data and more complexity.",so many cube; difficult to visualize; Quantity of items; layers of shapes/details; shapes; texture is stimulating; no context,(+); (+); (+); (+); (+); (+); (+) (-),4,8,3,cubes --> mark.shape [data_area] | layers --> structure.layout [data_area] | texture --> property.texture [overall] | context --> content.domain [overall],large_quantity_of_cubes @ cubes (mark.shape) [+] | difficult_to_visualize @ cubes (mark.shape) [+] | high_item_quantity @ cubes (mark.shape) [+] | layered_shapes_and_details @ layers (structure.layout) [+] | overlapping_shape_complexity @ layers (structure.layout) [+] | visually_stimulating_texture @ texture (property.texture) [+] | no_context_provided @ context (content.domain) [+] | absence_aids_simplicity @ context (content.domain) [-],cubes(mark.shape) --arranged_in--> layers(structure.layout) [+] | layers(structure.layout) --contributes_to--> texture(property.texture) [+] | context(content.domain) --increases_ambiguity(raw:increases_ambiguity_of)--> cubes(mark.shape) [+]
whoQ50_2.png,Bar,Image 1 I would say is most important because it can easily be read.,can easily be read,(-),1,1,0,visualization --> whole.visualization [overall],easily_readable_content @ visualization (whole.visualization) [-],
VisC.503.6.png,Bar,The graph has more information and looks complex. The bar graphs look more important than the circle graphs. It looks more professional than the other graph. There is more detail surrounding the graph for better understanding,bar graphs; circle graphs; easy to understand,(+); (-); (-),2,3,1,bar_graph --> whole.visualization [data_area] | circle_graph --> whole.visualization [data_area],increases_visual_complexity @ bar_graph (whole.visualization) [+] | simple_circular_form @ circle_graph (whole.visualization) [-] | easy_to_understand @ circle_graph (whole.visualization) [-],bar_graph(whole.visualization) --combined_with--> circle_graph(whole.visualization) [+]
InfoVisC.211.18.png,Bar,Bar graph is incredibly simple,Bar graph; incredibly simple,(-); (-),1,2,0,bar_graph --> whole.visualization [overall],familiar_chart_type @ bar_graph (whole.visualization) [-] | very_low_complexity @ bar_graph (whole.visualization) [-],
whoJ44.png,Line,data shown as lines; contains less information,less information; lines,(-); (+),2,2,1,chart --> whole.visualization [overall] | lines --> mark.line [data_area],less_information_present @ chart (whole.visualization) [-] | multiple_lines_present @ lines (mark.line) [+],lines(mark.line) --increases_clutter_in--> chart(whole.visualization) [+]
InfoVisJ.2402.12(1).png,Area,1. i felt like this cotains a multitude of observations 2. differnent sizes/figures 3. different colors; the left side looks like a complex image generated by some sort of light detection or graphing software that i am not familiar with.; their actions and use their size growing small as they go down,size growing small; colors distribution; not familiar with; a multitude of observations; differnent sizes/figures; different colors,(-); (+); (+); (+); (+); (-),4,6,3,data_points --> mark.point [data_area] | size_encoding --> property.encoding [data_area] | color_encoding --> property.color [data_area] | chart_type --> whole.visualization [overall],size_varies_small_to_large @ size_encoding (property.encoding) [-] | multiple_colors_distributed @ color_encoding (property.color) [+] | unfamiliar_chart_form @ chart_type (whole.visualization) [+] | multitude_of_observations @ data_points (mark.point) [+] | different_sizes_and_figures @ size_encoding (property.encoding) [+] | different_colors_present @ color_encoding (property.color) [-],size_encoding(property.encoding) --encodes_variation_via--> color_encoding(property.color) [+] | data_points(mark.point) --rendered_with--> size_encoding(property.encoding) [+] | chart_type(whole.visualization) --requires_expertise(raw:requires_domain_knowledge_for)--> data_points(mark.point) [+]
wsj340.png,Bar,"The right image is a chart with a title, description, labels and coloured segments, therefore it doesn't need to do as much visually.; 1. Variety and Density of Elements, 2.Level of Detail 3. Depth and Dimensionality and 4.Interconnectedness of Elements.",description; labels; title; colored segments; chart; doesn't need to do as much visually,(-); (-); (-); (-); (-); (-),5,5,3,chart --> whole.visualization [overall] | title --> text.title [title] | labels --> text.label [axes] | colored_segments --> mark.color_segment [data_area] | description --> text.description [annotation],low_visual_demand @ chart (whole.visualization) [-] | clear_informative_title @ title (text.title) [-] | readable_labels_present @ labels (text.label) [-] | limited_color_segments @ colored_segments (mark.color_segment) [-] | explanatory_description_present @ description (text.description) [-],title(text.title) --reduces_interpretive_effort_of--> chart(whole.visualization) [-] | description(text.description) --supplements_encoding_of--> colored_segments(mark.color_segment) [-] | labels(text.label) --clarifies(raw:clarifies_meaning_of)--> colored_segments(mark.color_segment) [-]
VisC.167.11.png,Bar,"just a bar graph, with colours representing groups, one can get the message of the visualisation in 1-2 seconds.; ana renklerin *ok kullan*lmamas*",bar graph; colors representing groups; get the message of the visualization in 1-2 seconds,(-); (-); (-),3,4,2,bar_graph --> whole.visualization [overall] | bars --> mark.bar [data_area] | color_encoding --> property.color [legend],familiar_chart_type @ bar_graph (whole.visualization) [-] | grouped_by_color @ bars (mark.bar) [-] | colors_represent_groups @ color_encoding (property.color) [-] | rapidly_interpretable_message @ bar_graph (whole.visualization) [-],bars(mark.bar) --encoded_with--> color_encoding(property.color) [-] | bar_graph(whole.visualization) --enables_quick_comprehension--> bars(mark.bar) [-]
VASTJ.2908.2.png,Grid,"A lot of similar looking colors, lack of a grid so it makes it harder to look at the data points.",similar looking colors; lack of a grid; makes it harder to look at the data points,(+); (+); (+),3,3,2,data_points --> mark.point [data_area] | color_encoding --> property.color [data_area] | grid --> structure.grid [data_area],similar_looking_colors @ color_encoding (property.color) [+] | absent_grid_lines @ grid (structure.grid) [+] | hard_to_distinguish_points @ data_points (mark.point) [+],color_encoding(property.color) --makes_harder_to_read--> data_points(mark.point) [+] | grid(structure.grid) --absence_impedes_reading--> data_points(mark.point) [+]
InfoVisJ.1236.13.png,Area,The right is much harder to get grip of on many levels. Then there was also the scale and the frame with values on the right which adds up to the complexity.,frame with values; scale,(-); (-),2,2,1,frame --> structure.panel [axes] | scale --> furniture.scale [axes],provides_value_reference @ frame (structure.panel) [-] | aids_data_interpretation @ scale (furniture.scale) [-],scale(furniture.scale) --aids_interpretation(raw:supports_readability_of)--> frame(structure.panel) [-]
economist_daily_chart_153.png,Area,The blue image looks softer and more pleasant to watch so that it give an impression of being less complex. The blue image and its datas seems easier to read and comprehend.,softer; more pleasant; easier to read and comprehend,(-); (-); (-),3,4,2,chart --> whole.visualization [overall] | color_palette --> property.color [data_area] | text_labels --> text.label [axes],soft_color_tones @ color_palette (property.color) [-] | visually_pleasant_appearance @ color_palette (property.color) [-] | easy_to_comprehend @ chart (whole.visualization) [-] | readable_text_elements @ text_labels (text.label) [-],color_palette(property.color) --reduces_cognitive_load_of--> chart(whole.visualization) [-] | color_palette(property.color) --contributes_to_pleasant_feel_of--> chart(whole.visualization) [-]
InfoVisC.73.6.png,Text,"cluter on screen; text; The left image seems simpler, with just text changing fonts and lines.; dark green; Volume of information Time to evaluate context Spread of information on the image Data interpretation; harder to understand; this one has text; I do recognize a few of the words there when I briefly glanced it; however, I am not sure what it means or what it is used for.",Spread of information; Volume of information; text; harder to understand; dark green; cluter on screen; has text; changing fonts; lines; a few of the words; not sure what it is used for; not sure what it means,(-); (+) (-); (+); (-); (-); (+); (+); (-); (+); (-); (-); (-),5,10,4,chart --> whole.visualization [overall] | text_labels --> text.label [data_area] | lines --> mark.line [data_area] | color_encoding --> property.color [data_area] | font_styling --> property.font_style [overall],spread_of_information @ chart (whole.visualization) [-] | high_volume_of_information @ chart (whole.visualization) [+] | cluttered_screen_layout @ chart (whole.visualization) [+] | unclear_purpose_or_use @ chart (whole.visualization) [-] | meaning_not_apparent @ chart (whole.visualization) [-] | text_present @ text_labels (text.label) [+] | few_readable_words @ text_labels (text.label) [-] | multiple_lines_present @ lines (mark.line) [+] | dark_green_color_used @ color_encoding (property.color) [-] | changing_fonts_present @ font_styling (property.font_style) [-],text_labels(text.label) --contributes_to--> chart(whole.visualization) [+] | lines(mark.line) --adds_clutter_to--> chart(whole.visualization) [+] | color_encoding(property.color) --simplifies(raw:reduces_complexity_of)--> chart(whole.visualization) [-] | font_styling(property.font_style) --reduces_legibility_of--> text_labels(text.label) [-]
SciVisJ.822.18.png,Grid,,Comprehensibility; Readability,(-); (+),2,2,1,visualization --> whole.visualization [overall] | text_elements --> text.label [axes],generally_comprehensible @ visualization (whole.visualization) [-] | low_readability @ text_elements (text.label) [+],text_elements(text.label) --hinders_reading(raw:hinders_interpretation_of)--> visualization(whole.visualization) [+]
