imageName,VisType,originalPhrases,originalSentiments,subj_raw,subj_synset,subj_category,subj_attrs,pred_raw,pred_canon,obj_raw,obj_synset,obj_category,obj_attrs,sentiment,topic
whoQ44_4.png,Area,data in  different format; number of different graphic elements; Readability; colors are difficult to tell apart; reading data more difficult; easier to read; undersant easly what is about; Small numbers; more information; shapes more complex; variations of shade; Lots of variables; Large numbers; Different colors; more forms; more colors; quicker/easier to process; legend; numbers; clear and clean,(+); (+); (+); (+); (+); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (-),colors,property.color,property,difficult_to_tell_apart; variations_of_shade; more_colors_used; different_colors_present,complicates_interpretation_of,complicates_interpretation_of,legend,furniture.legend,furniture,legend_adds_complexity,[+],"Color, Symbol, and Texture Details"
whoQ44_4.png,Area,data in  different format; number of different graphic elements; Readability; colors are difficult to tell apart; reading data more difficult; easier to read; undersant easly what is about; Small numbers; more information; shapes more complex; variations of shade; Lots of variables; Large numbers; Different colors; more forms; more colors; quicker/easier to process; legend; numbers; clear and clean,(+); (+); (+); (+); (+); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (-),variables,content.data,content,lots_of_variables,adds_cognitive_load_to,adds_cognitive_load_to,chart,whole.visualization,whole,data_in_different_format; more_information_present; clear_and_clean_layout; quicker_easier_to_process; easier_to_read; understand_easily_what_about; reading_data_more_difficult; reduced_readability,[+],Immediacy / Cognitive Load
whoQ44_4.png,Area,data in  different format; number of different graphic elements; Readability; colors are difficult to tell apart; reading data more difficult; easier to read; undersant easly what is about; Small numbers; more information; shapes more complex; variations of shade; Lots of variables; Large numbers; Different colors; more forms; more colors; quicker/easier to process; legend; numbers; clear and clean,(+); (+); (+); (+); (+); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (-),shapes,mark.shape,mark,shapes_more_complex,increases_encoding_complexity_in,increases_encoding_complexity_in,chart,whole.visualization,whole,data_in_different_format; more_information_present; clear_and_clean_layout; quicker_easier_to_process; easier_to_read; understand_easily_what_about; reading_data_more_difficult; reduced_readability,[+],Visual Encoding Clarity
whoQ44_4.png,Area,data in  different format; number of different graphic elements; Readability; colors are difficult to tell apart; reading data more difficult; easier to read; undersant easly what is about; Small numbers; more information; shapes more complex; variations of shade; Lots of variables; Large numbers; Different colors; more forms; more colors; quicker/easier to process; legend; numbers; clear and clean,(+); (+); (+); (+); (+); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (-),numbers,content.number,content,small_numbers_present; large_numbers_present,contributes_to_readability_of,contributes_to_readability_of,chart,whole.visualization,whole,data_in_different_format; more_information_present; clear_and_clean_layout; quicker_easier_to_process; easier_to_read; understand_easily_what_about; reading_data_more_difficult; reduced_readability,[-],Semantics / Text Legibility
VisJ.1515.12.png,Cont.-ColorPatn,don't understand; didn't understand; in terms of shapes; what it resembles; not as understandable; Processing information is not possible; more lines; Color coded for separating facts; difficult to identify differences in information; no context; too dark; cannot make sense of it; contrast of the colors; color contrast really weird; colors; harder for my eyes to focus; gave no further information; don't know what to say; exact feature; measure; Hard measure; Hard to find exact feature,(+); (+); (+); (+); (+); (+); (+); (+); (+); (+) (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),colors,property.color,property,color_coded_separation; weird_color_contrast; hard_to_focus_eyes,causes_difficulty_identifying,causes_difficulty_identifying,lines,mark.line,mark,multiple_lines_present; difficult_to_differentiate,[+],Visual Encoding Clarity
VisJ.1515.12.png,Cont.-ColorPatn,don't understand; didn't understand; in terms of shapes; what it resembles; not as understandable; Processing information is not possible; more lines; Color coded for separating facts; difficult to identify differences in information; no context; too dark; cannot make sense of it; contrast of the colors; color contrast really weird; colors; harder for my eyes to focus; gave no further information; don't know what to say; exact feature; measure; Hard measure; Hard to find exact feature,(+); (+); (+); (+); (+); (+); (+); (+); (+); (+) (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),background,structure.background,structure,too_dark,increases_visual_strain_on,increases_visual_strain_on,colors,property.color,property,color_coded_separation; weird_color_contrast; hard_to_focus_eyes,[+],Aesthetics Uncertainty
VisJ.1515.12.png,Cont.-ColorPatn,don't understand; didn't understand; in terms of shapes; what it resembles; not as understandable; Processing information is not possible; more lines; Color coded for separating facts; difficult to identify differences in information; no context; too dark; cannot make sense of it; contrast of the colors; color contrast really weird; colors; harder for my eyes to focus; gave no further information; don't know what to say; exact feature; measure; Hard measure; Hard to find exact feature,(+); (+); (+); (+); (+); (+); (+); (+); (+); (+) (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),legend,furniture.legend,furniture,provides_no_context; gives_no_further_information,fails_to_clarify,fails_to_clarify,shapes,mark.shape,mark,ambiguous_shape_encoding; unclear_resemblance,[+],Immediacy / Cognitive Load
VisJ.1515.12.png,Cont.-ColorPatn,don't understand; didn't understand; in terms of shapes; what it resembles; not as understandable; Processing information is not possible; more lines; Color coded for separating facts; difficult to identify differences in information; no context; too dark; cannot make sense of it; contrast of the colors; color contrast really weird; colors; harder for my eyes to focus; gave no further information; don't know what to say; exact feature; measure; Hard measure; Hard to find exact feature,(+); (+); (+); (+); (+); (+); (+); (+); (+); (+) (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),lines,mark.line,mark,multiple_lines_present; difficult_to_differentiate,contributes_to_clutter_with,contributes_to_clutter_with,shapes,mark.shape,mark,ambiguous_shape_encoding; unclear_resemblance,[+],Data Density / Image Clutter
VisJ.1515.12.png,Cont.-ColorPatn,don't understand; didn't understand; in terms of shapes; what it resembles; not as understandable; Processing information is not possible; more lines; Color coded for separating facts; difficult to identify differences in information; no context; too dark; cannot make sense of it; contrast of the colors; color contrast really weird; colors; harder for my eyes to focus; gave no further information; don't know what to say; exact feature; measure; Hard measure; Hard to find exact feature,(+); (+); (+); (+); (+); (+); (+); (+); (+); (+) (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),labels,text.label,text,hard_to_find_features; measure_not_clear,lacks_context_for,lacks,lines,mark.line,mark,multiple_lines_present; difficult_to_differentiate,[+],Schema
v487_n7406_7_f3.png,Glyph,mixed up; more details; more colors; more difficult to understand,(+); (+); (+); (+),color_scheme,property.color,property,multiple_colors_present,increases_clutter_in,increases_clutter_in,chart,whole.visualization,whole,difficult_to_understand,[+],Aesthetics Uncertainty
v487_n7406_7_f3.png,Glyph,mixed up; more details; more colors; more difficult to understand,(+); (+); (+); (+),details,content.detail,content,high_detail_density,contributes_to_difficulty_of,contributes_to_difficulty_of,chart,whole.visualization,whole,difficult_to_understand,[+],Immediacy / Cognitive Load
v487_n7406_7_f3.png,Glyph,mixed up; more details; more colors; more difficult to understand,(+); (+); (+); (+),layout,structure.layout,structure,mixed_up_arrangement,appears_mixed_up_within,appears_mixed_up_within,chart,whole.visualization,whole,difficult_to_understand,[+],Visual Encoding Clarity
SciVisJ.980.12(2).png,Glyph,clear text; distinct colors,(-); (+),color_encoding,property.color,property,distinct_color_variety,contrasts_with,differentiates,text_labels,text.label,text,clear_and_legible,[+],Aesthetics Uncertainty
SciVisJ.1236.10.png,Grid,needs to be studied more intently to make sense of; different shapes and sizes; blurred purple and green boxes; labels; meaning of the code; don't understand; not something similar.; dont understand at all; no idea what Image is; the colors seem to have meaning; Number of square; Variety of data in square; columns and rows; easier to visualize,(+); (+); (+); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-),columns_and_rows,structure.grid,structure,structured_layout,makes_easier_to_visualize,makes_easier_to_visualize,grid,structure.grid,structure,requires_domain_knowledge; unfamiliar_visualization_type; needs_intense_study,[-],Visual Encoding Clarity
SciVisJ.1236.10.png,Grid,needs to be studied more intently to make sense of; different shapes and sizes; blurred purple and green boxes; labels; meaning of the code; don't understand; not something similar.; dont understand at all; no idea what Image is; the colors seem to have meaning; Number of square; Variety of data in square; columns and rows; easier to visualize,(+); (+); (+); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-),colors,property.color,property,purple_and_green_hues; colors_carry_meaning,encodes_unclear_meaning_in,encodes_unclear_meaning_in,squares,mark.shape,mark,different_shapes_and_sizes; blurred_appearance; high_quantity_of_squares; variety_of_data_within,[+],Schema
SciVisJ.1236.10.png,Grid,needs to be studied more intently to make sense of; different shapes and sizes; blurred purple and green boxes; labels; meaning of the code; don't understand; not something similar.; dont understand at all; no idea what Image is; the colors seem to have meaning; Number of square; Variety of data in square; columns and rows; easier to visualize,(+); (+); (+); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-),labels,text.label,text,aids_interpretation,partially_clarifies,partially_clarifies,squares,mark.shape,mark,different_shapes_and_sizes; blurred_appearance; high_quantity_of_squares; variety_of_data_within,[-],Semantics / Text Legibility
SciVisJ.1236.10.png,Grid,needs to be studied more intently to make sense of; different shapes and sizes; blurred purple and green boxes; labels; meaning of the code; don't understand; not something similar.; dont understand at all; no idea what Image is; the colors seem to have meaning; Number of square; Variety of data in square; columns and rows; easier to visualize,(+); (+); (+); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-),squares,mark.shape,mark,different_shapes_and_sizes; blurred_appearance; high_quantity_of_squares; variety_of_data_within,contributes_to_clutter_in,contributes_to_clutter_in,grid,structure.grid,structure,requires_domain_knowledge; unfamiliar_visualization_type; needs_intense_study,[+],Aesthetics Uncertainty
v483_n7391_8_f5.png,Cont.-ColorPatn,Curve lines; one variable; heat map; understand at a glance; conveying more data; difficult to read; colored surface; harder to discern; more data points; more axes; require specialized education to understand.; four labeled axes; separate color scale; organized; structured; colors on both side left are identical; easy to understand; ordered; more details; bar chart; harder to read; A lot of data; More colors; More numbers; more information; lines not straightforward; more colors; Multiple data points; four axes; seismic graph; clueless; more difficult to understand; Too many similar colors; axis; visually more striking; unfamiliar with; harder to read and understand; Much more data; words,(-); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (-); (+); (+); (+); (+); (-),colored_surface,mark.area,mark,visually_striking_surface; difficult_to_read; conveys_more_data; harder_to_discern; requires_specialized_education; unfamiliar_chart_type; more_difficult_to_understand; organized_structured_layout; easy_to_understand; understand_at_a_glance,encoded_with,encoded_with,color_scale,property.color,property,separate_color_scale; too_many_similar_colors; more_colors_present; identical_colors_both_sides,[+],"Color, Symbol, and Texture Details"
v483_n7391_8_f5.png,Cont.-ColorPatn,Curve lines; one variable; heat map; understand at a glance; conveying more data; difficult to read; colored surface; harder to discern; more data points; more axes; require specialized education to understand.; four labeled axes; separate color scale; organized; structured; colors on both side left are identical; easy to understand; ordered; more details; bar chart; harder to read; A lot of data; More colors; More numbers; more information; lines not straightforward; more colors; Multiple data points; four axes; seismic graph; clueless; more difficult to understand; Too many similar colors; axis; visually more striking; unfamiliar with; harder to read and understand; Much more data; words,(-); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (-); (+); (+); (+); (+); (-),colored_surface,mark.area,mark,visually_striking_surface; difficult_to_read; conveys_more_data; harder_to_discern; requires_specialized_education; unfamiliar_chart_type; more_difficult_to_understand; organized_structured_layout; easy_to_understand; understand_at_a_glance,bounded_by,bounded_by,axes,furniture.axes,furniture,four_labeled_axes; more_axes_present; axis_aids_orientation,[+],Schema
v483_n7391_8_f5.png,Cont.-ColorPatn,Curve lines; one variable; heat map; understand at a glance; conveying more data; difficult to read; colored surface; harder to discern; more data points; more axes; require specialized education to understand.; four labeled axes; separate color scale; organized; structured; colors on both side left are identical; easy to understand; ordered; more details; bar chart; harder to read; A lot of data; More colors; More numbers; more information; lines not straightforward; more colors; Multiple data points; four axes; seismic graph; clueless; more difficult to understand; Too many similar colors; axis; visually more striking; unfamiliar with; harder to read and understand; Much more data; words,(-); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (-); (+); (+); (+); (+); (-),axes,furniture.axes,furniture,four_labeled_axes; more_axes_present; axis_aids_orientation,labeled_with,labeled_with,axis_labels,text.axis_label,text,more_numbers_present; words_aid_reading,[+],Semantics / Text Legibility
v483_n7391_8_f5.png,Cont.-ColorPatn,Curve lines; one variable; heat map; understand at a glance; conveying more data; difficult to read; colored surface; harder to discern; more data points; more axes; require specialized education to understand.; four labeled axes; separate color scale; organized; structured; colors on both side left are identical; easy to understand; ordered; more details; bar chart; harder to read; A lot of data; More colors; More numbers; more information; lines not straightforward; more colors; Multiple data points; four axes; seismic graph; clueless; more difficult to understand; Too many similar colors; axis; visually more striking; unfamiliar with; harder to read and understand; Much more data; words,(-); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (-); (+); (+); (+); (+); (-),colored_surface,mark.area,mark,visually_striking_surface; difficult_to_read; conveys_more_data; harder_to_discern; requires_specialized_education; unfamiliar_chart_type; more_difficult_to_understand; organized_structured_layout; easy_to_understand; understand_at_a_glance,contains,contains,data_points,mark.point,mark,multiple_data_points; much_more_data; more_details_present,[+],Data Density / Image Clutter
v483_n7391_8_f5.png,Cont.-ColorPatn,Curve lines; one variable; heat map; understand at a glance; conveying more data; difficult to read; colored surface; harder to discern; more data points; more axes; require specialized education to understand.; four labeled axes; separate color scale; organized; structured; colors on both side left are identical; easy to understand; ordered; more details; bar chart; harder to read; A lot of data; More colors; More numbers; more information; lines not straightforward; more colors; Multiple data points; four axes; seismic graph; clueless; more difficult to understand; Too many similar colors; axis; visually more striking; unfamiliar with; harder to read and understand; Much more data; words,(-); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (-); (+); (+); (+); (+); (-),colored_surface,mark.area,mark,visually_striking_surface; difficult_to_read; conveys_more_data; harder_to_discern; requires_specialized_education; unfamiliar_chart_type; more_difficult_to_understand; organized_structured_layout; easy_to_understand; understand_at_a_glance,overlaid_with,overlaid_with,curve_lines,mark.line,mark,lines_not_straightforward; curve_lines_simple,[+],Visual Encoding Clarity
v483_n7391_8_f5.png,Cont.-ColorPatn,Curve lines; one variable; heat map; understand at a glance; conveying more data; difficult to read; colored surface; harder to discern; more data points; more axes; require specialized education to understand.; four labeled axes; separate color scale; organized; structured; colors on both side left are identical; easy to understand; ordered; more details; bar chart; harder to read; A lot of data; More colors; More numbers; more information; lines not straightforward; more colors; Multiple data points; four axes; seismic graph; clueless; more difficult to understand; Too many similar colors; axis; visually more striking; unfamiliar with; harder to read and understand; Much more data; words,(-); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (-); (+); (+); (+); (+); (-),color_scale,property.color,property,separate_color_scale; too_many_similar_colors; more_colors_present; identical_colors_both_sides,increases_clutter_of,increases_clutter_of,colored_surface,mark.area,mark,visually_striking_surface; difficult_to_read; conveys_more_data; harder_to_discern; requires_specialized_education; unfamiliar_chart_type; more_difficult_to_understand; organized_structured_layout; easy_to_understand; understand_at_a_glance,[+],Aesthetics Uncertainty
InfoVisJ.2699.12.png,Node-link,less white space; lots of overlapping lines; dots; shapes; straight lines; red colors,(+); (+); (-); (+); (-); (+),lines,mark.line,mark,high_overlap_density; straight_line_encoding,overlaps_with,overlaps_with,lines,mark.line,mark,high_overlap_density; straight_line_encoding,[+],Data Density / Image Clutter
InfoVisJ.2699.12.png,Node-link,less white space; lots of overlapping lines; dots; shapes; straight lines; red colors,(+); (+); (-); (+); (-); (+),shapes,mark.shape,mark,varied_shape_types,increases_clutter_over,increases_clutter_over,dots,mark.point,mark,simple_point_marks,[+],Aesthetics Uncertainty
InfoVisJ.2699.12.png,Node-link,less white space; lots of overlapping lines; dots; shapes; straight lines; red colors,(+); (+); (-); (+); (-); (+),red_colors,property.color,property,prominent_red_coloring,visually_dominates,visually_dominates,lines,mark.line,mark,high_overlap_density; straight_line_encoding,[+],"Color, Symbol, and Texture Details"
VisJ.1197.5(3).png,Glyph,so many cube; difficult to visualize; Quantity of items; layers of shapes/details; shapes; texture is stimulating; no context,(+); (+); (+); (+); (+); (+); (+) (-),cubes,mark.shape,mark,large_quantity_of_cubes; difficult_to_visualize; high_item_quantity,arranged_in,arranged_in,layers,structure.layout,structure,layered_shapes_and_details; overlapping_shape_complexity,[+],Data Density / Image Clutter
VisJ.1197.5(3).png,Glyph,so many cube; difficult to visualize; Quantity of items; layers of shapes/details; shapes; texture is stimulating; no context,(+); (+); (+); (+); (+); (+); (+) (-),layers,structure.layout,structure,layered_shapes_and_details; overlapping_shape_complexity,contributes_to,contributes_to,texture,property.texture,property,visually_stimulating_texture,[+],"Color, Symbol, and Texture Details"
VisJ.1197.5(3).png,Glyph,so many cube; difficult to visualize; Quantity of items; layers of shapes/details; shapes; texture is stimulating; no context,(+); (+); (+); (+); (+); (+); (+) (-),context,content.domain,content,no_context_provided; absence_aids_simplicity,increases_ambiguity_of,increases_ambiguity,cubes,mark.shape,mark,large_quantity_of_cubes; difficult_to_visualize; high_item_quantity,[+],Immediacy / Cognitive Load
VisC.503.6.png,Bar,bar graphs; circle graphs; easy to understand,(+); (-); (-),bar_graph,whole.visualization,whole,increases_visual_complexity,combined_with,combined_with,circle_graph,whole.visualization,whole,simple_circular_form; easy_to_understand,[+],Data Density / Image Clutter
whoJ44.png,Line,less information; lines,(-); (+),lines,mark.line,mark,multiple_lines_present,increases_clutter_in,increases_clutter_in,chart,whole.visualization,whole,less_information_present,[+],Aesthetics Uncertainty
InfoVisJ.2402.12(1).png,Area,size growing small; colors distribution; not familiar with; a multitude of observations; differnent sizes/figures; different colors,(-); (+); (+); (+); (+); (-),size_encoding,property.encoding,property,size_varies_small_to_large; different_sizes_and_figures,encodes_variation_via,encodes_variation_via,color_encoding,property.color,property,multiple_colors_distributed; different_colors_present,[+],Visual Encoding Clarity
InfoVisJ.2402.12(1).png,Area,size growing small; colors distribution; not familiar with; a multitude of observations; differnent sizes/figures; different colors,(-); (+); (+); (+); (+); (-),data_points,mark.point,mark,multitude_of_observations,rendered_with,rendered_with,size_encoding,property.encoding,property,size_varies_small_to_large; different_sizes_and_figures,[+],Data Density / Image Clutter
InfoVisJ.2402.12(1).png,Area,size growing small; colors distribution; not familiar with; a multitude of observations; differnent sizes/figures; different colors,(-); (+); (+); (+); (+); (-),chart_type,whole.visualization,whole,unfamiliar_chart_form,requires_domain_knowledge_for,requires_expertise,data_points,mark.point,mark,multitude_of_observations,[+],Immediacy / Cognitive Load
wsj340.png,Bar,description; labels; title; colored segments; chart; doesn't need to do as much visually,(-); (-); (-); (-); (-); (-),title,text.title,text,clear_informative_title,reduces_interpretive_effort_of,reduces_interpretive_effort_of,chart,whole.visualization,whole,low_visual_demand,[-],Immediacy / Cognitive Load
wsj340.png,Bar,description; labels; title; colored segments; chart; doesn't need to do as much visually,(-); (-); (-); (-); (-); (-),description,text.description,text,explanatory_description_present,supplements_encoding_of,supplements_encoding_of,colored_segments,mark.color_segment,mark,limited_color_segments,[-],Visual Encoding Clarity
wsj340.png,Bar,description; labels; title; colored segments; chart; doesn't need to do as much visually,(-); (-); (-); (-); (-); (-),labels,text.label,text,readable_labels_present,clarifies_meaning_of,clarifies,colored_segments,mark.color_segment,mark,limited_color_segments,[-],Semantics / Text Legibility
VisC.167.11.png,Bar,bar graph; colors representing groups; get the message of the visualization in 1-2 seconds,(-); (-); (-),bars,mark.bar,mark,grouped_by_color,encoded_with,encoded_with,color_encoding,property.color,property,colors_represent_groups,[-],"Color, Symbol, and Texture Details"
VisC.167.11.png,Bar,bar graph; colors representing groups; get the message of the visualization in 1-2 seconds,(-); (-); (-),bar_graph,whole.visualization,whole,familiar_chart_type; rapidly_interpretable_message,enables_quick_comprehension,enables_quick_comprehension,bars,mark.bar,mark,grouped_by_color,[-],Immediacy / Cognitive Load
