filename,data_density_explanation,visual_encoding_explanation,text_annotation_explanation,domain_schema_explanation,color_symbol_explanation,aesthetic_order_explanation,cognitive_load_explanation,summary
VisJ.1515.12.png,The image shows concentric circular rings with limited distinct data points or elements.,"Concentric rings with color gradients encode some continuous variable, but the encoding type is singular.","No text, labels, titles, or annotations are present whatsoever.","Likely a scientific visualization (e.g., diffraction pattern, wave interference, or field plot) requiring some domain knowledge to interpret.","Limited color palette of dark green, olive, and dark red/maroon; some gradient variation but narrow range.","Symmetrical concentric pattern is orderly, though the overlapping rings add mild visual complexity.","Without labels or context, interpretation is ambiguous; moderate effort to understand what is being represented.","A concentric ring pattern visualization, likely representing a scientific phenomenon such as wave interference or a field distribution. The image has no text or annotations and uses a limited dark color palette, resulting in moderate overall complexity driven mainly by domain ambiguity."
v483_n7391_8_f5.png,"Dense contour plot with many nested contour levels and overlapping features, representing a continuous 2D function with high detail in certain regions.","Filled contour plot with dual axes (both top/bottom x-axes and left/right y-axes), overlaid boundary lines in cyan, and a color-mapped legend with 12 discrete levels.","Moderate text with four axis labels using scientific notation (subscripts), tick marks, and a color legend with numeric values.","Requires condensed matter/quantum physics knowledge to interpret dispersion relations (E vs k), Fermi energy normalization, and the spectral function being plotted.",Sequential yellow-to-red colormap with 12 discrete levels; cyan overlay lines add additional encoding; good range but not extremely varied.,"Moderately organized with clear contour boundaries, though dense contour clustering near the dispersion curve creates visual complexity.","High cognitive load due to dual axis scales, physics domain knowledge requirement, and interpreting the relationship between contour intensities and the dispersion curve.",A condensed matter physics contour plot showing a spectral function in energy-momentum space with dual normalized axes. The dense contour nesting near the dispersion relation and specialized domain context contribute significantly to its complexity.
VisJ.1499.8.png,Two 3D surface models with color-mapped scalar fields and glyph overlays showing moderate data density.,"3D mesh surfaces with continuous color mapping, wireframe grid, glyph symbols, and orientation cubes — multiple encoding channels.",Minimal text — just two case labels beneath the visualizations.,Cardiac perfusion and motion visualization requiring specialized medical imaging domain knowledge.,Continuous yellow-orange color gradient on surfaces with green diamond/square glyphs on the motion view.,Relatively clean side-by-side layout; the right panel is more cluttered with glyphs but overall well-organized.,"Requires understanding 3D cardiac anatomy, perfusion mapping, and motion glyph interpretation — significant domain expertise needed.",Two side-by-side 3D cardiac surface visualizations showing perfusion and motion scenarios with color-mapped scalar fields and glyph overlays. Moderate-to-high complexity driven primarily by the specialized medical domain and 3D multi-encoding representation.
v487_n7406_7_f3.png,"Dense field visualization with continuous color mapping, contour lines, and vector arrows across the entire spatial domain.","Three simultaneous encodings layered: color heatmap for displacement magnitude, contour lines for iso-values, and arrow vectors for displacement direction.","Minimal text with axis labels, colorbar scale, and a single 'Rod' label; low text density.",Requires understanding of geomechanics or materials science — displacement fields around a rod penetrating into a medium.,Full rainbow colorbar from red through green to blue/purple; arrows as directional symbols; contour lines add further visual layering.,"Moderately cluttered due to overlapping contour lines, arrows, and color gradients competing for attention.","Must simultaneously interpret color mapping, vector directions, and contour patterns to understand the displacement field around the rod.","A 2D displacement field visualization showing material deformation around a penetrating rod. Three encoding layers (color heatmap, contour lines, vector arrows) create substantial visual and cognitive complexity. The full-spectrum colorbar and dense arrow field contribute to a moderately high overall complexity."
SciVisJ.1236.10.png,"A 6×9 grid of small multiple heatmaps, each containing a dense matrix of cells — very high information volume overall.",Heatmap matrices with color-encoded values using a diverging purple-green palette; consistent encoding but repeated across many panels.,"Column headers with coded labels (E5U, E5W, E1U, E1W combinations) but minimal other text annotation.","Requires understanding of matrix comparisons, likely from a specialized domain such as genomics or neural network analysis; coded labels suggest domain expertise needed.",Diverging purple-green color scale used consistently; moderate color complexity with clear diagonal patterns in some panels.,Dense small multiples grid with many panels to scan; organized in a regular grid but the sheer number creates visual density.,Comparing patterns across 54 small matrices with coded labels requires significant cognitive effort to identify systematic differences.,"A dense small multiples display of approximately 54 heatmap matrices comparing different experimental conditions (E5U, E5W, E1U, E1W). The left columns show strong diagonal patterns while right columns show more diffuse structures, requiring substantial domain knowledge and cognitive effort to interpret cross-condition differences."
SciVisJ.2926.1.png,"Extremely dense 3D volume rendering with thousands of visible elements including flow structures, glyphs, and surface details.","Complex 3D scientific visualization combining volume rendering, vector glyphs (arrows/needles), and color-mapped surfaces simultaneously.",Only a single panel label '(a)' is present; virtually no text.,Highly specialized scientific visualization likely depicting fluid dynamics or astrophysical simulation requiring deep domain expertise to interpret.,"Rich multi-color palette including blue, red, orange, yellow, green on dark background; color encodes multiple data variables simultaneously.","Dense, visually overwhelming rendering with overlapping structures, spiral patterns, and numerous directional glyphs creating visual clutter.","Very high interpretive demand due to 3D perspective, multiple overlaid visual channels, and specialized domain content.","A highly complex 3D scientific volume rendering, likely of a vortex or spiral flow structure, combining color-mapped surfaces with directional glyphs. The visualization encodes multiple data dimensions simultaneously in a dense, visually rich scene requiring significant domain expertise to interpret."
VisJ.1197.5(3).png,"Extremely dense scene with hundreds of 3D rectangular blocks filling the entire view, creating high information volume.",3D perspective rendering of extruded blocks on a curved surface; height and position encode data values.,"No text, labels, or annotations are present anywhere in the image.",Appears to be a 3D treemap or urban/building visualization requiring understanding of spatial data representations.,Monochrome grayscale only with shading from lighting; very limited color variety.,Extremely cluttered and dense with overlapping 3D blocks creating visual chaos; hard to parse individual elements.,Very difficult to extract specific information due to dense overlapping 3D geometry and lack of labels or legends.,"A dense 3D visualization showing hundreds of extruded rectangular blocks arranged on a curved surface, rendered in grayscale. The extreme density of geometric elements and lack of any labels or legends create high visual complexity despite the monochrome palette. The 3D perspective makes individual element identification very challenging."
InfoVisJ.2699.12.png,Hundreds of nodes and edges densely packed across the entire canvas with many overlapping connections.,Node-link network diagram with varying node sizes and edge connections; moderately complex encoding.,Only 4 red labels (SG1-SG4) annotating specific subgroups; very minimal text.,Network/graph visualization requiring understanding of graph topology and community structure.,Predominantly uniform purple nodes with pink halos and red annotation circles; limited color variety.,"Dense, sprawling network with many overlapping edges creating visual clutter throughout.",Tracking structure across many interconnected clusters with dense edges requires significant cognitive effort.,"A dense node-link network graph with hundreds of nodes and edges spread across the canvas, with four annotated subgroups (SG1-SG4) highlighted in red circles. The high density of connections and overlapping edges create significant visual complexity despite the limited color palette."
SciVisJ.980.12(2).png,"Dense flow field with numerous streamlines, glyphs, and 3D isosurfaces packed into a single 3D volume.","Multiple encoding types simultaneously: streamlines for flow, 3D arrow glyphs for vectors, colored isosurfaces for critical points, all in a 3D transparent bounding box.",Virtually no text annotations present in the visualization.,Highly specialized computational fluid dynamics or vector field topology visualization requiring expert domain knowledge of vortex structures and critical points.,"Multiple colors (red, blue, green, yellow, dark red) encode different vector field properties; diverse glyph shapes and 3D surfaces add symbolic complexity.","Overlapping streamlines and scattered glyphs create moderate visual clutter, though the four vortex centers provide some structural organization.","Understanding requires knowledge of 3D flow topology, vortex identification, and simultaneous interpretation of multiple visual channels in 3D space.","A 3D scientific visualization of a vector field showing four vortex structures with streamlines, directional glyphs, and colored isosurfaces within a transparent bounding box. The combination of multiple encoding types in 3D space with specialized domain content creates high visual and cognitive complexity despite the absence of text."
InfoVisJ.2402.12(1).png,"Extremely dense visualization with hundreds of rectangular elements packed tightly across the entire canvas, forming a treemap-like structure.",Nested rectangular elements of varying sizes use area encoding and color to represent hierarchical data; complex spatial layout.,"Very small, mostly illegible text labels scattered throughout the rectangles; low readable text volume despite some presence.",Appears to be a treemap or cushion treemap requiring understanding of hierarchical data structures and size-based proportional encoding.,Predominantly gray with selective green and cyan highlights; limited color palette but meaningful use of color to distinguish categories.,Extremely dense and cluttered appearance with tightly packed rectangles of varying sizes creating a visually overwhelming layout.,"Very high cognitive demand due to the sheer density of elements, nested structure, and difficulty distinguishing individual items.","A cushion treemap visualization with extremely high data density, featuring hundreds of nested rectangles in predominantly gray tones with green and cyan highlights. The visualization is overwhelmingly dense, making individual element identification very challenging and requiring significant cognitive effort to interpret."
VisC.503.6.png,Only 3 bars with error bars representing minimal data content.,Simple bar chart with hatched fill and error bars; very basic encoding.,"Minimal text: a title, axis label, and three category labels.",Straightforward bar chart comparing performance across three conditions; minimal domain knowledge needed.,Monochrome hatched bars with small red error bars; almost no color variety.,"Very clean, spacious layout with no clutter or overlap.",Immediately interpretable with no cognitive effort required.,A simple 3-bar chart with diagonal hatching and red error bars comparing percent correct across three visualization conditions. Extremely low visual complexity with clean layout and minimal data.
whoQ50_2.png,About 20 bars representing percentage changes for Latin American countries; moderate data volume for a bar chart.,Simple vertical bar chart with single color encoding; straightforward spatial layout.,"Rotated country names on x-axis are moderately dense, plus title and y-axis labels.",Standard epidemiological percentage change chart; no specialized knowledge needed beyond basic chart literacy.,Single brown/orange color used for all bars; minimal color or symbol variety.,"Clean, well-organized layout with bars sorted by value; no clutter.",Easy to interpret sorted bar chart showing percentage changes; low cognitive demand.,"A simple sorted bar chart showing percentage change in case incidence across Latin American countries from 2000-2011. The chart uses a single color with clear ordering, making it straightforward to interpret with low visual complexity."
InfoVisC.211.18.png,A simple histogram with roughly 18 bars showing a clear long-tail distribution; low data density.,Single encoding type: bar height mapped to percentage; very basic visual encoding.,"Minimal text with partially legible axis labels (Size of thread, Percentage of total messages); very sparse annotation.",Standard histogram requiring no specialized domain knowledge.,Monochrome black bars on white background; essentially no color or symbol variety.,"Clean, well-organized single chart with ample whitespace; very orderly layout.",Immediately interpretable as a declining frequency distribution; very low cognitive effort required.,A simple monochrome histogram showing a long-tail distribution of thread sizes versus percentage of total messages. Minimal visual complexity with straightforward encoding and clean layout.
whoJ44.png,Only two line series over 11 time points; very low data density.,Simple dual-line chart with standard x-y encoding; minimal encoding complexity.,"Title, subtitle, axis labels, legend, source citation, and two endpoint value annotations provide moderate text volume.",Development aid/economics context but straightforward line chart format requiring minimal domain knowledge.,Two-color scheme (dark blue and light blue) with no additional symbols or textures.,"Very clean, well-organized layout with ample whitespace and clear separation of elements.",Immediately interpretable comparison of two trends; very low cognitive effort required.,"A clean dual-line chart comparing total ODA and general budget support from 2000–2010. Very low visual complexity with minimal data, simple encoding, and a well-organized layout."
wsj340.png,Only 6 categories displayed in a single pie chart with minimal data content.,Simple donut/pie chart with straightforward proportional encoding.,"Moderate text including a headline, explanatory paragraph, category labels with percentages, center text, and source attribution.",Simple energy source breakdown requiring no specialized knowledge to interpret.,A modest palette of about 5 distinct colors used to differentiate pie slices.,"Very clean, well-organized infographic layout with clear visual hierarchy and ample whitespace.",Immediately interpretable; standard pie chart with clear labels and percentages.,"A clean Wall Street Journal infographic showing India's electrical power generation by source as a donut chart. Very low complexity with a small number of well-labeled categories and a polished, minimal layout."
InfoVisC.73.6.png,Very low data content; the same text string is repeated at decreasing scales along curved paths.,Text along curved paths with red endpoint dots; simple encoding demonstrating a text-on-path technique.,"Repeated text strings at varying sizes dominate the image, but it's the same content repeated.",Appears to be a demonstration of text rendering along curved splines; modest domain specificity.,Only two colors used: dark green text and red dots at endpoints; very limited palette.,"Relatively clean layout with consistent spacing between curved text rows, though text curves add mild visual disorder.",Easy to understand; repeated text along curves with diminishing size is straightforward to interpret.,"A simple demonstration of text rendered along curved paths at decreasing sizes, with red endpoint markers. The same text string 'IEEE Information Visualization 2005' is repeated multiple times, resulting in low overall visual complexity."
VisC.167.11.png,"Around 30 stacked bars each with 3 segments, providing a moderate amount of data content.",Standard stacked bar chart with a single encoding type; straightforward spatial layout.,"Basic axis labels, legend with three items, and tick marks; minimal text volume.",Requires some understanding of isosurface computation concepts but the chart form itself is standard.,"Three distinct colors (blue, dark red, yellow) used consistently; simple color scheme.","Clean, well-organized layout with clear gridlines and no overlapping elements.",Easy to interpret stacked bar chart; the distribution pattern is visually clear.,A stacked bar chart showing computation time breakdown across 30 normalized isovalues with three components. The chart is clean and well-organized with moderate data density but straightforward interpretation.
VASTJ.2908.2.png,"A matrix-like layout with 17 rows × 5 columns encoding research focus levels, representing a moderate-to-high amount of categorical data.",Simple stacked/segmented bar-like columns using three shades of blue against gray backgrounds; straightforward encoding.,17 row labels and 5 column headers plus a legend; substantial text but clearly organized.,Requires understanding of cognitive science and visualization research frameworks to interpret the categories meaningfully.,Three shades of blue (high/medium/low) plus gray for absence; limited but functional color palette.,Well-organized grid layout with consistent spacing; relatively clean despite the quantity of information.,Requires cross-referencing rows and columns while interpreting color intensity levels; moderate cognitive demand due to the matrix structure and domain-specific labels.,"A structured matrix visualization mapping 17 cognitive/analytical tasks against 5 theoretical frameworks, using three shades of blue to indicate research focus levels. The layout is orderly but requires domain knowledge and careful cross-referencing to interpret fully."
economist_daily_chart_153.png,Three stacked area series over ~30 years; moderate data density with visible temporal patterns.,Standard stacked area chart with three layers; straightforward spatial encoding.,"Title, subtitle, legend with three entries, axis labels, and source attribution; modest text volume.",Simple time-series of disaster counts; no specialized domain knowledge required.,Three shades of blue/teal used to distinguish categories; limited but effective color palette.,"Clean, well-organized layout with clear separation between elements; minimal clutter.",Easy to interpret stacked area chart; moderate effort to decompose individual category contributions.,"A clean stacked area chart showing three types of weather-related disasters from 1980 to 2009. The design is well-organized with a limited color palette, resulting in moderate overall visual complexity typical of a standard time-series visualization."
InfoVisJ.1236.13.png,Two side-by-side map representations of the Netherlands with numerous regions and grid cells encoding data values.,"Dual encoding: a choropleth-style region map with numeric labels on the left, and a gridded/tile map on the right, both using color to encode categories or values.","Numeric labels are present on each region of the left map, but no titles, legends, or axis labels are visible.",Geographic/cartographic visualization of Dutch provinces requiring spatial familiarity; the tile map adds a layer of abstraction.,"Rich and varied color palette with many distinct hues (greens, browns, yellows, reds, blues, oranges) used across both maps to distinguish regions.",Moderately cluttered due to many small colored regions and grid cells; the two-panel layout adds visual density.,Requires cross-referencing between two different geographic representations and understanding color-to-region mappings.,"A dual-panel visualization showing a map of the Netherlands with numbered provinces alongside a gridded tile-map representation. The rich color palette and dual encoding create moderate-to-high visual complexity, requiring viewers to match colors across two spatial representations."
InfoVisJ.1558.9.png,Moderate number of elliptical glyphs scattered across the canvas with varying density in clusters.,"Ellipses encode multiple dimensions through orientation, size, color intensity, and position; a zoom-detail inset adds encoding complexity.",Minimal text limited to the color legend values (1.10–4.96).,Specialized glyph-based visualization likely representing tensor fields or uncertainty ellipses; requires domain knowledge to interpret orientation and shape.,Sequential red-to-dark color scale with varying opacity/saturation on ellipses; moderate color range.,"Moderately cluttered with overlapping ellipses in central areas, though surrounding space is relatively open.","Interpreting ellipse orientation, size, color, and the zoom-detail relationship requires significant cognitive effort.",A glyph-based visualization showing oriented ellipses with color-encoded values and a zoom-detail inset. The multi-dimensional encoding of ellipse properties and specialized domain context contribute to moderate-to-high complexity despite relatively sparse text annotation.
VisJ.1949.18(3).png,"A grid of approximately 60+ small 3D glyph renderings, each encoding multiple data dimensions through shape and color variations.","Complex 3D glyphs with curved surfaces, orientation, and size variations used as encoding channels across a grid layout.","No text, labels, axes, or annotations are present anywhere in the image.","Highly specialized scientific visualization requiring domain expertise to interpret 3D glyph representations, likely from computational physics or tensor visualization.","Limited but purposeful color palette of orange, green, and dark tones on black background; color encodes data properties within each glyph.","Regular grid arrangement provides some order, but varying glyph sizes/orientations and irregular spacing create moderate visual disorder.",Interpreting 3D glyphs across many instances with subtle shape and orientation differences demands significant cognitive effort and domain knowledge.,"A small-multiples grid of 3D scientific glyphs on a black background, likely representing tensor or vector field data. The visualization has high domain specificity and cognitive demand despite the absence of any text, with dozens of glyphs varying in size, orientation, and shape."
SciVisJ.822.18.png,Three heatmap panels each with a 5-row grid of cells; moderate data volume spread across panels.,Grid-based heatmap encoding with sequential blue color scale; straightforward spatial layout.,Minimal text: only y-axis labels (2-6) and year labels for each panel.,Requires understanding of heatmap conventions and the temporal comparison across three years; moderately specialized.,Sequential blue color palette from white to dark navy; moderate color range but single hue.,"Clean, well-organized three-panel layout with consistent formatting and ample spacing.",Requires comparing patterns across three time periods and interpreting color intensity; moderate effort.,"A three-panel heatmap comparing data across 1999, 2003, and 2005 using a sequential blue color scale. The layout is clean and repetitive, with moderate complexity driven by the need to compare patterns across panels and interpret the color gradient."
InfoVisJ.349.1.png,"Many nodes (circles and squares) connected by numerous orthogonal edges spanning the entire canvas, creating substantial information density.",Uses two node types (circles and rectangles) connected by orthogonal routing lines in a hierarchical/network layout.,Virtually no text labels or annotations visible anywhere in the diagram.,"Appears to be a circuit diagram, logic gate network, or hierarchical graph requiring specialized domain knowledge to interpret.",Monochrome grayscale only; two distinct node shapes (circles and squares) but no color variety.,Complex orthogonal edge routing with many crossings and long-distance connections creates visual clutter despite organized grid-like routing.,Tracing connections through the dense network of orthogonal paths with crossings requires significant cognitive effort; no labels to aid interpretation.,A monochrome network/circuit diagram with many nodes of two types connected by orthogonal edges. The lack of labels combined with dense edge routing and crossings makes it cognitively demanding despite its simple visual palette.
VASTJ.422.7.png,"Moderate data density with 11 users each showing multiple event markers along a timeline, totaling roughly 60-80 data points.",Uses both color and shape (circles vs triangles) to encode multiple categorical dimensions along horizontal timelines.,"User labels on y-axis, time axis labels, and a 7-item legend; moderate text volume overall.","Requires understanding of user study event logs with domain-specific categories (Neo-Nazi, Islamic terrorist, etc.).","Four distinct colors (blue, orange, red, yellow/gold) combined with two shapes (circles, triangles) create a moderately rich encoding scheme.",Well-organized horizontal layout with clear rows per user; relatively clean despite moderate data density.,Must cross-reference color and shape encodings with legend while tracking temporal patterns across 11 users.,"A timeline visualization showing event types for 11 users during a study, using color and shape to encode categories. Moderately complex due to multiple encoding channels and the need to compare patterns across users and time."
VASTJ.2012.9(2).png,"High information density with a timeline stream graph, two large word clouds, pie charts, and multiple labeled topics all packed into one view.","Multiple encoding types combined: stream/flow graph at top, word clouds with size encoding, small pie charts, and color-coded categories.","Extremely text-heavy with two dense word clouds containing dozens of terms, plus timeline labels, topic labels, and a legend.","Requires understanding of topic modeling over time, social media protest analysis, and coordinated multi-view visualization conventions.","Multiple colors distinguish topics (red, blue, green, gray streams) and word cloud categories; pie chart segments add further color encoding.","Moderately cluttered with overlapping word clouds, dense stream flows, and many text elements competing for attention.","High cognitive demand to parse the relationship between the temporal stream graph and the detailed word clouds, plus understanding topic categories.","A multi-component visualization combining a temporal stream graph of protest-related topics with two detailed word clouds and small pie charts. The dense text and multiple encoding types create substantial visual and cognitive complexity, requiring significant effort to interpret the relationships between temporal patterns and topic content."
v488_n7412_9_f1.png,"Numerous data points (colored circles of varying sizes) distributed across the Himalayan region, with overlapping ICESat glacier tracks and multiple geographic features.","Dual encoding on circles (color for elevation trend, size for standard error), plus line types for rivers/basins/glaciers/sub-regions — high encoding variety on a geographic base map.","Geographic labels, sub-region statistics with error values, coordinate markers, and a detailed legend with multiple entries create moderate-to-high text density.","Requires glaciology/remote sensing domain knowledge to interpret elevation difference trends, ICESat data, and sub-regional glacier statistics.","Diverging color scale (blue-white-red) for elevation trends, varying circle sizes, multiple line styles (dashed, dotted, solid) in different colors for geographic features.","Dense clustering of circles in the western Himalayas with overlapping tracks creates visual clutter, though the overall layout follows geographic structure.","Must simultaneously interpret color, size, spatial position, line types, sub-region boundaries, and statistical annotations — demanding multi-dimensional reading.","A geospatial visualization showing glacier elevation change trends across the Himalayan region using color-coded and size-varying circles overlaid on a shaded relief map. Multiple geographic features, sub-region boundaries, and statistical annotations create a complex multi-layered scientific figure requiring domain expertise to fully interpret."
v488_n7409_12_f4.png,Moderate data density with a phylogenetic tree showing ~9 taxa mapped against geological time periods spanning hundreds of millions of years.,"Combines a cladogram with a geological timescale, shaded time intervals, dashed lines for uncertain relationships, and an embedded fossil image.","Numerous geological period labels (rotated), taxon names, time markers, and annotations like 'Romer's gap' and 'Hexapoda gap' create substantial text density.","Requires paleontological and entomological knowledge including geological timescales, phylogenetic conventions, and understanding of fossil gaps.","Limited color palette with cyan/blue lines, gray shaded bands, and dashed vs solid line distinctions; an embedded photograph adds some visual variety.","Reasonably well-organized layout with clear spatial structure, though the overlapping shaded regions and rotated text add some visual complexity.","Requires integrating phylogenetic relationships with temporal information across multiple geological periods, plus understanding of fossil record gaps.","A phylogenetic time-tree of early hexapod evolution mapped against geological periods from the Silurian to Permian. It combines a cladogram with shaded temporal gaps and an embedded fossil photograph, requiring paleontological domain knowledge to fully interpret."
v488_n7409_19_f1.png,"Extremely dense matrix visualization with dozens of samples across columns and ~30+ rows of genomic/clinical variables, with many individual data cells.","Multiple encoding types including colored heatmap cells, categorical color blocks, and a structured matrix layout with hierarchical row groupings.","Extensive labels including sample IDs across the top, gene names, pathway categories, clinical variable names, subtype labels, and a detailed multi-line legend.","Highly specialized cancer genomics domain requiring knowledge of copy number alterations, somatic mutations, medulloblastoma subtypes, and pathway biology.","Rich color palette encoding sex, age groups, histology types, copy number gains/losses, and multiple mutation types (missense, nonsense, silent, germline).",Well-organized grid structure but very dense with many small cells; the sheer volume of information creates visual crowding despite logical organization.,"Requires integrating clinical, genomic, and molecular data across multiple subtypes simultaneously; high domain expertise needed for interpretation.","A complex oncoprint-style genomic visualization showing medulloblastoma subtypes with clinical variables, copy number alterations, and somatic mutations across dozens of patient samples. The dense matrix format with multiple color encodings and specialized genomic terminology demands significant domain expertise and sustained attention to interpret."
