filename,data_density_explanation,visual_encoding_explanation,text_annotation_explanation,domain_schema_explanation,color_symbol_explanation,aesthetic_order_explanation,cognitive_load_explanation,summary
VisJ.1515.12.png,"Concentric ring pattern with moderate detail but repetitive structure, resulting in low effective data density.",Radial concentric rings with color gradients; simple but somewhat unusual encoding.,"No text, labels, titles, or annotations whatsoever.","Appears to be a scientific visualization (possibly interference pattern, diffraction, or wave simulation) requiring domain knowledge to interpret.","Limited palette of dark green, olive, and dark red/maroon in concentric bands; moderate color variation.",Highly ordered concentric pattern; clean and symmetric layout with no clutter.,"Without context, the meaning is ambiguous; the pattern is visually simple but semantically opaque.","A concentric ring pattern in dark green and maroon tones, likely representing a scientific visualization such as a wave interference or diffraction pattern. Visually ordered and clean but requires domain knowledge to interpret, with no text or annotations present."
VisJ.1499.8.png,Two 3D surface renderings with moderate data mapped via color and symbols on the mesh surface.,"3D mesh surfaces with continuous color mapping, wireframe grid lines, and diamond-shaped glyph markers on the right panel.",Minimal text: only two captions and small orientation cube labels.,Medical/cardiac visualization requiring domain knowledge of perfusion and motion scenarios on heart surfaces.,Continuous orange-yellow color gradient on 3D surfaces plus green diamond glyphs on the right panel; moderate variety.,Clean two-panel layout with well-organized side-by-side comparison; relatively orderly.,"Requires understanding 3D cardiac surface models, color-mapped scalar fields, and glyph-based annotations.","A two-panel medical visualization showing 3D cardiac surface models with color-mapped scalar data. The left panel shows a perfusion scenario with smooth color mapping, while the right adds green diamond glyphs for a motion scenario, requiring domain-specific interpretation."
v483_n7391_8_f5.png,"A filled contour plot with many contour levels showing continuous variation across a 2D parameter space, with moderate density of information.","Contour plot with dual axes (both top/bottom x-axes and left/right y-axes), overlaid line curves, and a color-mapped legend with 12 discrete levels.","Moderate text: four axis labels with subscripts, tick marks on four axes, and a discrete color legend with numerical values.","Condensed matter/quantum physics domain with specialized notation (meV, k_F, E_F, dispersion relations); requires significant domain expertise.",Sequential yellow-to-red color scale with ~12 discrete levels; additional cyan overlay line adds contrast; effective but moderately complex.,"Reasonably well-organized single-panel plot, though the dense contour region near the lower-left and the overlapping curves add some visual clutter.","Understanding requires knowledge of dispersion relations, dual-axis reading, and interpreting contour intensities in the context of condensed matter physics.","A contour plot showing energy-momentum dispersion with a sequential color scale from 0 to 1.0, overlaid with boundary curves. The dual axes and specialized physics notation elevate the domain complexity, making this moderately to highly complex overall."
v487_n7406_7_f3.png,"Dense field visualization with continuous color mapping, vector arrows, and contour lines all overlaid simultaneously.","Three simultaneous encoding channels: color heatmap for displacement, vector arrows for direction/magnitude, and contour lines for isovalues.","Minimal text with axis labels, colorbar legend, and a 'Rod' label; low text volume.",Requires understanding of displacement fields in granular/soil mechanics around a penetrating rod; specialized domain.,Full rainbow colormap spanning red through purple with contour lines and directional arrows adding symbol complexity.,"Multiple overlapping layers (color, arrows, contours) create moderate visual clutter, especially in the upper-left region.","Must simultaneously interpret color values, arrow directions, and contour boundaries in a physical displacement context.","A 2D displacement field visualization showing soil deformation around a penetrating rod, combining a continuous color heatmap, vector arrows, and contour lines. The triple-layered encoding and specialized domain create substantial visual and cognitive complexity."
SciVisJ.1236.10.png,"A 9×6 grid of small heatmaps, each containing its own matrix of values — extremely high information density across 54 panels.",Each small multiple is a matrix/heatmap with diverging color encoding; repetitive but complex pattern recognition required.,"Column headers with coded labels (E5U, E5W, etc.) but minimal other text annotation.","Requires understanding of correlation/distance matrices, experimental conditions, and the coded naming convention (E5U, E1W, etc.).",Diverging purple-green color scale used consistently across all panels; moderate color complexity.,The grid layout is systematic but the sheer number of small multiples creates visual density and requires careful scanning.,Comparing patterns across 54 small heatmaps with coded condition labels demands high cognitive effort and domain knowledge.,A dense small-multiples display of 54 heatmaps arranged in a matrix comparing experimental conditions. The repetitive structure aids comparison but the volume of panels and specialized domain encoding create high cognitive demand. Purple-green diverging colors encode matrix values across all panels.
SciVisJ.2926.1.png,"Extremely dense 3D volume rendering with thousands of visible elements including flow structures, glyphs, and surface features.","Complex 3D scientific visualization combining volume rendering, vector glyphs (arrows/needles), and surface coloring to encode multiple variables simultaneously.",Only a single panel label '(a)' is present; virtually no text content.,Appears to be a computational fluid dynamics or astrophysical simulation (possibly a vortex/hurricane structure) requiring specialized domain knowledge to interpret.,"Rich color palette spanning blue, red, orange, yellow, and green with varying intensities; multiple glyph types (needles, particles) used throughout.",Visually dense and complex with overlapping structures; the swirling vortex and scattered glyphs create a high level of visual disorder.,Very difficult to interpret without domain expertise; multiple simultaneous encodings in 3D space require significant cognitive effort.,"A highly complex 3D scientific visualization showing what appears to be a fluid dynamics or astrophysical vortex simulation with volume rendering, vector glyphs, and multi-variable color encoding. Despite minimal text, the extreme data density, specialized domain, and multi-layered visual encodings make this very visually complex."
InfoVisJ.2699.12.png,"Hundreds of nodes and edges densely packed across the entire canvas, with many overlapping connections creating high data density.",Node-link network diagram with varying node sizes and edge connections; moderately complex encoding but uniform in type.,Minimal text—only four red labels (SG1–SG4) annotating specific subgraphs.,"Network/graph visualization requiring understanding of graph topology, clusters, and subgraph structures.","Limited color palette—purple nodes with pink halos on white background, plus red annotation circles; low color variety.",Highly cluttered layout with many overlapping edges and densely packed node clusters creating visual disorder.,Tracking structure across numerous interconnected clusters with overlapping edges requires significant cognitive effort.,"A dense node-link network graph with hundreds of nodes and edges spread across the canvas, with four annotated subgraphs highlighted in red circles. The high density of connections and overlapping edges create substantial visual clutter and cognitive demand despite the simple color scheme."
VisJ.1197.5(3).png,Extremely dense 3D treemap or city-block visualization with hundreds of individual rectangular elements filling the entire canvas.,3D extruded rectangles with perspective projection encode data through height and area; moderately complex spatial encoding.,"No text, labels, titles, or annotations are present anywhere in the image.",Appears to be a 3D treemap or urban data visualization requiring understanding of hierarchical or spatial data representations.,Monochrome grayscale palette with no color variation; shading provides depth cues but limited symbolic diversity.,"Extremely cluttered and dense with overlapping 3D blocks creating a visually overwhelming, chaotic appearance.",Very difficult to parse individual elements or extract meaningful patterns from the dense 3D block arrangement without labels or legends.,"A dense 3D treemap or block visualization rendered in grayscale with hundreds of extruded rectangles filling the entire frame. The lack of labels and extreme density make it visually overwhelming, though the monochrome palette keeps color complexity low. The sheer volume of overlapping 3D elements creates very high perceptual clutter and cognitive demand."
SciVisJ.980.12(2).png,"Dense flow field with numerous streamlines, 3D glyphs, and vortex structures throughout the volume.","Complex 3D visualization combining streamlines, arrow glyphs of varying sizes/orientations, and 3D isosurfaces in a transparent bounding box.",Virtually no text present in the visualization.,Highly specialized computational fluid dynamics (CFD) visualization showing vortex cores and flow topology in 3D; requires significant domain expertise.,"Multiple colors encode different flow features (red, blue, green, yellow glyphs and surfaces); diverse symbol types including arrows and ellipsoids.","Moderately cluttered with overlapping streamlines and scattered glyphs, though the 4-vortex structure provides some order.","Very high cognitive demand to interpret 3D flow structures, vortex cores, glyph orientations, and their interrelationships.","A 3D computational fluid dynamics visualization showing four vortex structures within a rectangular domain, rendered with streamlines, colored arrow glyphs, and isosurfaces. The combination of 3D perspective, multiple encoding channels, and specialized domain context creates high visual and cognitive complexity despite the absence of text."
InfoVisJ.2402.12(1).png,Extremely dense treemap-like visualization with hundreds of nested rectangles of varying sizes filling the entire canvas.,Nested rectangular elements with size encoding and 3D shading/gradient effects creating a complex spatial hierarchy.,Some tiny text labels are visible within cells but mostly illegible at this resolution; relatively low text prominence.,"Appears to be a treemap or cushion treemap of a hierarchical dataset, requiring familiarity with space-filling visualization techniques.",Predominantly gray with selective green and cyan/turquoise highlights; limited color palette but meaningful color coding.,Extremely dense and visually overwhelming with hundreds of elements packed tightly; high visual clutter throughout.,Very difficult to parse individual elements or understand the overall structure; requires significant effort to extract meaning.,A cushion treemap visualization with extreme data density showing a hierarchical dataset. The predominantly gray elements with selective green and cyan highlights create a visually overwhelming display that is very challenging to interpret without interaction or zooming capabilities.
VisC.503.6.png,Only 3 bars with error bars representing a very small amount of data.,Simple hatched bar chart with error bars; one of the most basic chart types.,"Minimal text: a title, axis label, axis tick values, and three category labels.",Requires basic understanding of percent correct and error bars but otherwise straightforward.,Monochrome hatched bars with only small red error bars as the sole color accent.,"Very clean, spacious layout with no clutter or overlapping elements.",Immediately interpretable; comparison of three simple values with error bars.,"This is a very simple 3-bar chart comparing percent correct across three conditions in a surface orientation task. The hatched monochrome bars with red error bars are extremely easy to read, resulting in very low visual complexity."
whoQ50_2.png,"About 20 bars representing countries, moderate number of data points but single variable per bar.",Simple bar chart with positive and negative values; straightforward encoding.,"Rotated country names on x-axis are numerous and some are long, adding moderate text density.",Standard bar chart showing percentage change; no specialized knowledge required.,Single color (brown/orange) used for all bars; minimal color variety.,"Clean, well-organized layout sorted by value; minimal clutter.",Easy to interpret sorted bar chart; low cognitive effort needed.,"A sorted bar chart showing percentage change in case incidence across Latin American and Caribbean countries from 2000-2011. Clean layout with a single color and straightforward encoding, though the rotated country labels add some text density."
InfoVisC.211.18.png,A simple histogram with approximately 18 bars showing a declining distribution; low data density.,Single encoding type: black bars of varying height; very straightforward bar chart.,Minimal text with partially legible axis labels; very low text volume.,Simple frequency distribution requiring no specialized knowledge to interpret.,Monochrome black bars on white background; no color or symbol variety whatsoever.,"Clean, uncluttered layout with ample whitespace; well-ordered decreasing bars.",Immediately interpretable as a right-skewed distribution; minimal cognitive effort required.,"A simple monochrome histogram showing a right-skewed distribution of thread sizes versus percentage of total messages. Very low visual complexity with minimal encoding, text, and color variety."
whoJ44.png,Only two time series lines over 11 yearly data points; very low data density.,Simple dual line chart with straightforward x-y encoding; minimal complexity.,"Includes a descriptive title, axis labels, legend, source citation, and two endpoint value annotations — moderate text for a simple chart.",Basic economics/development aid domain; no specialized knowledge required beyond understanding ODA.,Two shades of blue (dark navy and light cyan); minimal color variety.,"Very clean, well-organized layout with clear separation between elements and ample whitespace.",Immediately interpretable; the message is stated in the title and the two lines clearly convey the trend.,"A clean dual-line chart showing Total ODA vs. General Budget Support from 2000–2010. Very low visual complexity with only two series, minimal color use, and a clear narrative title that guides interpretation."
wsj340.png,Only 6 categories in a single pie chart; very low data density.,Simple donut/pie chart with direct labels; straightforward encoding.,"Moderate text including a headline, descriptive paragraph, category labels with percentages, center text, and source attribution.",Standard pie chart of energy sources; no specialized knowledge needed.,"A few distinct colors (orange, blue, yellow, gray) used to differentiate slices; simple but effective palette.","Clean, well-organized infographic layout with clear hierarchy and ample whitespace.",Immediately interpretable; simple part-to-whole relationship with clear labels.,"A clean Wall Street Journal infographic showing India's electrical power generation by source as a donut chart. Very low complexity with only 6 well-labeled categories and a polished, minimal layout."
InfoVisC.73.6.png,Very low data content; the same text string is repeated at progressively smaller sizes along curved paths.,Text along curved arcs with red endpoint dots; a simple demonstration of text-on-path rendering with decreasing scale.,Multiple repetitions of 'IEEE Information Visualization 2005' at varying sizes dominate the image.,Appears to be a demonstration of a text rendering or visualization technique; minimal domain knowledge needed.,Only two colors used: dark green text and red circular markers at endpoints.,Relatively clean layout with clear spacing between the curved text rows; not cluttered.,Easy to understand as a text scaling/curving demonstration; low interpretive demand.,A simple demonstration image showing the text 'IEEE Information Visualization 2005' rendered along curved paths at progressively decreasing sizes with red endpoint markers. The image has low overall complexity with minimal data content and straightforward visual encoding.
VisC.167.11.png,Around 30 stacked bars with 3 segments each; moderate data density with a clear distribution pattern.,Standard stacked bar chart with a single encoding type; straightforward visual form.,"Basic axis labels, legend with 3 items, and numeric tick marks; minimal text overall.","Requires understanding of isovalues and computational timing breakdowns, but the chart form is standard.","Three distinct colors (blue, dark red, yellow) used for stacking; simple and clear color scheme.",Well-organized layout with clear gridlines and consistent bar spacing; clean presentation.,Easy to read stacked bar chart; the bell-shaped distribution is immediately apparent.,"A stacked bar chart showing computation time broken into three components across 30 normalized isovalues. The chart is well-organized with moderate data density and a clear visual pattern, making it relatively easy to interpret."
economist_daily_chart_153.png,Three stacked area series over ~30 years; moderate data but presented cleanly.,Standard stacked area chart with three layers; straightforward encoding type.,"Title, subtitle, legend with three items, axis labels, and source attribution; modest text volume.",Simple time series of disaster counts; no specialized knowledge required.,Three shades of blue/teal distinguish the categories; limited but effective color palette.,"Clean, well-organized layout with clear spacing and minimal clutter.",Easy to interpret overall trend and relative contributions; low cognitive demand.,"A clean stacked area chart showing three categories of weather-related disasters from 1980 to 2009. The visualization is well-organized with a restrained color palette and straightforward design, resulting in relatively low visual complexity."
VASTJ.2908.2.png,"A matrix-like display with 16 rows × 5 columns, each cell encoding a categorical value (high/medium/low or empty), resulting in substantial data density.",Simple stacked bar-like columns with three shades of blue encoding research focus levels; straightforward but repeated across many cells.,"16 row labels on the left, 5 column headers on top, and a legend at the bottom — moderate to high text volume.","Requires understanding of cognitive science and visualization research concepts like sensemaking, gestalt, distributed cognition — specialized domain.",Three shades of blue plus gray background; limited color palette but functionally meaningful.,Well-organized grid layout with consistent spacing; relatively clean despite the amount of information.,Requires cross-referencing rows and columns and distinguishing three similar blue shades; moderate cognitive effort to extract patterns.,"A structured matrix visualization mapping 16 cognitive/analytical tasks against 5 theoretical frameworks, using three shades of blue to indicate research focus levels. The layout is orderly but the combination of specialized domain terminology and the need to compare across many cells creates moderate-to-high complexity."
InfoVisJ.1236.13.png,Two side-by-side map representations of the Netherlands with numerous regions and grid cells conveying substantial data.,"Dual encoding approach: a choropleth-like map with numeric labels on the left and a gridded/tile map on the right, requiring cross-referencing.","Numeric labels on each region of the left map; no title or legend text visible, so moderate text volume.",Requires understanding of geographic/cartographic representations and the relationship between the two map forms.,"Rich and varied color palette with many distinct hues (greens, reds, browns, yellows, blues, oranges) used across both maps to encode regional identity.",The right tile map is somewhat cluttered with many small colored squares; the left map is cleaner but has many small regions competing for attention.,Comparing two different map representations requires mental mapping between regions; the color correspondence adds interpretive effort.,"A dual-view visualization of the Netherlands showing a labeled choropleth-style map alongside a gridded tile map. The rich color palette and dual-encoding approach create moderate-to-high complexity, requiring viewers to match regions across two different spatial representations."
VisJ.1949.18(3).png,"A grid of approximately 60+ small multiples showing 3D rendered objects, creating substantial visual density on a black background.","3D rendered glyphs with orientation, size, and shape variations encoding data across a regular grid layout.","No text, labels, axes, or annotations are present anywhere in the image.",Highly specialized scientific visualization likely from computational fluid dynamics or physics simulation; requires domain expertise to interpret the 3D glyphs.,"Limited but purposeful color palette of orange, green, and dark tones applied to 3D objects against black background.",Regular grid arrangement but varying glyph sizes and orientations create moderate visual disorder; dark background adds to perceptual challenge.,Requires understanding what the 3D glyphs represent and how their orientation/size/shape varies systematically across the grid; high interpretive demand without any labels.,"A small-multiples grid of approximately 60+ 3D rendered glyphs on a black background, likely from a scientific simulation. The lack of any text or labels combined with specialized 3D glyph encoding creates high cognitive demand despite the regular spatial arrangement."
InfoVisJ.1558.9.png,"Moderate number of oriented ellipses scattered across the plot, with some overlap and clustering in the center-right region.","Ellipses encode multiple dimensions simultaneously — position, orientation, size, and color — creating complex multi-variate glyph representations.",Minimal text; only the color legend with 5 numeric values is present.,"This appears to be a specialized tensor or uncertainty visualization using oriented ellipses, requiring domain knowledge to interpret orientation, eccentricity, and color mappings.",A single-hue sequential color scale from light pink to dark red/brown; ellipse shapes vary in size and orientation.,Moderately cluttered in the central region with overlapping ellipses; the blue dashed zoom boxes add structural elements but also visual noise.,"Interpreting multi-attribute glyphs (orientation, size, color, position) simultaneously is cognitively demanding, especially with the zoom inset relationship.","A glyph-based visualization using oriented and colored ellipses to represent multivariate data, likely tensor fields or uncertainty. The blue dashed rectangles indicate a zoom relationship. Moderate-to-high complexity driven primarily by the specialized encoding scheme requiring domain expertise to interpret."
SciVisJ.822.18.png,Three panels each with a 5-row grid of cells colored by intensity; moderate but repetitive data content.,Simple heatmap-style grid encoding with sequential blue color scale; straightforward spatial layout.,Minimal text: only row labels (2-6) and year labels for each panel.,"Requires understanding of heatmap grids and temporal comparison across three years, but the structure is relatively intuitive.",Sequential blue color palette from white to dark navy; moderate color variation within a single hue.,"Clean, well-organized three-panel layout with consistent structure and ample whitespace.",Comparisons across three time periods are straightforward; moderate cognitive effort to interpret color gradients.,"Three vertically stacked heatmap panels comparing data across 1999, 2003, and 2005 using a sequential blue color scale. The layout is clean and repetitive, resulting in moderate-low visual complexity with the main challenge being color gradient interpretation across panels."
InfoVisJ.349.1.png,"Many nodes (circles and rectangles) connected by numerous orthogonal edges spanning the entire canvas, creating substantial information density.",Orthogonal graph layout with two distinct node types (circles and squares) connected by routed edges; moderately complex encoding.,Virtually no text present anywhere in the visualization.,Appears to be a circuit diagram or hierarchical graph requiring specialized domain knowledge to interpret the node relationships and structure.,Monochrome grayscale with only two symbol types (circles and small rectangles); limited color/symbol variety.,"Dense clusters of nodes with long crossing edges create visual clutter, especially in the upper-left and lower portions.",Tracing connections through orthogonal routing with many crossings and distributed clusters requires significant cognitive effort.,"A complex orthogonal node-link diagram with two types of nodes (circles and rectangles) connected by routed edges. The layout spans the full canvas with dense clusters and long-range connections, creating high cognitive demand despite the absence of text and color. The specialized graph structure suggests a circuit or hierarchical system diagram."
VASTJ.422.7.png,11 user timelines with multiple events each; moderate data density with many individual data points spread across rows.,Timeline-based encoding with colored dots and triangle markers on horizontal lines; moderately complex dual-symbol system.,"User labels on y-axis, time axis labels, and a 7-item legend; moderate text volume.",User study event timeline; requires understanding of task categorization but not highly specialized.,"Five distinct colors (blue, orange, red, black, yellow) plus two symbol types (circles, triangles) encode different event categories.",Well-organized parallel timelines with clear spacing; relatively clean layout despite moderate data density.,Must track multiple color and symbol encodings across 11 users; moderate cognitive effort to compare patterns.,"A user study timeline visualization showing events for 11 users over time, with color-coded categories and symbol-differentiated event types. The chart has moderate complexity with well-organized parallel timelines but requires tracking multiple encoding channels simultaneously."
VASTJ.2012.9(2).png,Two dense word clouds combined with a temporal stream graph and pie charts create substantial information density across multiple views.,"Multiple encoding types combined: stream/theme river graph at top, word clouds with size encoding, pie charts, and color-coded categories.","Extremely high text volume with dozens of words in each word cloud, date labels, category labels, and topic annotations throughout.","Requires understanding of topic modeling over time, word cloud semantics, and stream graph interpretation in a social media protest analysis context.","Multiple colors used to distinguish topics (red, blue, green, gray) in both the stream graph and word clouds, plus small pie charts.","The layout is moderately cluttered with overlapping word clouds, stream flows, and annotations competing for visual attention.",High cognitive demand to integrate temporal topic evolution with word cloud details and understand the multi-level coordinated views.,"A multi-component visualization combining a temporal stream graph of protest topics with two large word clouds and small pie charts. The dense text content and multiple coordinated visual elements create high complexity, requiring integration across temporal and semantic dimensions related to the Occupy Wall Street movement."
v488_n7409_12_f4.png,Moderate data density with a phylogenetic tree showing ~9 taxa across geological time periods with range bars and fossil gaps marked.,"Combines a cladogram with temporal range bars, shaded geological intervals, an embedded fossil photograph, and dashed vs solid lines for uncertainty.","Dense text along the bottom with many geological stage names (rotated), taxon names on the right, time axis labels, and annotations like 'Romer's gap' and 'Hexapoda gap'.","Requires paleontological and geological knowledge to interpret geological periods, phylogenetic relationships, and the significance of fossil gaps.","Limited color palette with cyan/blue lines, grey shaded bands, and a small red scale bar; dashed vs solid lines encode uncertainty.","Reasonably well-organized with clear spatial structure, though the overlapping geological subdivisions at the bottom create some visual density.","Interpreting the phylogenetic relationships against geological time, understanding the gap designations, and reading the dense geological timeline requires significant domain knowledge.","A phylogenetic tree of early insect lineages plotted against geological time from the Silurian to Permian. The visualization integrates cladistic relationships, temporal ranges, fossil gaps, and an embedded fossil image, requiring substantial paleontological knowledge to fully interpret. Moderately complex overall due to its specialized domain and multi-layered information encoding."
v488_n7412_9_f1.png,Dozens of proportional symbols overlaid on a detailed topographic basemap with multiple overlapping layers of geographic features.,"Dual encoding via circle size (standard error) and color (elevation trend), plus line types for rivers, basins, sub-regions, and ICESat tracks — high encoding variety.","Geographic labels, sub-region codes with numeric values, coordinate labels, and a detailed legend with multiple entries contribute moderate-to-high text density.","Requires understanding of glaciology, ICESat satellite data, elevation change trends, and Himalayan geography — specialized domain knowledge needed.","Diverging color scale from blue to red, multiple line styles (solid, dashed, dotted), varying circle sizes, and a shaded relief basemap create rich visual variety.","Symbols overlap in dense areas (Hindu Kush/Karakoram), and the basemap adds texture that competes with data elements, creating moderate clutter.","Must simultaneously interpret color, size, spatial position on a geographic map, and relate sub-region statistics — substantial cognitive demand.","A geographic visualization of glacier elevation change trends across the Himalayan region using proportional colored circles on a shaded relief map. Multiple encoding channels (color, size, line types) and dense spatial clustering in the northwest create high visual and cognitive complexity. Domain-specific knowledge of glaciology and satellite altimetry is needed for full interpretation."
