section,subcategory,term,n_images
visual_attributes,color,limited_color_range,2
visual_attributes,color,many_different_colors,2
visual_attributes,color,more_colors_present,2
visual_attributes,color,multiple_distinct_colors,2
visual_attributes,color,only_two_colors_used,2
visual_attributes,color,poor_color_choices,2
visual_attributes,color,adds_visual_complexity,1
visual_attributes,color,aids_readability,1
visual_attributes,color,all_colors_very_different,1
visual_attributes,color,ambiguous_colors_used,1
visual_attributes,color,appealing_color_choices,1
visual_attributes,color,bad_contrast_color_choice,1
visual_attributes,color,black_to_white_transition,1
visual_attributes,color,blurring_applied,1
visual_attributes,color,bold_color_usage,1
visual_attributes,color,bold_colors_used,1
visual_attributes,color,boring_color_choice,1
visual_attributes,color,bright_vivid_colors,1
visual_attributes,color,brighter_colors,1
visual_attributes,color,challenging_to_identify,1
visual_attributes,color,clear_color_differentiation,1
visual_attributes,color,clearer_distinct_colors,1
visual_attributes,color,color_adds_complexity,1
visual_attributes,color,color_adds_factor_to_consider,1
visual_attributes,color,color_choice_complex,1
visual_attributes,color,color_coded_separation,1
visual_attributes,color,color_encoding_used,1
visual_attributes,color,color_meaning_unclear,1
visual_attributes,color,color_meaning_undefined,1
visual_attributes,color,color_scale_encoding,1
visual_attributes,color,color_shades_vary,1
visual_attributes,color,colored_graphic_chart,1
visual_attributes,color,colored_within_shape,1
visual_attributes,color,colorful_appearance,1
visual_attributes,color,colors_aid_recognition,1
visual_attributes,color,colors_carry_meaning,1
visual_attributes,color,colors_carry_no_meaning,1
visual_attributes,color,colors_convey_meaning,1
visual_attributes,color,colors_densely_clustered,1
visual_attributes,color,colors_draw_attention,1
visual_attributes,color,colors_hard_to_distinguish,1
visual_attributes,color,colors_harder_to_look_at,1
visual_attributes,color,colors_involved,1
visual_attributes,color,colors_more_appealing,1
visual_attributes,color,colors_represent_groups,1
visual_attributes,color,colors_too_similar,1
visual_attributes,color,colors_unclear_meaning,1
visual_attributes,color,complex_color_arrangement,1
visual_attributes,color,complex_color_scheme,1
visual_attributes,color,confusing_color_variety,1
visual_attributes,color,contributes_to_complexity,1
visual_attributes,color,dark_green_color_used,1
visual_attributes,color,darker_tone,1
visual_attributes,color,different_colors_confusing,1
visual_attributes,color,different_colors_distinguishable,1
visual_attributes,color,different_shades_of_orange,1
visual_attributes,color,different_shades_used,1
visual_attributes,color,difficult_to_tell_apart,1
visual_attributes,color,difficult_to_understand,1
visual_attributes,color,distinct_color_hues,1
visual_attributes,color,distinct_color_variety,1
visual_attributes,color,distinct_colors_used,1
visual_attributes,color,distinguished_distinctive_colors,1
visual_attributes,color,dull_and_blended_colors,1
visual_attributes,color,encodes_data_collection,1
visual_attributes,color,excessive_color_count,1
visual_attributes,color,eye_straining_palette,1
visual_attributes,color,few_colors_used,1
visual_attributes,color,fully_saturated_palette,1
visual_attributes,color,good_color_choices,1
visual_attributes,color,gradient_color_encoding,1
visual_attributes,color,gradient_color_transition,1
visual_attributes,color,hard_to_differentiate,1
visual_attributes,color,hard_to_focus_eyes,1
visual_attributes,color,hard_to_identify_colors,1
visual_attributes,color,high_color_intensity,1
visual_attributes,color,high_color_saturation,1
visual_attributes,color,high_color_variability,1
visual_attributes,color,high_color_variation,1
visual_attributes,color,high_contrast_coloring,1
visual_attributes,color,high_contrast_level,1
visual_attributes,color,high_number_of_colors,1
visual_attributes,color,higher_contrast_colors,1
visual_attributes,color,identical_colors_both_sides,1
visual_attributes,color,increased_color_variety,1
visual_attributes,color,insufficient_color_variety,1
visual_attributes,color,insufficient_contrast,1
visual_attributes,color,intense_colors,1
visual_attributes,color,introduces_visual_uncertainty,1
visual_attributes,color,less_color_variety,1
visual_attributes,color,light_and_dark_contrast,1
visual_attributes,color,limited_color_count,1
visual_attributes,color,limited_color_variety,1
visual_attributes,color,little_shade_variation,1
visual_attributes,color,little_to_no_numbers,1
visual_attributes,color,low_color_contrast,1
visual_attributes,color,low_color_distinguishability,1
visual_attributes,color,low_color_diversity,1
visual_attributes,color,many_distinct_colors,1
visual_attributes,color,many_unique_colors,1
visual_attributes,color,meaning_unclear_to_viewer,1
visual_attributes,color,mixed_color_variety,1
visual_attributes,color,mixes_several_colors,1
visual_attributes,color,monochrome_color_used,1
visual_attributes,color,monochrome_palette,1
visual_attributes,color,multicolored_encoding,1
visual_attributes,color,multiple_blue_shades,1
visual_attributes,color,multiple_color_codes,1
visual_attributes,color,multiple_color_differences,1
visual_attributes,color,multiple_color_keys_present,1
visual_attributes,color,multiple_color_schemes,1
visual_attributes,color,multiple_color_shades,1
visual_attributes,color,multiple_color_variations,1
visual_attributes,color,multiple_colors_distributed,1
visual_attributes,color,multiple_colors_mixed,1
visual_attributes,color,multiple_colors_same_area,1
visual_attributes,color,multiple_unique_colors,1
visual_attributes,color,multiple_unique_contrasts,1
visual_attributes,color,muted_colors_used,1
visual_attributes,color,no_clear_color_scheme,1
visual_attributes,color,no_color_difference,1
visual_attributes,color,no_colors_used,1
visual_attributes,color,no_easy_color_distinction,1
visual_attributes,color,no_more_than_three_colors,1
visual_attributes,color,no_semantic_meaning,1
visual_attributes,color,no_white_space,1
visual_attributes,color,nonlinear_color_scale,1
visual_attributes,color,not_intuitive,1
visual_attributes,color,not_simple_color_wise,1
visual_attributes,color,notable_color_differences,1
visual_attributes,color,number_of_colors,1
visual_attributes,color,number_of_colors_manageable,1
visual_attributes,color,numerous_colors_used,1
visual_attributes,color,only_black_color,1
visual_attributes,color,only_two_main_colors,1
visual_attributes,color,orange_color_complex,1
visual_attributes,color,overlapping_color_superposition,1
visual_attributes,color,overly_colorful,1
visual_attributes,color,poor_color_choice,1
visual_attributes,color,poorly_contrasting_colors,1
visual_attributes,color,poorly_defined_color_legend,1
visual_attributes,color,prominent_colors_present,1
visual_attributes,color,prominent_red_coloring,1
visual_attributes,color,purple_and_green_hues,1
visual_attributes,color,random_color_usage,1
visual_attributes,color,range_and_contrast_of_colors,1
visual_attributes,color,range_of_colors_present,1
visual_attributes,color,red_green_meaning_unclear,1
visual_attributes,color,same_color_used,1
visual_attributes,color,same_shade_colors,1
visual_attributes,color,separate_color_scale,1
visual_attributes,color,shading_increases_complexity,1
visual_attributes,color,shading_present,1
visual_attributes,color,similar_color_palette,1
visual_attributes,color,similar_colors,1
visual_attributes,color,similar_colors_used,1
visual_attributes,color,similar_looking_colors,1
visual_attributes,color,simple_coloring,1
visual_attributes,color,single_color_only,1
visual_attributes,color,single_color_used,1
visual_attributes,color,soft_appealing_colors,1
visual_attributes,color,soft_color_tones,1
visual_attributes,color,strong_color_contrast,1
visual_attributes,color,strongly_contrasting_colors,1
visual_attributes,color,too_many_similar_colors,1
visual_attributes,color,too_much_color,1
visual_attributes,color,totally_arbitrary_color_application,1
visual_attributes,color,two_color_dimensions,1
visual_attributes,color,two_distinct_colors,1
visual_attributes,color,unclear_color_differentiation,1
visual_attributes,color,unclear_color_meaning,1
visual_attributes,color,unclear_color_representation,1
visual_attributes,color,unclear_color_value_meaning,1
visual_attributes,color,undefined_color,1
visual_attributes,color,uneven_color_distribution,1
visual_attributes,color,use_of_color_aids_clarity,1
visual_attributes,color,variation_in_color_shades,1
visual_attributes,color,variations_of_shade,1
visual_attributes,color,varied_color_distribution,1
visual_attributes,color,varied_color_formats,1
visual_attributes,color,varied_color_usage,1
visual_attributes,color,varied_color_wording,1
visual_attributes,color,varied_colors_present,1
visual_attributes,color,varied_vibrant_colors,1
visual_attributes,color,variety_of_colors,1
visual_attributes,color,various_color_shades,1
visual_attributes,color,various_colors_present,1
visual_attributes,color,vast_colorization_use,1
visual_attributes,color,very_weird_color,1
visual_attributes,color,visually_appealing,1
visual_attributes,color,visually_harsh_colors,1
visual_attributes,color,visually_pleasant_appearance,1
visual_attributes,color,weird_color_contrast,1
visual_attributes,color,weird_color_palette,1
visual_attributes,color,wide_color_range,1
visual_attributes,color,wide_variety_of_colors,1
visual_attributes,color_segment,distinct_color_separation,1
visual_attributes,color_segment,limited_color_segments,1
visual_attributes,color_segment,segmented_color_regions,1
visual_attributes,color_segment,variety_of_bright_colors,1
visual_attributes,data,high_information_volume,16
visual_attributes,data,high_data_volume,4
visual_attributes,data,high_detail_density,2
visual_attributes,data,large_element_size,2
visual_attributes,data,lots_of_variables,2
visual_attributes,data,too_many_variables,2
visual_attributes,data,additional_information_added,1
visual_attributes,data,clear_information_presentation,1
visual_attributes,data,close_proximity_of_items,1
visual_attributes,data,cluttered_data_elements,1
visual_attributes,data,common_knowledge_domain,1
visual_attributes,data,content_hard_to_see,1
visual_attributes,data,data_easier_to_see,1
visual_attributes,data,dense_information_content,1
visual_attributes,data,densely_packed_content,1
visual_attributes,data,different_sizes,1
visual_attributes,data,domain_specific_chemicals,1
visual_attributes,data,domain_specific_terminology,1
visual_attributes,data,easily_understood,1
visual_attributes,data,easy_to_compare,1
visual_attributes,data,easy_to_read,1
visual_attributes,data,encodes_word_frequency,1
visual_attributes,data,evenly_distributed_layout,1
visual_attributes,data,excessive_data_volume,1
visual_attributes,data,fairly_easy_to_read,1
visual_attributes,data,familiar_visualization_type,1
visual_attributes,data,few_or_no_data_points,1
visual_attributes,data,fine_detail_present,1
visual_attributes,data,frequency_directly_readable,1
visual_attributes,data,hard_to_differentiate,1
visual_attributes,data,hard_to_quickly_understand,1
visual_attributes,data,high_amount_of_details,1
visual_attributes,data,high_amount_of_items,1
visual_attributes,data,high_element_count,1
visual_attributes,data,high_element_quantity,1
visual_attributes,data,high_entity_count,1
visual_attributes,data,high_information_processing_effort,1
visual_attributes,data,high_item_count,1
visual_attributes,data,high_object_count,1
visual_attributes,data,high_pixel_density,1
visual_attributes,data,high_subject_count,1
visual_attributes,data,high_visual_contrast,1
visual_attributes,data,high_visual_noise,1
visual_attributes,data,high_volume_of_details,1
visual_attributes,data,imaging_seems_arbitrary,1
visual_attributes,data,immense_detail_present,1
visual_attributes,data,impossible_to_interpret,1
visual_attributes,data,information_hard_to_extract,1
visual_attributes,data,information_spread_across_image,1
visual_attributes,data,intuitive_graph_understanding,1
visual_attributes,data,items_in_close_proximity,1
visual_attributes,data,large_information_volume,1
visual_attributes,data,large_number_of_items,1
visual_attributes,data,larger_dataset_size,1
visual_attributes,data,limited_to_two_points,1
visual_attributes,data,lot_of_details,1
visual_attributes,data,manageable_information_volume,1
visual_attributes,data,manageable_object_count,1
visual_attributes,data,many_data_items,1
visual_attributes,data,many_different_elements,1
visual_attributes,data,many_elements_intermingled,1
visual_attributes,data,many_elements_present,1
visual_attributes,data,many_visual_elements,1
visual_attributes,data,more_data_points,1
visual_attributes,data,more_details_included,1
visual_attributes,data,more_details_present,1
visual_attributes,data,more_elements_present,1
visual_attributes,data,more_factors_to_consider,1
visual_attributes,data,more_visual_elements,1
visual_attributes,data,multiple_copies_present,1
visual_attributes,data,multiple_entity_types,1
visual_attributes,data,multiple_info_types,1
visual_attributes,data,multiple_interacting_data_bits,1
visual_attributes,data,multiple_parameters_present,1
visual_attributes,data,multiple_precise_components,1
visual_attributes,data,multiple_statistics_present,1
visual_attributes,data,multiple_variables,1
visual_attributes,data,multiple_variables_present,1
visual_attributes,data,multitude_of_differing_information,1
visual_attributes,data,needs_interpretation,1
visual_attributes,data,no_clear_visual_cutoff_points,1
visual_attributes,data,no_data_explanation,1
visual_attributes,data,no_data_present,1
visual_attributes,data,nothing_visible,1
visual_attributes,data,nuanced_data_content,1
visual_attributes,data,nuanced_visual_features,1
visual_attributes,data,numerous_data_points,1
visual_attributes,data,numerous_figures_present,1
visual_attributes,data,objects_spread_across_space,1
visual_attributes,data,pattern_search_required,1
visual_attributes,data,provides_more_data_information,1
visual_attributes,data,provokes_thought_and_understanding,1
visual_attributes,data,random_like_movement,1
visual_attributes,data,requires_extended_analysis,1
visual_attributes,data,requires_extra_cognitive_effort,1
visual_attributes,data,requires_more_thinking,1
visual_attributes,data,rich_information_presented,1
visual_attributes,data,signal_noise_separation_hard,1
visual_attributes,data,simple_information,1
visual_attributes,data,sparse_data_elements,1
visual_attributes,data,spread_of_values_shown,1
visual_attributes,data,supports_data_analysis,1
visual_attributes,data,too_dense_to_read,1
visual_attributes,data,unclear_encoding,1
visual_attributes,data,understandable_content,1
visual_attributes,data,unidentifiable_elements,1
visual_attributes,data,unknown_data_meaning,1
visual_attributes,data,values_separated_by_color,1
visual_attributes,data,very_high_entry_count,1
visual_attributes,description,captions_aid_comprehension,1
visual_attributes,description,descriptive_annotations_present,1
visual_attributes,description,easy_to_read,1
visual_attributes,description,explanatory_description_present,1
visual_attributes,description,provides_necessary_context,1
visual_attributes,detail,high_detail_density,5
visual_attributes,detail,high_detail_volume,1
visual_attributes,detail,less_details_present,1
visual_attributes,detail,many_small_details,1
visual_attributes,detail,obscured_underlying_data,1
visual_attributes,detail,rich_visual_details,1
visual_attributes,detail,small_detail_elements,1
visual_attributes,detail,small_fine_details,1
visual_attributes,domain,absence_aids_simplicity,1
visual_attributes,domain,dense_field_information,1
visual_attributes,domain,domain_knowledge_required,1
visual_attributes,domain,domain_specific_biology,1
visual_attributes,domain,familiar_domain_context,1
visual_attributes,domain,familiar_earthquake_topic,1
visual_attributes,domain,football_theme_recognizable,1
visual_attributes,domain,imaginable_meaning,1
visual_attributes,domain,no_context_provided,1
visual_attributes,domain,provides_interpretive_context,1
visual_attributes,domain,requires_longer_processing,1
visual_attributes,domain,unclear_portrayed_subject,1
visual_attributes,domain,unfamiliar_concepts,1
visual_attributes,element,many_visual_elements,2
visual_attributes,element,appears_less_important,1
visual_attributes,element,black_color_present,1
visual_attributes,element,complex_draw_style,1
visual_attributes,element,complex_visual_designs,1
visual_attributes,element,discordant_color_choice,1
visual_attributes,element,encodes_data_collection,1
visual_attributes,element,fine_detail_present,1
visual_attributes,element,four_separate_components,1
visual_attributes,element,grabs_visual_attention,1
visual_attributes,element,green_color_present,1
visual_attributes,element,high_element_count,1
visual_attributes,element,high_ink_density,1
visual_attributes,element,high_number_of_elements,1
visual_attributes,element,increased_cognitive_load,1
visual_attributes,element,intricate_visual_structure,1
visual_attributes,element,many_elements_present,1
visual_attributes,element,meaning_not_interpretable,1
visual_attributes,element,more_forms_present,1
visual_attributes,element,more_graphic_content,1
visual_attributes,element,multiple_distinct_components,1
visual_attributes,element,pixelated_appearance,1
visual_attributes,element,requires_extra_processing_time,1
visual_attributes,element,requires_interpretation_effort,1
visual_attributes,element,scattered_all_over,1
visual_attributes,element,single_visual_element,1
visual_attributes,element,three_dimensional_structure,1
visual_attributes,element,too_many_moving_parts,1
visual_attributes,element,varied_element_sizes,1
visual_attributes,element,varied_shape_types,1
visual_attributes,element,varied_visual_encoding,1
visual_attributes,element,yellow_color_present,1
visual_attributes,encoding,complex_draw_style,1
visual_attributes,encoding,confusing_movement_pattern,1
visual_attributes,encoding,different_sizes_and_figures,1
visual_attributes,encoding,difficult_to_interpret,1
visual_attributes,encoding,granular_information_depth,1
visual_attributes,encoding,high_depth_of_data,1
visual_attributes,encoding,high_visual_strain,1
visual_attributes,encoding,metric_meaning_unclear,1
visual_attributes,encoding,multiple_visual_cues_present,1
visual_attributes,encoding,nasa_like_complexity,1
visual_attributes,encoding,shapes_represent_subsets,1
visual_attributes,encoding,size_varies_small_to_large,1
visual_attributes,encoding,strains_vision,1
visual_attributes,encoding,unexplained_animation_behavior,1
visual_attributes,font_style,changing_fonts_present,1
visual_attributes,font_style,font_adds_complexity,1
visual_attributes,font_style,no_font_differentiation,1
visual_attributes,font_style,single_font_used,1
visual_attributes,font_style,small_font_size,1
visual_attributes,font_style,ugly_irregular_calligraphy,1
visual_attributes,font_style,varying_font_sizes,1
visual_attributes,grid,structured_layout,2
visual_attributes,grid,absent_grid_lines,1
visual_attributes,grid,clear_organization,1
visual_attributes,grid,complex_grid_layout,1
visual_attributes,grid,four_dimension_matrix,1
visual_attributes,grid,grid_adds_visual_clutter,1
visual_attributes,grid,less_elements_overall,1
visual_attributes,grid,needs_intense_study,1
visual_attributes,grid,organized_structure,1
visual_attributes,grid,recognizable_pattern_structure,1
visual_attributes,grid,requires_domain_knowledge,1
visual_attributes,grid,round_shape,1
visual_attributes,grid,small_table_size,1
visual_attributes,grid,tabular_structure,1
visual_attributes,grid,too_many_divisions,1
visual_attributes,grid,unfamiliar_visualization_type,1
visual_attributes,hierarchy,beyond_comprehension,1
visual_attributes,hierarchy,evolutionary_tree_structure,1
visual_attributes,hierarchy,hierarchical_text_organization,1
visual_attributes,hierarchy,hierarchy_hard_to_parse,1
visual_attributes,hierarchy,multiple_lineages_present,1
visual_attributes,hierarchy,numerous_hierarchy_levels,1
visual_attributes,hierarchy,ranked_ordering_present,1
visual_attributes,hierarchy,requires_domain_knowledge,1
visual_attributes,label,high_word_count,7
visual_attributes,label,high_text_volume,4
visual_attributes,label,high_reading_demand,3
visual_attributes,label,high_text_density,3
visual_attributes,label,small_text_size,3
visual_attributes,label,abundant_text_present,2
visual_attributes,label,aids_interpretation,2
visual_attributes,label,clear_and_legible,2
visual_attributes,label,difficult_to_read,2
visual_attributes,label,hard_to_read,2
visual_attributes,label,harder_to_read,2
visual_attributes,label,high_text_quantity,2
visual_attributes,label,lots_of_words,2
visual_attributes,label,many_different_labels,2
visual_attributes,label,more_text_present,2
visual_attributes,label,small_font_size,2
visual_attributes,label,text_aids_interpretation,2
visual_attributes,label,text_present,2
visual_attributes,label,absent_or_insufficient,1
visual_attributes,label,absent_text_elements,1
visual_attributes,label,alphabetically_ordered,1
visual_attributes,label,ambiguous_label_meaning,1
visual_attributes,label,ambiguous_numeric_values,1
visual_attributes,label,amount_of_descriptive_text,1
visual_attributes,label,clarifies_content,1
visual_attributes,label,clear_and_easy_to_read,1
visual_attributes,label,clear_labeling,1
visual_attributes,label,clear_text,1
visual_attributes,label,cluttered_labels,1
visual_attributes,label,color_variation_present,1
visual_attributes,label,complex_letter_structure,1
visual_attributes,label,contains_words,1
visual_attributes,label,country_names_labeled,1
visual_attributes,label,country_related_context,1
visual_attributes,label,dense_bottom_text,1
visual_attributes,label,dense_chart_wording,1
visual_attributes,label,dense_date_annotations,1
visual_attributes,label,dense_writing,1
visual_attributes,label,description_easy_to_read,1
visual_attributes,label,detailed_annotations,1
visual_attributes,label,different_font_sizes,1
visual_attributes,label,different_fonts_used,1
visual_attributes,label,differing_font_sizes,1
visual_attributes,label,differing_word_meanings,1
visual_attributes,label,difficult_to_read_words,1
visual_attributes,label,easy_to_read,1
visual_attributes,label,excessively_crowded_labels,1
visual_attributes,label,familiar_domain_labels,1
visual_attributes,label,familiar_format,1
visual_attributes,label,familiar_recognizable_words,1
visual_attributes,label,few_readable_words,1
visual_attributes,label,few_words_present,1
visual_attributes,label,hard_to_find_features,1
visual_attributes,label,high_density_writing,1
visual_attributes,label,high_label_density,1
visual_attributes,label,high_letter_count,1
visual_attributes,label,high_volume_of_text,1
visual_attributes,label,high_volume_of_writing,1
visual_attributes,label,high_word_and_letter_count,1
visual_attributes,label,illegible_at_small_size,1
visual_attributes,label,illegible_small_writing,1
visual_attributes,label,illegible_unreadable_text,1
visual_attributes,label,inconsistent_text_arrangement,1
visual_attributes,label,information_shown_in_text,1
visual_attributes,label,insufficient_contextual_cues,1
visual_attributes,label,insufficient_text_present,1
visual_attributes,label,involves_words_sentences,1
visual_attributes,label,just_text_present,1
visual_attributes,label,labels_aid_understanding,1
visual_attributes,label,labels_are_clear,1
visual_attributes,label,lack_of_labels_explanation,1
visual_attributes,label,lacks_describing_information,1
visual_attributes,label,large_amount_of_text,1
visual_attributes,label,large_word_size,1
visual_attributes,label,larger_size_encodes_higher_frequency,1
visual_attributes,label,less_clear_writing,1
visual_attributes,label,less_writing_present,1
visual_attributes,label,lot_of_terms,1
visual_attributes,label,lots_of_inscriptions,1
visual_attributes,label,low_legibility,1
visual_attributes,label,low_object_count,1
visual_attributes,label,low_readability,1
visual_attributes,label,many_different_species,1
visual_attributes,label,many_lines_of_text,1
visual_attributes,label,many_more_words,1
visual_attributes,label,many_small_writings,1
visual_attributes,label,many_text_boxes_present,1
visual_attributes,label,many_text_elements,1
visual_attributes,label,many_words_present,1
visual_attributes,label,many_words_selected,1
visual_attributes,label,measure_not_clear,1
visual_attributes,label,mixed_text_and_imagery,1
visual_attributes,label,mixed_text_orientations,1
visual_attributes,label,mixed_text_sizes,1
visual_attributes,label,moderate_text_density,1
visual_attributes,label,more_information_labeled,1
visual_attributes,label,more_labels_present,1
visual_attributes,label,more_legible,1
visual_attributes,label,more_writing_on_page,1
visual_attributes,label,multiple_countries_labeled,1
visual_attributes,label,multiple_words_present,1
visual_attributes,label,names_too_small_to_read,1
visual_attributes,label,needs_much_reading,1
visual_attributes,label,no_numeric_labels,1
visual_attributes,label,non_linear_word_order,1
visual_attributes,label,not_easily_readable,1
visual_attributes,label,not_immediately_interpretable,1
visual_attributes,label,not_straight_to_point,1
visual_attributes,label,numbers_increase_complexity,1
visual_attributes,label,numbers_on_entities,1
visual_attributes,label,numerical_details_present,1
visual_attributes,label,numerous_names_present,1
visual_attributes,label,numerous_text_elements,1
visual_attributes,label,numerous_words_present,1
visual_attributes,label,only_four_highlighted,1
visual_attributes,label,overlapping_annotations,1
visual_attributes,label,overlapping_text,1
visual_attributes,label,poor_readability,1
visual_attributes,label,primarily_text_based,1
visual_attributes,label,provides_context,1
visual_attributes,label,provides_contextual_information,1
visual_attributes,label,random_letter_labels,1
visual_attributes,label,readable_labels_present,1
visual_attributes,label,readable_text,1
visual_attributes,label,readable_text_elements,1
visual_attributes,label,reduced_readability,1
visual_attributes,label,repeated_multiple_times,1
visual_attributes,label,requires_extended_reading,1
visual_attributes,label,requires_reading,1
visual_attributes,label,requires_reading_each_item,1
visual_attributes,label,requires_reading_effort,1
visual_attributes,label,short_cryptic_labels,1
visual_attributes,label,small_font_sizes,1
visual_attributes,label,smaller_size_encodes_lower_frequency,1
visual_attributes,label,some_text_present,1
visual_attributes,label,sparse_text_present,1
visual_attributes,label,squeezed_dense_writing,1
visual_attributes,label,structured_and_labeled,1
visual_attributes,label,subject_domain_unclear,1
visual_attributes,label,text_and_numbers_present,1
visual_attributes,label,text_arrangement_complex,1
visual_attributes,label,text_is_too_small,1
visual_attributes,label,text_overlaid_on_geography,1
visual_attributes,label,text_requires_processing,1
visual_attributes,label,text_word_present,1
visual_attributes,label,tiny_writing,1
visual_attributes,label,too_many_letters,1
visual_attributes,label,unclear_defining_values,1
visual_attributes,label,unclear_inter_word_relations,1
visual_attributes,label,unclear_semantic_purpose,1
visual_attributes,label,unclear_subject_matter,1
visual_attributes,label,undefinable_criteria,1
visual_attributes,label,unfamiliar_brand_names,1
visual_attributes,label,unfamiliar_domain_terms,1
visual_attributes,label,unknown_details,1
visual_attributes,label,unreadable_text,1
visual_attributes,label,variable_letter_size,1
visual_attributes,label,varied_word_sizes,1
visual_attributes,label,varying_word_sizes,1
visual_attributes,label,very_small_writing,1
visual_attributes,label,word_elements_present,1
visual_attributes,label,wording_too_small,1
visual_attributes,label,words_aid_readability,1
visual_attributes,label,words_clearly_visible,1
visual_attributes,label,words_difficult_to_see,1
visual_attributes,label,words_easier_to_understand,1
visual_attributes,label,words_present,1
visual_attributes,label,words_sentences_present,1
visual_attributes,label,words_visible,1
