raw_name,synset_term,synset_category,n_images
text_content,label,text,2
labels_values,label,text,1
small_text,label,text,1
text_words,label,text,1
date_labels,label,text,1
description_text,label,text,1
brand_labels,label,text,1
labels_text,label,text,1
text_label,label,text,1
bottom_text,label,text,1
text_orientations,label,text,1
purpose_label,label,text,1
criteria_labels,label,text,1
subject_label,label,text,1
text_boxes,label,text,1
species_labels,label,text,1
numeric_labels,label,text,1
chemical_compound_labels,label,text,1
highlighted_words,label,text,1
text_items,label,text,1
large_words,label,text,1
small_words,label,text,1
text_display,label,text,1
title,title,text,10
titles,title,text,1
chart,visualization,whole,166
visualization,visualization,whole,131
word_cloud,visualization,whole,11
map,visualization,whole,10
graph,visualization,whole,5
bar_graph,visualization,whole,4
world_map,visualization,whole,4
chart_type,visualization,whole,3
images,visualization,whole,3
line_chart,visualization,whole,3
graphics,visualization,whole,3
circle_graph,visualization,whole,2
pie_chart,visualization,whole,2
chart_elements,visualization,whole,2
graphic,visualization,whole,2
graphs,visualization,whole,2
chart_shapes,visualization,whole,2
line_graph,visualization,whole,2
diagram,visualization,whole,2
scatter_plots,visualization,whole,1
chart_titles,visualization,whole,1
image,visualization,whole,1
geographical_map,visualization,whole,1
charts,visualization,whole,1
visual_display,visualization,whole,1
heatmap,visualization,whole,1
weather_map,visualization,whole,1
3d_visualization,visualization,whole,1
stimulus,visualization,whole,1
graphic_design,visualization,whole,1
figures,visualization,whole,1
wind_map,visualization,whole,1
imagery,visualization,whole,1
chart_collection,visualization,whole,1
histogram,visualization,whole,1
image_panels,visualization,whole,1
graph_metrics,visualization,whole,1
plot,visualization,whole,1
left_chart,visualization,whole,1
right_chart,visualization,whole,1
chart_content,visualization,whole,1
chart_structure,visualization,whole,1
overall_visualization,visualization,whole,1
chart_shape,visualization,whole,1
earth_image,visualization,whole,1
graph_panel_left,visualization,whole,1
graph_panel_right,visualization,whole,1
overall_image,visualization,whole,1
heat_graph,visualization,whole,1
map_graph,visualization,whole,1
weight_graph,visualization,whole,1
