filename,data_density_explanation,visual_encoding_explanation,text_annotation_explanation,domain_schema_explanation,color_symbol_explanation,aesthetic_order_explanation,cognitive_load_explanation,summary
VisJ.1515.12.png,The image shows concentric circular rings with moderate density but limited distinct data points or elements.,"The visualization uses concentric rings with color gradients as the primary encoding, which is relatively simple but the continuous nature adds some complexity.","There are no text elements, labels, titles, or annotations whatsoever in the image.","This appears to be a scientific visualization possibly representing wave interference, diffraction patterns, or an Airy disk, requiring some domain knowledge to interpret.","The color palette is limited to dark green, olive/yellow-green, and dark red/maroon bands, with smooth gradients between them.","The concentric ring pattern is geometrically ordered and symmetric, though the closely spaced rings at the periphery create some visual density.","Without labels or context, interpreting the meaning requires domain knowledge, but the visual pattern itself is straightforward and symmetric.","This is a concentric ring pattern visualization, likely representing a physical phenomenon such as wave interference or a diffraction pattern. It uses a limited color palette of greens and dark reds with no text annotations, resulting in relatively low overall visual complexity despite requiring some domain knowledge to interpret."
v483_n7391_8_f5.png,"The contour plot contains numerous levels of data with dense contour lines, especially in the lower-left region where red/high-intensity features overlap heavily.","The visualization uses a filled contour plot with overlaid line curves (cyan), dual axes on both x and y, and a continuous color scale mapped to intensity values, creating moderate-to-high encoding complexity.","There are four axis labels (with subscripts), tick marks on all four axes, and a color legend with 12 discrete levels — moderate but not excessive text.","This is a condensed matter physics dispersion/spectral function plot (E vs k space with Fermi energy normalization), requiring specialized domain knowledge to interpret the physical meaning.","A sequential yellow-to-red color scale with ~12 discrete levels is used, along with cyan overlay lines and dense contour boundaries, providing moderate color/symbol complexity.","The contour lines become very dense and cluttered in certain regions (especially near the diagonal dispersion feature), though the overall layout is well-organized with clear axes.","Interpreting this requires understanding dual axes, the physical meaning of the dispersion relation, the contour intensity mapping, and the relationship between overlay curves and the spectral weight.","This is a condensed matter physics spectral function or dynamic structure factor plot showing energy versus momentum with a color-coded intensity scale. The dual axes (absolute and normalized units), dense contour regions, and overlaid dispersion curves create moderate-to-high visual complexity. Specialized physics knowledge is needed to fully interpret the features."
VisJ.1499.8.png,"Two 3D surface models with mesh grids and scattered marker points show moderate data density, with the right panel having additional symbol overlays.","The visualization uses 3D surface rendering, color gradients mapped to a variable, wireframe mesh lines, and diamond-shaped markers, creating a moderately complex encoding scheme.",Minimal text is present—only two labels ('Case 4: Perfusion scenario' and 'Case 4: Motion scenario') and small orientation cube labels.,"This is a specialized medical/cardiac imaging visualization showing perfusion and motion scenarios on what appears to be a 3D heart model, requiring domain-specific knowledge to interpret.","A warm color gradient (yellow to orange-red) maps a scalar value across the surface, with green diamond markers on the right panel adding symbol complexity.","The layout is reasonably organized as a side-by-side comparison, though the wireframe and scattered markers on the right panel create moderate visual clutter.","Understanding the 3D geometry, the meaning of color gradients, and the significance of the marker placements requires moderate cognitive effort, especially for comparing the two scenarios.","This visualization shows two 3D cardiac surface models side by side comparing perfusion and motion scenarios in Case 4. The surfaces are color-coded with a warm gradient and overlaid with wireframe meshes, with the motion scenario additionally displaying green diamond markers across the surface. The specialized medical domain and 3D rendering contribute to moderate overall visual complexity."
v487_n7406_7_f3.png,"The visualization combines a continuous color field, contour lines, and vector arrows (displacement field), creating a high density of overlapping data representations.","Multiple encoding channels are used simultaneously: color heatmap for displacement magnitude, contour lines for iso-levels, and arrow vectors for displacement direction and magnitude.","Text is relatively minimal with axis labels (z in cm), a colorbar label (Δz in mm), tick marks, and a 'Rod' label, keeping annotation complexity low.","Understanding requires knowledge of geomechanics or material deformation, with displacement fields around a penetrating rod requiring domain-specific interpretation.","A full rainbow colorbar spanning red through purple represents displacement values, combined with black arrows and contour lines creating rich symbolic layering.","The overlapping contour lines, dense arrow field, and multi-color background create moderate visual clutter, especially in regions where all three elements overlap densely.","Interpreting three simultaneous data representations (color, contours, vectors) in a single spatial domain requires significant cognitive effort to parse and integrate.",
SciVisJ.1236.10.png,"The image contains a large 6×9 grid of small heatmap matrices, each densely packed with pixel-level data, resulting in very high information density.","Each cell uses a matrix/heatmap encoding with color intensity mapping, and the grid-of-grids layout adds structural complexity to the spatial arrangement.","Text is limited to column headers at the top labeling each pair (E5U/E5U, E5W/E5W, etc.), with no axis labels, legends, or annotations within the matrices.","The labels suggest specialized domain knowledge (possibly genomic or experimental conditions like E5U, E1W, E5W, E1U), and understanding cross-comparison matrices requires domain familiarity.","A diverging purple-green color scheme is used consistently across all matrices, with varying intensities representing different values, but no additional symbols or textures.","The sheer number of small matrices (54 total) creates a visually dense and somewhat overwhelming grid layout, though the regular arrangement provides some order.","Interpreting pairwise comparison patterns across 54 matrices, identifying diagonal vs off-diagonal patterns, and comparing across conditions demands significant cognitive effort.","This visualization displays a 6×9 grid of small correlation or comparison heatmaps using a purple-green diverging color scheme, comparing experimental conditions labeled E5U, E5W, E1U, and E1W. The high number of individual matrices and dense pixel-level data create substantial visual complexity, though the regular grid layout and consistent color encoding provide some structural coherence."
SciVisJ.2926.1.png,"The image is packed with dense volumetric data showing swirling structures, vector fields (arrows/glyphs), and numerous small-scale features across the entire rendered region.","Multiple encoding channels are used simultaneously—3D volume rendering, color-mapped surfaces, vector glyphs/arrows in varying orientations and sizes, and particle-like elements creating a highly complex visual encoding scheme.","Only a single label '(a)' appears in the bottom-left corner, making text annotation essentially negligible.","This appears to be a scientific visualization of a vortical/turbulent flow or astrophysical simulation (possibly an accretion disk or galaxy merger), requiring significant domain expertise in computational physics or astrophysics to interpret.","Rich color palette spanning blue, red, orange, yellow, and green is used to encode different variables, with vector glyphs adding symbolic complexity across the 3D scene.","The visualization is visually dense and somewhat chaotic with overlapping structures, swirling patterns, and numerous small elements competing for attention, though the dark background provides some contrast.","Interpreting this visualization requires understanding 3D spatial relationships, multiple overlaid variables, and domain-specific phenomena, making cognitive processing quite demanding.","This is a highly complex 3D scientific visualization, likely depicting a vortical or astrophysical simulation with volume rendering, color-mapped surfaces, and vector field glyphs. The image is visually dense and information-rich with minimal text, requiring significant domain knowledge to interpret. The multiple simultaneous visual encodings and swirling 3D structures create substantial cognitive demand."
VisJ.1197.5(3).png,"The image contains an extremely dense collection of hundreds of 3D rectangular blocks packed tightly together, creating significant visual clutter and information overload.","The visualization uses 3D extruded blocks on a curved/spherical surface with perspective projection, creating complex spatial encoding through height, position, and orientation of each element.","There is virtually no text, labels, titles, or annotations visible anywhere in the image.","This appears to be a 3D urban/geospatial visualization (possibly building footprints extruded to heights) or an abstract data landscape, requiring some domain familiarity to interpret.","The color palette is limited to grayscale (black, white, and shades of gray), with no additional symbols or textures beyond the 3D shading of blocks.","The layout is extremely cluttered with overlapping blocks, dense packing, and minimal negative space, making it visually overwhelming and chaotic.","The dense, overlapping 3D blocks with no labels or legend make it very difficult to extract meaningful patterns or individual data points, requiring significant cognitive effort.","This is a highly dense 3D visualization showing hundreds of extruded rectangular blocks, likely representing urban building data or an abstract data landscape. Despite using only grayscale coloring and no text annotations, the extreme density, 3D perspective, and overlapping elements create substantial visual complexity and cognitive demand."
InfoVisJ.2699.12.png,"The network graph contains hundreds of nodes and edges densely packed across the entire canvas, with many overlapping connections creating visual clutter.","The visualization uses node-link graph encoding with varying node sizes (indicating degree or importance) and edges of consistent style, spread across a 2D force-directed-like layout.","Only four red annotations (SG1, SG2, SG3, SG4) with circled highlights are present, making the text content minimal.","This is a network/graph visualization requiring understanding of graph theory concepts like subgraphs, clusters, and connectivity patterns, which demands moderate domain expertise.","The color palette is limited—purple/blue nodes with pink halos, black edges, and red annotation circles—resulting in moderate but not highly complex color usage.","The layout is quite cluttered with many overlapping edges and densely packed node clusters, making it visually overwhelming in the central region especially.","Interpreting the relationships, identifying clusters, and understanding the significance of the highlighted subgraphs requires significant cognitive effort due to the dense interconnections.","This is a dense network graph visualization showing numerous interconnected nodes and edges with four highlighted subgroups (SG1-SG4). The high node and edge count creates substantial visual clutter, particularly in the central region, though the limited color palette and minimal text keep some aspects simple. Overall complexity is driven primarily by the data density and the difficulty of tracing relationships in such a crowded graph."
SciVisJ.980.12(2).png,"The visualization contains numerous streamlines, arrows, and 3D isosurfaces densely packed within a rectangular domain, creating substantial visual information density.","Multiple encoding types are used simultaneously: 3D streamlines, vector arrows of varying sizes and orientations, colored isosurfaces/ellipsoids, and a transparent bounding box, creating high encoding complexity.","There is virtually no text annotation visible in the image—no labels, titles, axes, or legends are present.","This appears to be a computational fluid dynamics or electromagnetic field visualization in 3D space showing vortex structures, requiring significant domain expertise to interpret.","Multiple colors (red, blue, yellow, green, dark green, white/gray) are used for different flow features, arrows, and isosurfaces, with varied symbol shapes including arrows, streamlines, and ellipsoidal surfaces.","The overlapping streamlines, scattered arrows, and multiple vortex centers create a visually cluttered scene, though the four vortex structures provide some repeating spatial organization.","Interpreting the 3D flow field with multiple overlapping visual elements, understanding the relationship between streamlines and isosurfaces, and parsing the directional information requires substantial cognitive effort.","This is a 3D scientific visualization showing what appears to be a fluid dynamics or field simulation with four vortex structures inside a rectangular domain. The scene combines streamlines, directional arrows, and colored isosurfaces with no text annotations, creating a visually complex image that requires domain expertise to interpret. The absence of labels increases ambiguity while the dense overlapping elements contribute to high perceptual complexity."
InfoVisJ.2402.12(1).png,"The image contains an extremely dense treemap-like visualization with hundreds of rectangular elements packed tightly together, especially in the lower portions where elements become very small.","The visualization uses nested rectangles of varying sizes in a treemap layout, with size encoding some quantitative dimension and color encoding categorical or value distinctions.","There appear to be small text labels within many rectangles, but they are largely illegible at this resolution, contributing moderate text density that is difficult to read.","This appears to be a treemap visualization likely representing hierarchical data such as file systems, market data, or organizational structures, requiring some domain familiarity to interpret.","The color palette is limited to grays, greens, and cyan/turquoise, but the variation in shading and the strategic use of color highlights creates moderate symbolic complexity.","The layout is very dense and crowded, with elements becoming increasingly packed and small toward the bottom, creating a sense of visual overwhelm and disorder.","The sheer number of elements, varying sizes, and dense packing make it cognitively demanding to parse individual items or understand the overall data structure.","This is a highly dense treemap visualization with hundreds of nested rectangles in gray, green, and cyan tones. The upper portion contains larger, more distinguishable elements while the lower portion becomes extremely compressed with tiny, barely discernible cells, creating significant visual complexity and cognitive load."
VisC.503.6.png,"Only three bars with error bars are displayed, representing minimal data content.",Simple bar chart with hatched fill pattern and error bars — straightforward encoding with no complex spatial layout.,"Minimal text: a title, y-axis label, three x-axis category labels, and y-axis tick values.","Requires some domain knowledge about surface orientation tasks and visualization techniques (glyphs, color mapping), but the chart itself is a standard bar chart.",Monochrome hatched bars with red error bars — very limited color palette and symbol usage.,"Clean, well-organized layout with ample whitespace and no clutter or overlap.",Very easy to interpret — a simple comparison of three conditions with clear values and error bars.,"This is a simple bar chart comparing percent correct across three visualization conditions for a surface orientation task. With only three hatched bars, red error bars, and minimal text, it presents very low visual complexity. The layout is clean and the information is immediately interpretable."
whoQ50_2.png,"The chart displays about 20 countries with single percentage values each, which is a moderate amount of data but not overwhelming.","Simple bar chart with a single encoding (bar height for percentage change), making it straightforward to interpret.","There are numerous rotated country labels on the x-axis, some quite long (e.g., 'Bolivia (Plurinational State of)' and 'Venezuela (Bolivarian Republic of)'), plus a title and y-axis percentage labels.","The concept of percentage change in case incidence is relatively accessible, requiring only basic epidemiological understanding.","A single brown/orange color is used for all bars with no additional symbols, textures, or color variations.","The chart is well-organized with bars sorted from most negative to most positive change, creating a clean waterfall-like pattern with good spacing.","The sorted bar chart is easy to read and compare across countries, with a clear baseline at 0% making interpretation straightforward.","This is a clean, well-organized bar chart showing percentage change in disease case incidence across Latin American and Caribbean countries from 2000 to 2011. The single-color sorted bar design makes it easy to interpret, with the main complexity coming from the numerous rotated country labels. Overall visual complexity is low to moderate."
whoJ44.png,Only two line series over 11 time points with minimal data density and no overlap or clutter.,Simple dual-line chart with straightforward positional encoding on a standard Cartesian grid.,"Includes a title, subtitle, axis labels, legend, source citation, and two endpoint value annotations, providing moderate text content.","Requires basic understanding of ODA (Official Development Assistance) and budget support concepts, but the chart structure is standard 2D.",Uses only two colors (dark blue and light blue) for the two lines with no additional symbols or textures.,Very clean and well-organized layout with clear separation between the two lines and ample white space.,The chart is easy to interpret with a clear message conveyed by the title and simple visual comparison of two trends.,"This is a clean, simple dual-line chart showing Total ODA versus General Budget Support from 2000 to 2010. The minimal data, two-color scheme, and well-organized layout make it very easy to interpret with low visual complexity."
InfoVisC.211.18.png,"A simple bar chart with approximately 18 bars showing a clear right-skewed distribution, with moderate data points but no overlap or clutter.","Uses only basic rectangular bars with height encoding a single variable, representing a straightforward histogram/bar chart layout.",Minimal text with partially legible axis labels ('Percentage of total messages' and 'Size of thread') and sparse tick marks; labels are blurry but few in number.,A basic 2D bar chart requiring no specialized domain knowledge; the concept of thread sizes and message percentages is straightforward.,"Monochrome black bars on a white background with no color variety, symbols, or textures.",Clean and well-organized layout with evenly spaced bars and a clear decreasing pattern; no visual clutter.,Very easy to interpret — a simple declining distribution that communicates its message immediately with minimal cognitive effort.,"This is a simple monochrome bar chart showing a right-skewed distribution of thread sizes versus percentage of total messages. The visualization is clean, minimal, and easy to interpret with low complexity across all dimensions."
wsj340.png,"The chart displays only 6 categories in a simple pie chart with percentage values, representing minimal data density.",A standard donut/pie chart with straightforward proportional encoding; the inner circle adds slight complexity but the form is very common.,"There is a headline, descriptive paragraph, chart subtitle, category labels with percentages on each slice, a center label, and source attribution — moderate text for a simple chart.",The topic of electrical power generation by source is straightforward and requires no specialized domain knowledge to understand.,"Uses a limited palette of about 5 distinct colors (orange, blue, dark blue, yellow, gray) with no additional symbols or textures.","The layout is clean, well-organized, and uncluttered with clear visual hierarchy from title to chart to source.","The visualization is immediately interpretable with direct labels on each slice, requiring minimal cognitive effort.","This is a clean, well-designed infographic-style pie chart showing India's electrical power generation by source. The layout is simple and uncluttered with direct labeling, a clear title, and contextual description. Overall visual complexity is low, typical of a newspaper infographic designed for quick comprehension."
InfoVisC.73.6.png,"The image contains repeated text elements along curved paths with diminishing size, but the actual data content is minimal — just the same text repeated.","The visualization uses curved text paths, varying font sizes to create a perspective/diminishing effect, and red dot markers at endpoints of curves.",The image is dominated by text — 'IEEE Information Visualization 2005' repeated multiple times at different scales along curved baselines.,"This appears to be a demonstration of text-on-path rendering, possibly from a visualization toolkit, requiring modest domain knowledge.","Limited color palette with dark green text, red circular markers, and black curve lines on a white background.","The layout shows some structure with progressively smaller text rows, but the curved text overlaps slightly and the overall arrangement feels moderately cluttered.","The repetitive nature of the text makes it easy to understand the content, though the curved and diminishing text requires some visual effort to parse.","This visualization demonstrates text rendered along curved paths at progressively smaller sizes, creating a perspective effect. It uses a simple color scheme of green text, red endpoint markers, and black curves. The overall complexity is moderate-low, driven primarily by the text density and curved layout rather than data richness."
VisC.167.11.png,"The chart contains approximately 30 stacked bars each with 3 segments, representing a moderate amount of data across normalized isovalues.",Standard stacked bar chart with straightforward vertical encoding of time values; the stacking adds some complexity but is a common and well-understood form.,"The chart has axis labels, tick marks for both axes, and a legend with three entries — standard and not overly dense.","The terms 'normalized isovalue,' 'index search,' 'label regions,' and 'build geometry' suggest a scientific visualization or computational geometry domain, requiring some specialized knowledge.","Three distinct colors (blue, dark red, yellow) are used for the stacked segments, which is a simple and effective color scheme with minimal symbolic complexity.",The layout is clean and well-organized with bars neatly arranged; the peak in the middle creates visual interest but no clutter or overlap issues.,"The stacked bar chart is relatively easy to interpret, with clear color distinctions and a recognizable bell-curve-like distribution pattern across isovalues.","This is a moderately complex stacked bar chart showing time decomposition across three computational phases as a function of normalized isovalue. The chart is well-organized with clear color coding and standard layout, making it relatively straightforward to interpret despite the domain-specific terminology."
economist_daily_chart_153.png,"The stacked area chart displays three categories of weather disasters over 30 years, resulting in moderate data density with overlapping layers but not excessive clutter.","A standard stacked area chart with three layers uses straightforward spatial encoding, though distinguishing between stacked areas requires some effort.","Minimal text with a title, subtitle, legend with three items, axis labels at regular intervals, and a source attribution — all cleanly presented.",The topic of weather-related disasters is broadly accessible and does not require specialized domain knowledge to interpret.,"Three shades of blue/teal are used to distinguish categories, forming a cohesive but somewhat similar color palette that requires careful differentiation.","The layout is clean and well-organized with clear separation of elements, though the jagged peaks of the stacked areas create moderate visual complexity.","Interpreting the individual category contributions within a stacked area chart requires some cognitive effort, but the overall trend is readily apparent.","This is a moderately simple stacked area chart showing global weather-related disasters from 1980 to 2009, broken into three categories. The design is clean with a restrained color palette and minimal annotations, making it relatively easy to interpret. The main complexity comes from distinguishing the three stacked layers and their individual trends over time."
VASTJ.2908.2.png,"The chart displays a matrix of 17 rows × 5 columns with three-level categorical encodings (high/medium/low) for each cell, resulting in substantial data density.","The encoding uses horizontal colored bars within columns to represent categorical levels, which is relatively simple but the matrix layout with many rows adds moderate complexity.","There are 17 row labels, 5 column headers, and a legend with 3 categories, creating a moderate amount of text that requires reading.","Understanding requires familiarity with cognitive science and visualization research concepts like sensemaking, gestalt, distributed cognition, and graph comprehension frameworks.","Only three shades of blue (dark, medium, light) are used against a gray background, making the color scheme relatively simple though distinguishing the three levels requires attention.","The layout is well-organized as a structured grid, but the density of rows and many gray/empty cells mixed with colored bars creates moderate visual clutter.","Interpreting which research topics relate to which theoretical frameworks at what level requires scanning across multiple columns and rows, demanding significant cognitive effort for pattern recognition.","This is a matrix-style chart mapping 17 visualization research topics against 5 cognitive/theoretical frameworks, with three-level categorical color encoding (high/medium/low research focus). The structured grid layout is orderly but the combination of many rows, sparse data in some columns, and domain-specific terminology creates moderate-to-high cognitive demand."
InfoVisJ.1236.13.png,The visualization contains two maps side by side — a choropleth with numerical values across many regions and a grid/tile map equivalent — presenting substantial data density across numerous geographic units.,"Two distinct encoding approaches are used: area-based colored regions with numeric labels (left) and a grid-based square tile representation (right), creating considerable encoding complexity.","Numerical labels are present within each region on the left map but there are no titles, legends, axis labels, or explanatory annotations.","This is a geographic/cartographic visualization of the Netherlands showing provincial-level data, requiring some familiarity with Dutch geography and cartogram concepts.","A wide variety of colors are used — greens, reds, browns, yellows, oranges, blues, and dark olive tones — with many distinct hues making the color scheme quite complex and not immediately intuitive.","The left map is moderately organized but densely packed with regions and numbers, while the right grid map adds visual density; together they create a somewhat cluttered appearance.","Interpreting the relationship between the two map representations, understanding the color coding without a legend, and parsing the numerous values requires considerable cognitive effort.","This visualization presents two side-by-side representations of the Netherlands: a traditional choropleth map with numeric values per province and a grid-tile cartogram equivalent. The wide color palette, dual encoding schemes, and lack of a legend create moderate-to-high visual complexity requiring effort to interpret the data and compare the two representations."
