imageName,imageURL,VisType,NormalizedVC,vc_tier,Topics,SubTopics,rawUserComments,humanCuratedPhrases,v0_topics,v0_explanation
SciVisJ.980.7(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.980.7(2).png,Glyph,0.65,mid,Immediacy / Cognitive Load,Interpretive Difficulty,it is clearer what I can learn.,easy to interpret/read/understand,"Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","This visualization requires specialized domain knowledge (likely quantum mechanics or wave optics) to interpret its polar coordinate structure, ellipses, and star-shaped glyphs. A rich variety of colors encodes angular position (γ values) while symbol shapes (circles, ellipses, multi-lobed forms) encode additional dimensions. The combination of abstract encoding and domain-specific notation creates high cognitive load for interpretation."
VisJ.1197.5(3).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisJ.1197.5(3).png,Glyph,0.76,high,"Data Density / Image Clutter; Visual Encoding Clarity; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Information Volume; Element Quantity; Graphical Forms & Primitives; Domain Familiarity; Symbols & Texture; Interpretive Difficulty,"There are a lot of layers of shapes/details. This complexity of texture is stimulating. Quantity of items in the image.; so many cube -> difficult to visualize; the image on the right I see no context whatsoever.; The one on the right has 3 dimensions, so it looks like it's showing more data and more complexity.",fine/layered details; more charts/points/lines/shapes/elements; shapes; no context or reference; visually stimulating  texture/colors; hard to see/tell/visualize,Data Density / Image Clutter; Schema; Aesthetics Uncertainty,"The image is densely packed with hundreds of 3D building-like rectangular forms, creating extreme visual clutter. Interpreting this requires domain knowledge of 3D urban mapping or spatial data visualization, adding schema complexity. The chaotic, overlapping arrangement of elements with varying shadows creates a disordered, visually dense layout that is difficult to parse."
wsj124.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj124.png,Point,0.41,low,Immediacy / Cognitive Load,Interpretive Difficulty,You can clearly see the data that is being expressed.,easy to interpret/read/understand,"Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","The chart relies heavily on text labels (study names, years, annotations, axis labels) to convey meaning, making text legibility central. Black-filled vs. white-filled circles encode a key categorical distinction, requiring attention to symbol details. Overall, interpreting the dot positions alongside the racial and temporal context demands moderate cognitive effort, especially with the missing data annotation."
InfoVisJ.669.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.669.4.png,Point,0.59,mid,Data Density / Image Clutter; Semantics / Text Legibility,Element Quantity; Annotations & Labels,More data points on second image. Labelled axis; #NAME?,more charts/points/lines/shapes/elements; labeled axis,Data Density / Image Clutter; Aesthetics Uncertainty; Visual Encoding Clarity,"The scatter plot contains hundreds of overlapping data points, creating significant clutter and occlusion especially in the lower-right region. This dense overplotting makes the layout appear disordered and visually cluttered, increasing aesthetic uncertainty. The x-axis lacks labels entirely, reducing encoding clarity and making it difficult to interpret the full meaning of the spatial distribution."
InfoVisC.157.1.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.157.1.png,Point,0.77,high,Data Density / Image Clutter; Semantics / Text Legibility; Immediacy / Cognitive Load,Element Quantity; Annotations & Labels; Typography & Readability; Interpretive Difficulty,"too many subplots, small fonts, lack of describing information of the elements; the image on the right I find that I will unlikely be able to interpret; It wasn't clear as to what is going on in the chart.",too many subplots; lack of legend; word rotation/small font size; hard to interpret/read/understand,Data Density / Image Clutter; Schema; Semantics / Text Legibility,"The SPLOM contains many dense scatterplot panels with heavily overlapping points, creating significant visual clutter. Understanding a scatter plot matrix requires domain familiarity with pairwise relationships and multivariate data structures. Variable labels (sex, length, diameter, etc.) serve as the primary navigational text, making their legibility critical to interpreting the matrix layout."
VASTJ.1720.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1720.4.png,Bar,0.29,low,Schema; Immediacy / Cognitive Load,Domain Familiarity; Interpretive Difficulty,The one on the right is a simple bar graph. I could gather a little bit what it meant.,"a specific technique, e.g., bar, pie, circle; easy to interpret/read/understand","Color, Symbol, and Texture Details; Visual Encoding Clarity; Semantics / Text Legibility","The use of a single red bar among blue bars is the most salient complexity feature, drawing attention to a specific data point. The bar chart encoding is straightforward but the x-axis uses non-uniform numeric intervals, adding interpretive complexity. Text labels on both axes are minimal but the irregular scale values require careful reading."
wsj28.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj28.png,Bar,0.48,mid,"Semantics / Text Legibility; Color, Symbol, and Texture Details",Text Volume & Content; Color Palette & Contrast,Lots of writing; Prominent colors,amount of words/context/numbers; salient colors,Semantics / Text Legibility; Data Density / Image Clutter; Immediacy / Cognitive Load,"The visualization is dense with numerous text labels, annotations, and dollar values crowded above and below bars, making legibility challenging. Multiple overlapping callouts and small font sizes contribute to clutter. Integrating proportional bar widths with categorical tax provisions and bracketed groupings increases cognitive load for the viewer."
InfoVisJ.2639.8.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2639.8.png,Bar,0.71,high,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Color Palette & Contrast; Interpretive Difficulty; Processing Time & Effort; Semantic Clarity,The color bar seems more complex and takes me longer to interpret.,color variety/arrangement/distribution; colored bars/charts; more complicated; more to read/analyze/understand; take longer to interpret; unclear meaning/confusing,"Semantics / Text Legibility; Color, Symbol, and Texture Details; Schema","The visualization contains dense textual content in the table (panel b) with small, detailed descriptions requiring careful reading. The color-coded strip (panel a) and bar chart (panel c) use multiple distinct colors to encode categorical data, demanding color interpretation. Understanding the overall layout—combining a color timeline, a lookup table, and a horizontal bar chart—requires domain familiarity with interaction taxonomies, adding schema complexity."
InfoVisJ.691.6(3).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.691.6(3).png,Text,0.47,low,Data Density / Image Clutter; Visual Encoding Clarity,Information Volume; Graphical Forms & Primitives,"The colour of the images, the right one is more simplistic. There are none (pictures) on the right.",little data/info; simple visual elements,"Semantics / Text Legibility; Color, Symbol, and Texture Details; Data Density / Image Clutter","This word cloud is entirely text-based, making text legibility and density the primary complexity factor. Multiple colors (dark navy, teal, sage green) encode different word frequencies or categories, adding color complexity. The dense, overlapping arrangement of numerous terms at varying font sizes creates visual clutter and high data density."
InfoVisJ.2556.8.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2556.8.png,Text,0.61,mid,Data Density / Image Clutter; Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,Visual Clutter & Overlap; Annotations & Labels; Domain Familiarity; Interpretive Difficulty,I think the second image is not that complex because u can easily understand it; The one on the right seems like a simple map; many writings and squeezed writings.; the left one seemed more complex.,"cluttered labels/annotations; title/axis/label/descriptions; domain-specific concepts (e.g., chemical, biology, map); easy to interpret/read/understand",Semantics / Text Legibility; Data Density / Image Clutter; Aesthetics Uncertainty,"This map encodes all geographic features entirely as repeated street name text, making legibility extremely challenging. The sheer density of overlapping, rotated text labels creates significant clutter and visual noise. The unconventional typography-as-geometry approach produces a disordered, cluttered layout that is difficult to parse at a glance."
VASTC.51.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.51.10.png,Text,0.78,high,Data Density / Image Clutter; Visual Encoding Clarity,Information Volume; Graphical Forms & Primitives,contains a lot of information the size of the graphics,much/more data/info/info spread; element sizes,Immediacy / Cognitive Load; Semantics / Text Legibility; Schema,"This complex narrative flow visualization requires significant cognitive effort to decode the relationships between timeline, entities, and branching paths. Numerous text labels scattered throughout at varying sizes and orientations challenge legibility. The chart uses a specialized stream/storyline graph format that requires domain knowledge to interpret how topics like 'America,' 'Africa,' and 'Australia' evolve over time."
whoJ44.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoJ44.png,Line,0.31,low,Data Density / Image Clutter; Visual Encoding Clarity,Information Volume; Graphical Forms & Primitives,data shown as lines; contains less information,little data/info; lines,Semantics / Text Legibility; Visual Encoding Clarity; Immediacy / Cognitive Load,"The chart includes a bold title, figure caption, axis labels, inline data annotations, legend, and source note, making text density notable. Two lines with distinct colors and scales require careful encoding interpretation, especially given the large gap between series. Overall, the chart is relatively easy to read, but the combination of text elements and dual-series comparison adds moderate cognitive load."
v483_n7390_1_f2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/v483_n7390_1_f2.png,Line,0.5,mid,"Color, Symbol, and Texture Details",Color Palette & Contrast,,color variety/arrangement/distribution,Schema; Visual Encoding Clarity; Semantics / Text Legibility,This spectroscopy plot requires domain knowledge to interpret surface vs. bulk resonance peaks and arbitrary unit axes. Three overlapping spectral curves with dashed reference lines create encoding complexity. Annotations with arrows and labeled series (i–iii) add textual elements critical for understanding the scientific context.
InfoVisC.8.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.8.7.png,Line,0.72,high,Data Density / Image Clutter,Information Volume; Visual Clutter & Overlap,There were a lot of intersections in the Circle  suggesting that there is a high amount of data to be extracted,much/more data/info/info spread; overlapping shapes/colors/lines,Schema; Data Density / Image Clutter; Semantics / Text Legibility,"This polar stellar altitude chart requires specialized astronomical knowledge to interpret, making schema complexity paramount. The visualization is extremely dense with concentric rings, radial lines, and multiple overlapping colored curves creating significant clutter. Numerous small text labels for star names, azimuth values, cardinal directions, and technical annotations further challenge legibility."
SciVisJ.796.18.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.796.18.png,Cont.-ColorPatn,0.51,low,Semantics / Text Legibility,Annotations & Labels,1. Unlabeled legend/data. 2. Legend too close to visualizations,lack of/not enough axis labels/legend/annotations/context; too much legend,"Color, Symbol, and Texture Details; Schema; Immediacy / Cognitive Load","The visualization uses a continuous color gradient (dark blue to yellow-green) to encode scalar field values, making color the primary complexity driver. Interpreting a computational fluid dynamics or stress/heat map requires specialized domain knowledge, raising schema complexity. Together, these factors increase cognitive load, as viewers must decode both the spatial distribution and the quantitative legend to extract meaningful insight."
VisC.433.1.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.433.1.png,Cont.-ColorPatn,0.63,mid,"Data Density / Image Clutter; Color, Symbol, and Texture Details",Visual Clutter & Overlap; Information Volume; Color Palette & Contrast; Element Quantity,-more colours -more pixels -takes up more space -more informations,more regions/space; much/more data/info/info spread; color variety/arrangement/distribution; more pixels,"Color, Symbol, and Texture Details; Schema; Immediacy / Cognitive Load","The heatmap relies entirely on a continuous rainbow color scale (logarithmic power) to encode data values, making color the primary complexity driver. Interpreting frequency-state relationships on a logarithmic scale requires domain knowledge of spectral analysis. Together, the dense color gradients and specialized encoding demand significant cognitive effort to extract meaningful patterns."
SciVisJ.259.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.259.7.png,Cont.-ColorPatn,0.75,high,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details",Element Quantity; Information Volume; Graphical Forms & Primitives; Color Palette & Contrast,"details, quantities, colors; several elements that make you go back and evaluate",more charts/points/lines/shapes/elements; more detailed/things; several elements; unclear colormaps,"Color, Symbol, and Texture Details; Schema; Data Density / Image Clutter","The visualization uses a dark background with a sequential color scale (black to yellow-green) encoding distance values, plus overlaid contour lines and annotated circular insets, making color encoding central to interpretation. It requires domain knowledge (likely meteorological or geophysical data) to understand the 'primary banners' and spatial patterns. The dense overlapping contours, inset zoom regions, and richly textured underlying data field contribute significant visual clutter."
