imageName,imageURL,VisType,NormalizedVC,ConfusingSource,rawUserComments,UniqueTopics,CuratedUniqueTopics,CuratePhrasesMore/LessComplex,humanCuratedPhrases,originalSentiments,UniqueSubTopics,allStems,visual_objects,visual_attributes,visual_predicates,unmatched_stems,oar_B_synset_objects
InfoVisJ.2251.3.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2251.3.png,Schematic,0.28,lack of information to derive meaning.,Harder to understand; The one on the left does not give much information. I had no clue what it meant.,Immediacy / Cognitive Load,,Harder to understand; does not give much information.; I had no clue what it meant.,more difficult to interpret/read/understand/differentiate; unclear meaning/confusing,(+); (-); (+),Interpretive Difficulty; Semantic Clarity,hard; understand; information; clue; mean,information (cognitive_element),hard (readability),understand (cognitive); mean (semantic),"clue (rare, 2 images)",
whoQ58_4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoQ58_4.png,Area,0.29,,straight to the point,Immediacy / Cognitive Load,,straight to the point,intuitive,(-),Interpretive Difficulty,straight; point,the point (quantity_reference); point (mark),straight (structure),,,visualization (whole)
VASTJ.1720.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1720.4.png,Bar,0.29,,The one on the right is a simple bar graph. I could gather a little bit what it meant.,Schema; Immediacy / Cognitive Load,,simple bar graph; could gather what it meant,"a specific technique, e.g., bar, pie, circle; easy to interpret/read/understand",(-); (-),Domain Familiarity; Interpretive Difficulty,simple; bar; graph; gather; mean,bar graph (chart_type); bar (mark); graph (chart_type),simple (complexity),mean (semantic),"gather (rare, 1 image)",visualization (whole); bar (mark)
VisC.527.1.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.527.1.png,Point,0.29,,"When I look at the image of the left, its easier. Dots in more or less a line, axis, few items.",Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Immediacy / Cognitive Load,,few items; Dots in more or less a line; axis; its easier,little data/info; shape increase/decrease point; title/axis/label/descriptions; easier to interpret/read/understand,(-); (-); (+) (-); (-),Information Volume; Graphical Forms & Primitives; Annotations & Labels; Interpretive Difficulty,item; dot; line; axis; easy,item (domain_object); item (quantity_reference); dot (mark); line (mark); axis (chart_component),easy (readability),,,point (mark); axes (furniture)
InfoVisC.211.18.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.211.18.png,Bar,0.3,,Bar graph is incredibly simple,Schema; Immediacy / Cognitive Load,,Bar graph; incredibly simple,"a specific technique, e.g., bar, pie, circle; simple to interpret/read/understand",(-); (-),Domain Familiarity; Interpretive Difficulty,bar; graph; incredibly; simple,bar graph (chart_type); bar (mark); graph (chart_type),simple (complexity),,"incredibly (rare, 1 image)",visualization (whole)
VASTJ.432.6.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.432.6.png,Bar,0.3,,both is understandable,Immediacy / Cognitive Load,,understandable,easy to interpret/read/understand,(+) (-),Interpretive Difficulty,understandable,,understandable (readability),,,visualization (whole)
whoQ48_6.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoQ48_6.png,Line,0.3,,the graphic is pretty self explanatory,Immediacy / Cognitive Load,,self explanatory,easy to interpret/read/understand,(-),Interpretive Difficulty,self; explanatory,,,,self (unclustered); explanatory (unclustered),visualization (whole)
InfoVisC.65.8.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.65.8.png,Bar,0.31,,color dimension (one versus two)ï¼› numbers is more complex than dot; The least complex has clearer colours and is simple to grasp the ideas.,"Visual Encoding Clarity; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,clearer colors; simple to grasp the ideas; color dimension (one versus two); numbers more complex than dot,shapes and lines; clearer coloring; color dimension; simple to interpret/read/understand,(-); (-); (+); (+),Graphical Forms & Primitives; Color Palette & Contrast; Interpretive Difficulty,clear; color; simple; grasp; idea; dimension; number; complex; dot,color (perceptual_element); idea (cognitive_element); dimension (layout_component); dimension (quantity_reference); number (quantity_reference); dot (mark),clear (readability); simple (complexity); dimension (structure); complex (complexity),,"grasp (rare, 1 image)",visualization (whole); color (property); label (text); point (mark)
VisC.297.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.297.4.png,Grid,0.31,,black and white; only one shape (a vertical live) and multiple copies of it. They are also on the same horizontal axis,"Data Density / Image Clutter; Visual Encoding Clarity; Schema; Color, Symbol, and Texture Details",,multiple copies; on the same axis; one shape; black and white,multiple features/elements/graphs; shape; value and graphic alignment; black-to-white/color gradient,(-); (-); (-); (+) (-),Element Quantity; Graphical Forms & Primitives; Dimensionality & Structure; Color Palette & Contrast,multiple; copy; axis; shape; black; white,axis (chart_component); shape (mark); shape (perceptual_element),multiple (structure); black (color); white (color),shape (evaluative),"copy (rare, 1 image)",shape (mark); axes (furniture); data (content); color (property)
treasuryG07_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/treasuryG07_2.png,Line,0.31,,"The more straightforward lines in the picture (easier to read and discern).; lines, graph",Visual Encoding Clarity; Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,,straightforward lines; easier to read; easier to read and discern; lines; graph,lines; straight lines; easier to read; a specific technique; easier to interpret/read/understand,(-); (-); (-); (+) (-); (+),Graphical Forms & Primitives; Typography & Readability; Domain Familiarity; Interpretive Difficulty,straightforward; line; easy; read; discern; graph,line (mark); graph (chart_type),straightforward (complexity); easy (readability),read (cognitive); discern (perceptual),,visualization (whole); line (mark); axes (furniture)
whoJ44.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoJ44.png,Line,0.31,,data shown as lines; contains less information,Data Density / Image Clutter; Visual Encoding Clarity,,less information; lines,little data/info; lines,(-); (+) (-),Information Volume; Graphical Forms & Primitives,information; line,less information (quantity_reference); information (cognitive_element); line (mark),less information (information_quality),,,visualization (whole); line (mark)
SciVisJ.980.9.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.980.9.png,Glyph,0.32,,"The other image is easier to understand as the figures are displayed along with the countries, so with just a glance everything is summarized. - small font for the text in the description - the color aspect (grey map on dark background); The 2x2 matrix patterns are clear and the symbols (to the right) are more easily recognizable.","Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,matrix patterns; symbols; easily recognizable,a specific technique; symbols; easy to identify/extract/find features,(-); (-); (-),Domain Familiarity; Symbols & Texture; Interpretive Difficulty,matrix; pattern; symbol; easily; recognizable,pattern (layout_component); pattern (quantity_reference); symbol (annotation); symbol (quantity_reference),easily (readability); recognizable (familiarity),,matrix (unclustered),grid (structure); symbol (mark)
InfoVisJ.1084.2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1084.2.png,Bar,0.33,,I thought it provided the information in question in a more unique way.,Schema,,unique,unique,(+),Domain Familiarity,unique,,unique (familiarity),,,visualization (whole)
InfoVisC.211.3(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.211.3(2).png,Schematic,0.33,,Simplicity,Immediacy / Cognitive Load,,Simplicity,simple to interpret/read/understand,(-),Interpretive Difficulty,simplicity,,simplicity (complexity),,,
InfoVisJ.621.2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.621.2.png,Text,0.33,,whilst the other one only has 2 (title and link).,Data Density / Image Clutter; Semantics / Text Legibility,,only has 2; link; title,many points/lines/shapes/elements; -; title/axis/label/descriptions,(-); (-); (-),Element Quantity; Annotations & Labels,link; title,title (chart_component),,,link (unclustered),visualization (whole); link (structure); title (text)
VisJ.1421.5(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisJ.1421.5(2).png,Glyph,0.34,,For me is more complex because it has no legends - I cannot understand it,Semantics / Text Legibility; Immediacy / Cognitive Load,,no legends; cannot understand,lack of/not enough axis labels/legend/annotations/context; not interpretable/readable/understandable,(+); (+),Annotations & Labels; Interpretive Difficulty,legend; understand,legend (chart_component),,legend (evaluative); understand (cognitive),,visualization (whole); legend (furniture)
VASTJ.1139.3(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1139.3(2).png,Node-link,0.34,,The image on the left only has a few lines; The left one has less elements; clearer : there is a start and end that are easy to identify (you just have to follow the lines). It seems that there is less information (elements) to process in the second picture.; Simple colored dots and lines on a grid; structured and labeled plot; contains curves and different points but follows a discernible pattern; flat with two-dimensional geometric shapes.,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,less information (elements); less information to process; 2d geometric shapes; curves and different points; dots and lines on a grid; structured and labeled; follows a discernible pattern; Simple colored; less elements; a few lines,few points/lines/shapes/elements; little data/info; curves and shapes; shape variety; shapes and lines; title/axis/label/descriptions; familiar representation; lack of color contrast / hard to distinguish colors; easy to interpret/read/understand,(-); (-); (-); (-); (-); (-); (-); (-); (-); (-),Element Quantity; Information Volume; Graphical Forms & Primitives; Annotations & Labels; Domain Familiarity; Color Palette & Contrast; Interpretive Difficulty,information; element; process; geometric; shape; curve; different; point; dot; line; grid; structure; label; follow; discernible; pattern; simple; color,less information (quantity_reference); information (cognitive_element); element (domain_object); process (quantity_reference); shape (mark); shape (perceptual_element); point (mark); dot (mark); line (mark); grid (chart_component); grid (layout_component); structure (layout_component); label (chart_component); pattern (layout_component); pattern (quantity_reference); color (perceptual_element),less information (information_quality); different (structure); discernible (readability); discernible (information_quality); simple (complexity),shape (evaluative); structure (structural); label (semantic); follow (perceptual),"geometric (rare, 1 image); curve (unclustered)",grid (structure); line (mark); point (mark); shape (mark); label (text); color (property)
VisC.375.9(3).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.375.9(3).png,Node-link,0.34,,The image on the right has nodes that are clearly connected with lines.,"Visual Encoding Clarity; Color, Symbol, and Texture Details; Aesthetics Uncertainty",,clear connection; lines; nodes,clear connection; lines; nodes,(-); (+) (-); (-),Visual Disorganization; Graphical Forms & Primitives; Symbols & Texture,clear; connection; line; node,connection (quantity_reference); line (mark),clear (readability),,"node (rare, 1 image)",line (mark); node (mark)
wsj135.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj135.png,Bar,0.35,,"Left one is just a time scale with 2 data sets in same scale, diferent colors and aligment makes it easy to understand.; The other image is more easier to read and understand","Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,alignment; time scale; 2 data sets; different colors; easy to understand,much/more data/info/info spread; scale difference; shape arrangement; color variety/arrangement/distribution; easier to interpret/read/understand; easy to interpret/read/understand,?; (-); (-); (+) (-); (+) (-),"Information Volume; Position, Scale & Organization; Graphical Forms & Primitives; Color Palette & Contrast; Interpretive Difficulty",alignment; time; scale; data; set; different; color; easy; understand,scale (chart_component); scale (quantity_reference); data (data_element); set (domain_object); set (quantity_reference); color (perceptual_element),time (temporal); different (structure); easy (readability),understand (cognitive),alignment (unclustered),visualization (whole); axes (furniture); data (content); color (property)
VASTC.51.6.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.51.6.png,Bar,0.35,,Few information; it has no meaning; colors have no meaning; numbers have no meaning,Semantics / Text Legibility; Immediacy / Cognitive Load,,numbers have no meaning; colors have no meaning,lack of/not enough axis labels/legend/annotations/context; unclear meaning/confusing,(+); (+),Annotations & Labels; Semantic Clarity,number; meaning; color,number (quantity_reference); meaning (cognitive_element); color (perceptual_element),meaning (cognitive),,,number (content); color (property)
InfoVisJ.2251.3(3).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2251.3(3).png,Glyph,0.35,lack of information to derive meaning.,I simply don't understand what it represent; The other image is just a few lines joined,Data Density / Image Clutter; Immediacy / Cognitive Load,,a few lines joined; don't understand,few points/lines/shapes/elements; not interpretable/readable/understandable,(-); (+),Element Quantity; Interpretive Difficulty,line; join; understand,line (mark),,understand (cognitive),"join (rare, 1 image)",line (mark); visualization (whole)
wsj340.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj340.png,Bar,0.36,,"The image is a chart with a title, description, labels and coloured segments, therefore it doesn't need to do as much visually.; 1. Variety and Density of Elements, 2.Level of Detail 3. Depth and Dimensionality and 4.Interconnectedness of Elements.","Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,description; labels; title; colored segments; chart; doesn't need to do as much visually,"description; title/axis/label/descriptions; a specific technique, e.g., bar, pie, circle; good color contrast/separation/segmentation; easy to interpret/read/understand",(-); (+) (-); (-); (-); (-); (-),Typography & Readability; Annotations & Labels; Domain Familiarity; Color Palette & Contrast; Interpretive Difficulty,description; label; title; colored; segment; chart; need; visually,description (annotation); description (quantity_reference); label (chart_component); title (chart_component); chart (chart_type),colored (color),label (semantic); need (evaluative),"segment (rare, 1 image); visually (in vocab, excluded)",visualization (whole); title (text); label (text); color_segment (mark); description (text)
VASTJ.412.3.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.412.3.png,Bar,0.36,,Both of them are easy to understand.; only has two colors,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,easy to understand; only has two colors,two colors; easy to interpret/read/understand,(+) (-); (-),Color Palette & Contrast; Interpretive Difficulty,easy; understand; color,color (perceptual_element),easy (readability),understand (cognitive),,visualization (whole); color (property)
SciVisJ.1025.11.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.1025.11.png,Point,0.36,,"Lots of inscription with details, several measurements on the same graph, numbers; There are more colours in this image and it is displaying more data; -number of information -color contrast; less text; more information and nuances transportet through the picture.; Compared to the other one its a bit more complex","Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details",,Lots of inscription with details; several measurements; inscription with details; numbers; information and nuance transported; number of information; color contrast; less text; more data; more colors,many measurements; more detailed/things; much/more data/info/info spread; information nuance expressed; amount of words/context/numbers; detailed inscription; little/less text/numbers/context; color variety/arrangement/distribution; low color contrast/separation/segmentation,(+); (+); (+); (+) (-); (+); (+) (-); (+) (-); (+); (+); (+) (-),Information Volume; Domain Familiarity; Text Volume & Content; Typography & Readability; Color Palette & Contrast,lot; inscription; detail; measurement; number; information; nuance; transport; color; contrast; text; datum,color contrast (perceptual_element); lot (quantity_reference); detail (cognitive_element); measurement (data_element); number (quantity_reference); information (cognitive_element); color (perceptual_element); contrast (perceptual_element); text (annotation); datum (data_element),color contrast (color); lot (quantity_descriptor),contrast (structural),"inscription (unclustered); nuance (unclustered); transport (rare, 1 image)",label (text); number (content); data (content); color (property)
InfoVisJ.2412.7(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2412.7(2).png,Schematic,0.36,,The image with the circle and the word source is much easier than the other one. The image with the circle is very simple and not difficult to see at all.,Visual Encoding Clarity; Semantics / Text Legibility; Immediacy / Cognitive Load,,very simple; not difficult to see at all; the word source; much easier,shapes and lines; word source; easier to interpret/read/understand; easier to see/tell/visualize,(-); (-); (-); (-),Graphical Forms & Primitives; Text Volume & Content; Interpretive Difficulty,simple; difficult; word; source; easy,word (annotation),simple (complexity); difficult (readability); easy (readability),,"source (rare, 1 image)",
whoQ26.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoQ26.png,Area,0.37,,"Non-highlighted image also resembles a familiar geographic shape so it is easier to interpret.; The map is easily recognizable and straightforward at showing where things are. It looks simpler, with no more than three colors.; an easy to read map for the image; Again, I am not familiar with the world map, let alone the closer map you are showing in the picture, so therefore it seemed more complicated to me.; i like maps better; A charted map with points of interest, regions, and a key on the top.","Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,familiar geographic shape; easier to interpret; not familiar; world map; seemed more complicated; map; easy to read map; easily recognizable; straightforward at showing where things are.; no more than three colors; maps; points of interest; regions; key on the top; charted map,"clear indication; regions; shape point of interest; legend on the top; domain-specific concepts (e.g., chemical, biology, map); familiar representation; unfamiliar concepts/patterns; inadequate/few coloring; easier to interpret/read/understand; easy to interpret/read/understand; more complicated",(-); (-); (+); (+) (-); (+); (+) (-); (-); (-); (-); (-); (-); (+); (+); (+); (+),Semantic Clarity; Graphical Forms & Primitives; Encoding Interpretability; Annotations & Labels; Domain Familiarity; Color Palette & Contrast; Interpretive Difficulty,familiar; geographic; shape; easy; interpret; world; map; complicated; read; easily; recognizable; straightforward; show; thing; color; point; interest; region; key; chart,world map (chart_type); shape (mark); shape (perceptual_element); world (domain_object); map (chart_type); color (perceptual_element); point (mark); interest (quantity_reference); region (domain_object); key (chart_component); key (quantity_reference); chart (chart_type),familiar (familiarity); easy (readability); complicated (complexity); easily (readability); recognizable (familiarity); straightforward (complexity); key (information_quality),shape (evaluative); interpret (cognitive); read (cognitive); show (semantic),"geographic (rare, 1 image); thing (unclustered)",visualization (whole); color (property); legend (furniture); point (mark); region (structure)
wsj511.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj511.png,Area,0.37,,In the image on the right you can see at a glance all the data as drawn and it is clearer to me.,Visual Encoding Clarity; Immediacy / Cognitive Load,,clearer; can see at a glance,clear colors/shapes; easy to interpret/read/understand,(-); (-),Encoding Interpretability; Interpretive Difficulty,clear; glance,a glance (quantity_reference),clear (readability),,"glance (in vocab, excluded)",visualization (whole); region (structure)
InfoVisJ.659.6.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.659.6.png,Line,0.37,,The orange although not greatly more complex takes more time to understand,Immediacy / Cognitive Load,,more time to understand,take longer to interpret,(+),Processing Time & Effort,time; understand,more time (quantity_reference),more time (temporal); time (temporal),understand (cognitive),,visualization (whole)
VisC.61.10(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.61.10(2).png,Node-link,0.37,,can easily deduce what the chart is trying to tell you,Immediacy / Cognitive Load,,can easily deduce,easy to interpret/read/understand,(-),Interpretive Difficulty,easily; deduce,,easily (readability),,"deduce (rare, 1 image)",visualization (whole)
VASTJ.51.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.51.7.png,Point,0.37,,,Immediacy / Cognitive Load,,Initial (intuitive) attractiveness to actually delve into the image and analyze it; Expected time and cognitive load to understand the logic of presentation; Expected time and cognitive load to understand the key takeaway of/ key patterns suggested by the image (separating information from noise); Expected time and cognitive load to understand the majority of information in the image (separating information from noise),intuitive; more effort/reading/detailed analysis; take longer to interpret,(-); (+); (+); (+),Interpretive Difficulty; Processing Time & Effort,initial; intuitive; attractiveness; actually; delve; image; analyze; expect; time; cognitive; load; understand; logic; presentation; key; takeaway; of/; pattern; suggest; separate; information; noise; majority,cognitive load (quantity_reference); the image (quantity_reference); image (chart_type); load (quantity_reference); logic (cognitive_element); key (chart_component); key (quantity_reference); pattern (layout_component); pattern (quantity_reference); information (cognitive_element); noise (quantity_reference),cognitive load (complexity); cognitive load (cognitive); intuitive (familiarity); time (temporal); cognitive (cognitive); logic (cognitive); key (information_quality); separate (structure),analyze (cognitive); expect (evaluative); understand (cognitive); separate (spatial); separate (structural),initial (unclustered); attractiveness (unclustered); actually (unclustered); delve (unclustered); presentation (unclustered); takeaway (unclustered); of/ (unclustered); suggest (unclustered); majority (unclustered),visualization (whole); layout (structure); pattern (structure); data (content)
visMost97.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost97.png,Area,0.38,,"uses common knowledge, is easy to understand, has distinguished/distinctive colors, and presents simple information.","Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,common knowledge; distinguished/distinctive colors; simple information; easy to understand,simple information; familiar representation; color variety/arrangement/distribution; easy to interpret/read/understand,(-); (-); (-); (+) (-),Information Volume; Domain Familiarity; Color Palette & Contrast; Interpretive Difficulty,common; knowledge; distinguish; distinctive; color; simple; information; easy; understand,color (perceptual_element); information (cognitive_element),distinctive (structure); simple (complexity); easy (readability),distinguish (structural); understand (cognitive),"common (unclustered); knowledge (rare, 1 image)",visualization (whole); color (property); data (content)
v486_n7403_11_f2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/v486_n7403_11_f2.png,Area,0.38,,the data being visualized is more difficult to parse,Immediacy / Cognitive Load,,difficult to parse,hard to identify/extract/find features,(+),Interpretive Difficulty,difficult; parse,,difficult (readability),,"parse (rare, 1 image)",visualization (whole)
treasuryL11_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/treasuryL11_2.png,Area,0.38,,The ease of reading the graph,Immediacy / Cognitive Load,,ease of reading,easy to interpret/read/understand,(-),Interpretive Difficulty,ease; read,ease (quantity_reference),,read (cognitive),,visualization (whole)
VisC.255.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.255.7.png,Cont.-ColorPatn,0.38,lack of information to derive meaning.,"I don't even know what I would call the thing on the right, is it even a graph?",Immediacy / Cognitive Load,,I don't even know,not interpretable/readable/understandable,(+),Interpretive Difficulty,know,,,know (cognitive),,visualization (whole)
