image,sceneGraph,imageName,imageURL,VisType,mentioningColor,context,NormalizedVC,ConfusingSource,rawUserComments,UniqueTopics,CuratedUniqueTopics,CuratePhrasesMore/LessComplex,humanCuratedPhrases,originalSentiments,allStems,visual_objects,visual_attributes,visual_predicates,unmatched_stems,originalStems,objectWords,actionWords,originalStemPOS,oar_B_synset_objects,UniqueSubTopics,UniqueSubTopicsCount,UniqueTopicsCount,oar_B_synset_attributes,oar_B_synset_relationships
,,VASTJ.432.6.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.432.6.png,Bar,,,0.3,,both is understandable,Immediacy / Cognitive Load,,understandable,easy to interpret/read/understand,(+) (-),understandable,,understandable (readability),,,understand,,,ADJ,visualization (whole),Interpretive Difficulty,,,easily_understandable (visualization),
,,whoQ48_6.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoQ48_6.png,Line,,,0.3,,the graphic is pretty self explanatory,Immediacy / Cognitive Load,,self explanatory,easy to interpret/read/understand,(-),self; explanatory,,,,self (unclustered); explanatory (unclustered),self; explanatory,self,explanatory,NOUN; VERB,visualization (whole),Interpretive Difficulty,,,self_explanatory_layout (visualization),
,,InfoVisC.65.8.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.65.8.png,Bar,,,0.31,,color dimension (one versus two)ï¼› numbers is more complex than dot; The least complex has clearer colours and is simple to grasp the ideas.,"Visual Encoding Clarity; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,clearer colors; simple to grasp the ideas; color dimension (one versus two); numbers more complex than dot,shapes and lines; clearer coloring; color dimension; simple to interpret/read/understand,(-); (-); (+); (+),clear; color; simple; grasp; idea; dimension; number; complex; dot,color (perceptual_element); idea (cognitive_element); dimension (layout_component); dimension (quantity_reference); number (quantity_reference); dot (mark),clear (readability); simple (complexity); dimension (structure); complex (complexity),,"grasp (rare, 1 image)",clear; color; simple; grasp; idea; dimension; versus; number; complex; dot,color; idea; dimension; number; dot,grasp,ADJ; NOUN; ADJ; VERB; NOUN; NOUN; ADP; NOUN; ADJ; NOUN,visualization (whole); color (property); label (text); point (mark),Graphical Forms & Primitives; Color Palette & Contrast; Interpretive Difficulty,,,clearer_distinct_colors (color); simple_to_grasp (visualization); two_color_dimensions (color); numbers_increase_complexity (label),
,,VisC.297.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.297.4.png,Grid,,,0.31,,black and white; only one shape (a vertical live) and multiple copies of it. They are also on the same horizontal axis,"Data Density / Image Clutter; Visual Encoding Clarity; Schema; Color, Symbol, and Texture Details",,multiple copies; on the same axis; one shape; black and white,multiple features/elements/graphs; shape; value and graphic alignment; black-to-white/color gradient,(-); (-); (-); (+) (-),multiple; copy; axis; shape; black; white,axis (chart_component); shape (mark); shape (perceptual_element),multiple (structure); black (color); white (color),shape (evaluative),"copy (rare, 1 image)",multiple; copy; axis; shape; black; white,copy; axis; shape,,ADJ; NOUN; NOUN; NOUN; ADJ; ADJ,shape (mark); axes (furniture); data (content); color (property),Element Quantity; Graphical Forms & Primitives; Dimensionality & Structure; Color Palette & Contrast,,,single_shape_type (shape); multiple_copies_present (data); black_and_white_only (color),data --plotted_on--> axes; shape --repeated_along--> axes
,,treasuryG07_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/treasuryG07_2.png,Line,,,0.31,,"The more straightforward lines in the picture (easier to read and discern).; lines, graph",Visual Encoding Clarity; Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,,straightforward lines; easier to read; easier to read and discern; lines; graph,lines; straight lines; easier to read; a specific technique; easier to interpret/read/understand,(-); (-); (-); (+) (-); (+),straightforward; line; easy; read; discern; graph,line (mark); graph (chart_type),straightforward (complexity); easy (readability),read (cognitive); discern (perceptual),,straightforward; line; easy; read; discern; graph,line; graph,read; discern,ADJ; NOUN; ADJ; VERB; VERB; NOUN,visualization (whole); line (mark); axes (furniture),Graphical Forms & Primitives; Typography & Readability; Domain Familiarity; Interpretive Difficulty,,,straightforward_line_paths (line); multiple_lines_present (line); easier_to_read (visualization); easier_to_discern (visualization); graph_adds_complexity (visualization),line --rendered_as--> visualization; line --plotted_within--> axes
,,whoJ44.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoJ44.png,Line,,,0.31,,data shown as lines; contains less information,Data Density / Image Clutter; Visual Encoding Clarity,,less information; lines,little data/info; lines,(-); (+) (-),information; line,less information (quantity_reference); information (cognitive_element); line (mark),less information (information_quality),,,information; line,information; line,,NOUN; NOUN,visualization (whole); line (mark),Information Volume; Graphical Forms & Primitives,,,less_information_present (visualization); multiple_lines_present (line),line --increases_clutter_in--> visualization
,,SciVisJ.980.9.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.980.9.png,Glyph,,,0.32,,"The other image is easier to understand as the figures are displayed along with the countries, so with just a glance everything is summarized. - small font for the text in the description - the color aspect (grey map on dark background); The 2x2 matrix patterns are clear and the symbols (to the right) are more easily recognizable.","Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,matrix patterns; symbols; easily recognizable,a specific technique; symbols; easy to identify/extract/find features,(-); (-); (-),matrix; pattern; symbol; easily; recognizable,pattern (layout_component); pattern (quantity_reference); symbol (annotation); symbol (quantity_reference),easily (readability); recognizable (familiarity),,matrix (unclustered),matrix; pattern; symbol; easily; recognizable,matrix; pattern; symbol,,NOUN; NOUN; NOUN; ADV; ADJ,grid (structure); symbol (mark),Domain Familiarity; Symbols & Texture; Interpretive Difficulty,,,recognizable_pattern_structure (grid); easily_recognizable_symbols (symbol); simple_symbol_variety (symbol),grid --contains--> symbol
,,InfoVisJ.1084.2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1084.2.png,Bar,,,0.33,,I thought it provided the information in question in a more unique way.,Schema,,unique,unique,(+),unique,,unique (familiarity),,,unique,,,ADJ,visualization (whole),Domain Familiarity,,,unique_visual_form (visualization),
,,InfoVisC.211.3(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.211.3(2).png,Schematic,,,0.33,,Simplicity,Immediacy / Cognitive Load,,Simplicity,simple to interpret/read/understand,(-),simplicity,,simplicity (complexity),,,,simplicity,,,,Interpretive Difficulty,,,,
,,InfoVisJ.621.2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.621.2.png,Text,,,0.33,,whilst the other one only has 2 (title and link).,Data Density / Image Clutter; Semantics / Text Legibility,,only has 2; link; title,many points/lines/shapes/elements; -; title/axis/label/descriptions,(-); (-); (-),link; title,title (chart_component),,,link (unclustered),link; title,title,link,VERB; NOUN,visualization (whole); link (structure); title (text),Element Quantity; Annotations & Labels,,,only_two_elements (visualization); single_link_present (link); title_present (title),link --contributes_to--> visualization
,,VisJ.1421.5(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisJ.1421.5(2).png,Glyph,,,0.34,,For me is more complex because it has no legends - I cannot understand it,Semantics / Text Legibility; Immediacy / Cognitive Load,,no legends; cannot understand,lack of/not enough axis labels/legend/annotations/context; not interpretable/readable/understandable,(+); (+),legend; understand,legend (chart_component),,legend (evaluative); understand (cognitive),,legend; understand,legend,understand,NOUN; VERB,visualization (whole); legend (furniture),Annotations & Labels; Interpretive Difficulty,,,difficult_to_interpret (visualization); legend_absent (legend),legend --missing_from--> visualization
,,VASTJ.1139.3(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1139.3(2).png,Node-link,,,0.34,,The image on the left only has a few lines; The left one has less elements; clearer : there is a start and end that are easy to identify (you just have to follow the lines). It seems that there is less information (elements) to process in the second picture.; Simple colored dots and lines on a grid; structured and labeled plot; contains curves and different points but follows a discernible pattern; flat with two-dimensional geometric shapes.,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,less information (elements); less information to process; 2d geometric shapes; curves and different points; dots and lines on a grid; structured and labeled; follows a discernible pattern; Simple colored; less elements; a few lines,few points/lines/shapes/elements; little data/info; curves and shapes; shape variety; shapes and lines; title/axis/label/descriptions; familiar representation; lack of color contrast / hard to distinguish colors; easy to interpret/read/understand,(-); (-); (-); (-); (-); (-); (-); (-); (-); (-),information; element; process; geometric; shape; curve; different; point; dot; line; grid; structure; label; follow; discernible; pattern; simple; color,less information (quantity_reference); information (cognitive_element); element (domain_object); process (quantity_reference); shape (mark); shape (perceptual_element); point (mark); dot (mark); line (mark); grid (chart_component); grid (layout_component); structure (layout_component); label (chart_component); pattern (layout_component); pattern (quantity_reference); color (perceptual_element),less information (information_quality); different (structure); discernible (readability); discernible (information_quality); simple (complexity),shape (evaluative); structure (structural); label (semantic); follow (perceptual),"geometric (rare, 1 image); curve (unclustered)",information; element; process; 2d; geometric; shape; curve; differ; point; dot; line; grid; structure; label; follow; discern; pattern; simple; color,information; element; 2d; shape; curve; point; dot; line; grid; pattern,process; structure; label; follow; color,NOUN; NOUN; VERB; PROPN; ADJ; NOUN; NOUN; ADJ; NOUN; NOUN; NOUN; NOUN; VERB; VERB; VERB; ADJ; NOUN; ADJ; VERB,grid (structure); line (mark); point (mark); shape (mark); label (text); color (property),Element Quantity; Information Volume; Graphical Forms & Primitives; Annotations & Labels; Domain Familiarity; Color Palette & Contrast; Interpretive Difficulty,,,structured_layout (grid); few_lines_present (line); sparse_dot_count (point); 2d_geometric_forms (shape); discernible_pattern (shape); structured_and_labeled (label); simple_coloring (color); less_elements_overall (grid),line --plotted_on--> grid; point --plotted_on--> grid; shape --reduces--> color; line --follows_pattern_with--> point
,,VisC.375.9(3).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.375.9(3).png,Node-link,,,0.34,,The image on the right has nodes that are clearly connected with lines.,"Visual Encoding Clarity; Color, Symbol, and Texture Details; Aesthetics Uncertainty",,clear connection; lines; nodes,clear connection; lines; nodes,(-); (+) (-); (-),clear; connection; line; node,connection (quantity_reference); line (mark),clear (readability),,"node (rare, 1 image)",clear; connect; line; node,connection; line; node,,ADJ; NOUN; NOUN; NOUN,line (mark); node (mark),Visual Disorganization; Graphical Forms & Primitives; Symbols & Texture,,,multiple_lines_present (line); limited_node_count (node),node --has_clear_connection_via--> line
,,wsj135.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj135.png,Bar,,,0.35,,"Left one is just a time scale with 2 data sets in same scale, diferent colors and aligment makes it easy to understand.; The other image is more easier to read and understand","Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,alignment; time scale; 2 data sets; different colors; easy to understand,much/more data/info/info spread; scale difference; shape arrangement; color variety/arrangement/distribution; easier to interpret/read/understand; easy to interpret/read/understand,?; (-); (-); (+) (-); (+) (-),alignment; time; scale; data; set; different; color; easy; understand,scale (chart_component); scale (quantity_reference); data (data_element); set (domain_object); set (quantity_reference); color (perceptual_element),time (temporal); different (structure); easy (readability),understand (cognitive),alignment (unclustered),time; scale; data; set; differ; color; easy; understand,alignment; time; scale; data; set; color,understand,NOUN; NOUN; NOUN; NOUN; ADJ; NOUN; ADJ; VERB,visualization (whole); axes (furniture); data (content); color (property),"Information Volume; Position, Scale & Organization; Graphical Forms & Primitives; Color Palette & Contrast; Interpretive Difficulty",,,time_scale_present (axes); alignment_ambiguous (visualization); easy_to_understand (visualization); different_colors_used (color),data --distinguished_from--> data; data --shares_time_axis_with--> data
,,VASTC.51.6.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.51.6.png,Bar,,,0.35,,Few information; it has no meaning; colors have no meaning; numbers have no meaning,Semantics / Text Legibility; Immediacy / Cognitive Load,,numbers have no meaning; colors have no meaning,lack of/not enough axis labels/legend/annotations/context; unclear meaning/confusing,(+); (+),number; meaning; color,number (quantity_reference); meaning (cognitive_element); color (perceptual_element),meaning (cognitive),,,number; mean; color,number; meaning; color,,NOUN; NOUN; NOUN,number (content); color (property),Annotations & Labels; Semantic Clarity,,,no_semantic_meaning (number); no_semantic_meaning (color),number --increases_cognitive_load_alongside--> color
,,InfoVisJ.2251.3(3).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2251.3(3).png,Glyph,,,0.35,lack of information to derive meaning.,I simply don't understand what it represent; The other image is just a few lines joined,Data Density / Image Clutter; Immediacy / Cognitive Load,,a few lines joined; don't understand,few points/lines/shapes/elements; not interpretable/readable/understandable,(-); (+),line; join; understand,line (mark),,understand (cognitive),"join (rare, 1 image)",line; join; understand,line,join; understand,NOUN; VERB; VERB,line (mark); visualization (whole),Element Quantity; Interpretive Difficulty,,,few_lines_joined (line); difficult_to_understand (visualization),line --contributes_to_confusion_in--> visualization
,,wsj340.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj340.png,Bar,,,0.36,,"The image is a chart with a title, description, labels and coloured segments, therefore it doesn't need to do as much visually.; 1. Variety and Density of Elements, 2.Level of Detail 3. Depth and Dimensionality and 4.Interconnectedness of Elements.","Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,description; labels; title; colored segments; chart; doesn't need to do as much visually,"description; title/axis/label/descriptions; a specific technique, e.g., bar, pie, circle; good color contrast/separation/segmentation; easy to interpret/read/understand",(-); (+) (-); (-); (-); (-); (-),description; label; title; colored; segment; chart; need; visually,description (annotation); description (quantity_reference); label (chart_component); title (chart_component); chart (chart_type),colored (color),label (semantic); need (evaluative),"segment (rare, 1 image); visually (in vocab, excluded)",description; label; title; color; segment; chart; need; visual,description; label; title; segment; chart,need,NOUN; NOUN; NOUN; ADJ; NOUN; PROPN; VERB; ADV,visualization (whole); title (text); label (text); color_segment (mark); description (text),Typography & Readability; Annotations & Labels; Domain Familiarity; Color Palette & Contrast; Interpretive Difficulty,,,low_visual_demand (visualization); clear_informative_title (title); readable_labels_present (label); limited_color_segments (color_segment); explanatory_description_present (description),title --reduces_interpretive_effort_of--> visualization; description --supplements_encoding_of--> color_segment
,,VASTJ.412.3.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.412.3.png,Bar,,,0.36,,Both of them are easy to understand.; only has two colors,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,easy to understand; only has two colors,two colors; easy to interpret/read/understand,(+) (-); (-),easy; understand; color,color (perceptual_element),easy (readability),understand (cognitive),,easy; understand; color,color,understand,ADJ; VERB; NOUN,visualization (whole); color (property),Color Palette & Contrast; Interpretive Difficulty,,,easy_to_understand (visualization); only_two_colors_used (color),color --reduces_clutter_in--> visualization
,,SciVisJ.1025.11.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.1025.11.png,Point,,,0.36,,"Lots of inscription with details, several measurements on the same graph, numbers; There are more colours in this image and it is displaying more data; -number of information -color contrast; less text; more information and nuances transportet through the picture.; Compared to the other one its a bit more complex","Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details",,Lots of inscription with details; several measurements; inscription with details; numbers; information and nuance transported; number of information; color contrast; less text; more data; more colors,many measurements; more detailed/things; much/more data/info/info spread; information nuance expressed; amount of words/context/numbers; detailed inscription; little/less text/numbers/context; color variety/arrangement/distribution; low color contrast/separation/segmentation,(+); (+); (+); (+) (-); (+); (+) (-); (+) (-); (+); (+); (+) (-),lot; inscription; detail; measurement; number; information; nuance; transport; color; contrast; text; datum,color contrast (perceptual_element); lot (quantity_reference); detail (cognitive_element); measurement (data_element); number (quantity_reference); information (cognitive_element); color (perceptual_element); contrast (perceptual_element); text (annotation); datum (data_element),color contrast (color); lot (quantity_descriptor),contrast (structural),"inscription (unclustered); nuance (unclustered); transport (rare, 1 image)",lot; inscription; detail; measure; number; information; nuance; transport; color; contrast; text; datum,lot; inscription; detail; measurement; number; information; nuance; color; contrast; text; datum,transport,NOUN; NOUN; NOUN; NOUN; NOUN; NOUN; NOUN; VERB; PROPN; NOUN; NOUN; NOUN,label (text); number (content); data (content); color (property),Information Volume; Domain Familiarity; Text Volume & Content; Typography & Readability; Color Palette & Contrast,,,lots_of_inscriptions (label); detailed_annotations (label); sparse_text_present (label); several_measurements_shown (number); numeric_labels_present (number); high_information_volume (data); nuanced_data_content (data); more_data_points (data); multiple_colors_used (color); high_color_contrast (color),number --contributes_to_clutter_in--> number; color --aids_differentiation_of--> data; number --adds_detail_to--> data
