Immediacy / Cognitive Load_sentiment,Immediacy / Cognitive Load_count,Immediacy / Cognitive Load,Immediacy / Cognitive Load (AIcurated),Immediacy / Cognitive Load (HumanCuration),Data Density / Image Clutter_sentiment,Data Density / Image Clutter_count,Data Density / Image Clutter,Data Density / Image Clutter (AIcurated),Data Density / Image Clutter (HumanCuration),Visual Encoding Clarity_sentiment,Visual Encoding Clarity_count,Visual Encoding Clarity,Visual Encoding Clarity (AIcurated),Visual Encoding Clarity (HumanCuration),Semantics / Text Legibility_sentiment,Semantics / Text Legibility_count,Semantics / Text Legibility,Semantics / Text Legibility (AIcurated),Semantics / Text Legibility (HumanCuration),Schema_sentiment,Schema_count,Schema,Schema (AIcurated),Schema (HumanCuration),"Color, Symbol, and Texture Details_sentiment","Color, Symbol, and Texture Details_count","Color, Symbol, and Texture Details","Color, Symbol, and Texture Details (AIcurated)","Color, Symbol, and Texture Details (HumanCuration)",Aesthetics Uncertainty_sentiment,Aesthetics Uncertainty_count,Aesthetics Uncertainty,Aesthetics Uncertainty (AIcurated),Aesthetics Uncertainty (HumanCuration)
(+),2,difficult to discern,hard to discern,hard to compare/discern/distinguish,(+),2,a lot of data points,more data points,more charts/points/lines/shapes/elements,(-),2,size growing small,size decreasing,size decreasing,(+),2,word,word,word/text/sentence,(+),1,unfamiliar with,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),2,more contrast,more contrast,more contrast,(+),1,The colors are harder to look at for me,unclear coloring,unclear colors/contrast
(-),2,easier to visualize,easier to visualize,easier to process/visualize,(+),2,A lot of data,more data,much/more data/info/info spread,(+),2,Expected time and cognitive load to understand the logic of presentation,unclear structure,unclear structure,(+),2,More text,more text,more texts/words,(+),1,no clear scheme,no pattern,unfamiliar concepts/patterns,(+),2,too many colors,too many colors,too many colors,(+),1,frightening at first glance,frightening,looks random/messy/lack structure
(+),2,difficult to comprehend,difficult to understand,hard to interpret/read/understand,(+),2,a lot of lines,more lines,more charts/points/lines/shapes/elements,(+),2,Expected time and cognitive load to understand the key takeaway of/ key patterns suggested by the image (separating information from noise),unclear what data conveys,unclear what data conveys,(-),2,no context,no context,lack of/not enough axis labels/legend/annotations/context,(+),1,growth pattern,pattern,familiar representation,(+),2,use of color,use of color,soft/layered/overlapping colors,(+),1,random collection of circles,uncertain,looks random/messy/lack structure
(+),2,difficult to follow,hard to follow,hard to focus/follow,(+),2,Amount of details,more details,more detailed/things,(+),2,Expected time and cognitive load to understand the majority of information in the image (separating information from noise),unclear what data conveys,unclear what data conveys,(+),2,more writing,more writing,more texts/words,(-),1,familiar representation,familiar representation,familiar representation,(+),2,A lot of colors,lots of colors,color variety/arrangement/distribution,(+),1,Unclear.,unclear,distracting/confusing/unclear
(+),2,Harder to understand,more difficult to understand,more difficult to interpret/read/understand/differentiate,(+),2,Amount of information,more information,much/more data/info/info spread,(+),1,Difference of clarity,different clarity,different clarity,(-),2,two axes,two axes,title/axis/label/descriptions,(-),1,the world map,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),2,draw style,drawing style,drawing style,(+),1,bad choice of colors,unclear coloring,unclear colors/contrast
(-),2,understandable,easy to understand,easy to interpret/read/understand,(+),2,too many data points,too many data points,too many points/lines/shapes/elements,(-),1,relationships,design-data relationship,design-data relationship,(+),2,no legends,no legends,lack of/not enough axis labels/legend/annotations/context,(+),1,pellet looking things look like money,pellet looking things,familiar representation,(+),2,similar colors,similar colors,lack of color contrast / hard to distinguish colors,(+),1,uncertainty,uncertain,looks random/messy/lack structure
(+),2,Ease of understanding,easy to understand,easy to interpret/read/understand,(-),2,density of information,information density,dense/cluttered data/info,(-),1,clearly link to legend,clear connection,clear connection,(-),2,labels are clear,clear labels,clear title/axis/label,(-),1,World maps are well known for everybody,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),2,Colors,colors,unclear colormaps,(+),1,left one is a mess,messy,looks random/messy/lack structure
(-),2,easier to process,easier to process,easier to process/visualize,(+),2,more items,more items,more charts/points/lines/shapes/elements,(+),1,"design, data and concept",design-data relationship,design-data relationship,(+),2,Words,words,word/text/sentence,(-),1,pie chart,pie chart,a specific technique,(+),2,darker,darker colors,unclear coloring,(+),1,Visual clarity,visual clarity,visual clarity/appealing
(-),2,simple to understand,simple to understand,simple to interpret/read/understand,(+),2,lots of information,more information,much/more data/info/info spread,(+),1,numbers more complex than dot,dots,shapes and lines,(-),2,clear text,clear text,clear title/axis/label,(+),1,map of continents,map,"domain-specific concepts (e.g., chemical, biology, map)",(-),2,dark green,dark green,unclear coloring,(+),1,looked confusing,confusing,distracting/confusing/unclear
(-),2,Comprehensibility,easier to understand,easy to interpret/read/understand,(+),2,overlapping lines,overlapping lines,overlapping shapes/colors/lines,(-),1,simplistic,simple visual elements,simple visual elements,(+),2,Description easy to read,description easy to read,description easy to read,(-),1,familiar geographic shape,familiar geographic shape,"domain-specific concepts (e.g., chemical, biology, map)",(-),2,color contrast,color contrast,low color contrast/separation/segmentation,(+),1,Unclear on color values,unclear color values,unclear colors/contrast
(-),2,How easily I could understand the information presented.,easier to understand,easier to interpret/read/understand,(+),2,Lots of variables,more variables,more parameters/variables,(+),1,small box indicators,shape indicators,shape indicators,(+),2,Key is easy to understand,key easy to understand,legend easy to understand,(+),1,lack of a grid,no grid,no context or reference,(+),2,color variation,color variation,color variety/arrangement/distribution,(+),1,Imaging seemed arbitrary,arbitrary imaging,arbitrary imaging
(-),2,How quickly I realised what the information was showing.,understand at a glance,easy to interpret/read/understand,(+),2,many data points,many data points,more charts/points/lines/shapes/elements,(+),1,upwards trend,data trend,data trend,(+),2,Labels are clear,clear labels,clear title/axis/label,(-),1,Bar graph,bar graph,"a specific technique, e.g., bar, pie, circle",(+),2,Colors involved,involves colors,unclear colormaps,(+),1,visually overwhelming,visually overwhelming,visually overwhelming
(+),2,How much I had to read.,needs a lot of reading,more reading/interpretation/understanding,(+),2,many lines,many lines,more charts/points/lines/shapes/elements,(+),1,no one knows whats hidden,unknown hidden content,unknown hidden content,(+),2,Unlabeled legend/data,no legend,lack of/not enough axis labels/legend/annotations/context,(+),1,complex graph design,unfamiliar design/domain uses,a specific technique,(+),2,Too many colors,too many colors,amount of / too many colors,(+),1,unknown details,unknown details,looks random/messy/lack structure
(-),2,Initial (intuitive) attractiveness to actually delve into the image and analyze it,not intuitive,intuitive,(+),2,messy,messy,messy/mixed up/noisy/intermingled elements,(+),1,receeding horizon point,3D,2D/3D,(+),2,More words,more words,more texts/words,(+),1,unfamiliar charts,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),2,distinct colors,distinct colors,color variety/arrangement/distribution,(+),1,Less attractive,less attractive,less attractive
(+),2,Expected time and cognitive load to understand the logic of presentation,take longer to understand,take longer to interpret,(+),2,more data points,more data points,more charts/points/lines/shapes/elements,(+),1,More complex designs,complex design,complex design,(-),2,No graph metrics given,no metrics,no measurement/metric/axis,(+),1,evolutionary tree,phylogenetic tree,"domain-specific concepts (e.g., chemical, biology, map)",(+),2,colors distribution,color distribution,color variety/arrangement/distribution,(-),1,more pleasant,visually appealing,visual clarity/appealing
(+),2,Expected time and cognitive load to understand the key takeaway of/ key patterns suggested by the image (separating information from noise),take longer to process,more effort/reading/detailed analysis,(+),2,More data,more data,much/more data/info/info spread,(+),1,not sure what the circles are representing,unclear circle meaning,unclear shape meaning,(+),2,No measurements,no measurements,no measurement/metric/axis,(+),1,lineages,lineages,"domain-specific concepts (e.g., chemical, biology, map)",(+),2,Level of Detail,fine details,color details,(+),1,Less structured,less structured,looks random/messy/lack structure
(+),2,Expected time and cognitive load to understand the majority of information in the image (separating information from noise),take longer to process,more effort/reading/detailed analysis,(+),2,more detail,more detail,much/more data/info/info spread,(-),1,distinct shapes,distinct shapes,shapes and lines,(-),2,x,axis,title/axis/label/descriptions,(+),1,phylogenetic tree,phylogenetic tree,"domain-specific concepts (e.g., chemical, biology, map)",(+),2,Depth and Dimensionality,color dimension,color dimension,(+),1,chaotic,chaotic,looks random/messy/lack structure
(-),1,much easier to figure out,easier to interpret,easier to interpret/read/understand,(+),2,More elements.,more elements,more charts/points/lines/shapes/elements,(+),1,layout of the image,image layout,image layout,(+),2,y,axis,title/axis/label/descriptions,(+),1,Only for trained eyes,only for trained eyes,not enough knowledge to tell,(+),1,a different color would make the image less complex,different color reduces complexity,distinguishable/full color uses,(+),1,It was more confusing,more confusing,looks random/messy/lack structure
(-),1,it is clearer what I can learn,easy to understand,easy to interpret/read/understand,(+),2,more elements,more elements,more charts/points/lines/shapes/elements,(+),1,points of increase and decrease,points of increase/decrease,shape increase/decrease point,(-),2,can see words,clear text,clear title/axis/label,(+),1,picture of world,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,lacks contrast between blue colors,lacks blue contrast,lack of color contrast / hard to distinguish colors,(+),1,less visually appealing,less visually appealing,less attractive
(+),1,difficult to analyze,hard to interpret,hard to interpret/read/understand,(+),2,no or few data,very little data,little data/info,(+),1,not a linear pattern.,nonlinearity,nonlinearity,(+),2,How much I had to read.,a lot of text,amount of words/context/numbers,(-),1,organized in a table,table,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,a lot of different colors,many different colors,color variety/arrangement/distribution,(+),1,less simple,less simple,less simple
(+),1,difficult to keep my eyes on,hard to focus,hard to focus/follow,(+),2,multiple figures,multiple graphics,multiple features/elements/graphs,(+),1,don't know what they mean,unclear shape meaning,unclear shape meaning,(+),1,numbers and legend,numbers and legend,lack of/not enough axis labels/legend/annotations/context,(-),1,Geographical maps,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,details,texture details,texture details,(+),1,much less clear,less clear,distracting/confusing/unclear
(+),1,harder to read and understand,more difficult to understand,more difficult to interpret/read/understand/differentiate,(-),2,Num of objects/words,more objects,more charts/points/lines/shapes/elements,(+),1,no order,less organization,less organized elements,(-),1,image legend,legend,too much legend,(+),1,Unfamiliar design,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),1,and layering of the colors,color layering,distinguishable color variety/arrangement/distribution,(+),1,less structure,less structured,looks random/messy/lack structure
(+),1,longer to interpret,take longer to interpret,take longer to interpret,(-),2,how objects spread,spread around,much/more data/info/info spread,(+),1,not clear what they mean,unclear meaning,unclear meaning,(+),1,writing very small,small font,word rotation/small font size,(-),1,apparent flow,pattern,familiar representation,(+),1,color coding,color coding,unclear colormaps,(-),1,more pleasing,visually appealing,visual clarity/appealing
(+),1,difficult for me to describe,hard to describe,hard to describe,(-),2,number of details,more details,more detailed/things,(-),1,clean lines,clean lines,shapes and lines,(+),1,No labels on axes,no axis labels,lack of/not enough axis labels/legend/annotations/context,(+),1,3D visualization (4 dimension matrix),3D visualization,2D/3D,(+),1,background white,white background,white/black background / other background,(+),1,confusing overall understandability,confusing,distracting/confusing/unclear
(+),1,harder to discern,more difficult to discern,more difficult to compare/discern/distinguish,(+),2,number of information,more information,much/more data/info/info spread,(+),1,no clear indication about what is going on,no clear indication,no clear indication,(-),1,A map is easier to read than a chart,easier to read,easier to read,(-),1,overall pleasing pattern,pattern,familiar representation,(+),1,color bar,color bar,colored bars/charts,(+),1,the choice of color is boring,boring color choice,unclear colors/contrast
(+),1,very simple to digest,simple to digest,easy to interpret/read/understand,(+),2,Too much information,too much information,too much data/info,(+),1,mixed with a timeline,mixed with timeline,mixed timeline,(+),1,codes,codes,code/text,(+),1,abstraction,abstract,abstract shapes or colors,(+),1,color code,color coding,unclear colormaps,(-),1,look cool,visually appealing,visual clarity/appealing
(-),1,easier to follow,easier to follow,easier to interpret/read/understand,(-),2,Proximity of items,close items,dense points/lines/shapes/elements,(-),1,the circle,circle,shapes and lines,(+),1,Small table,small table,small and simple,(-),1,a map,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,color dimension (one versus two),color dimension,color dimension,(+),1,lacks clarity,lacks clarity,distracting/confusing/unclear
(-),1,simple to digest,simple to digest,easy to interpret/read/understand,(+),2,Small details,fine details,fine/layered details,(-),1,simple bar to indicate measurement,bars as individual lines,bars as individual lines,(+),1,Tiny writing,small text,word rotation/small font size,(+),1,unfamiliar,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),1,color gradient,color gradient,black-to-white/color gradient,(+),1,Confusing to understand data points,confusing,distracting/confusing/unclear
(+),1,not sure what it's talking about,don't know meaning,unclear meaning/confusing,(-),2,Spread of information,more information spread,much/more data/info/info spread,(+),1,size of the graphics,element size,element sizes,(-),1,clear and concise key,key easy to understand,legend easy to understand,(+),1,not recognizable,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),1,color of the images,image coloring,unclear colormaps,(+),1,not clear,not clear,distracting/confusing/unclear
(-),1,reduces the effort to comprehend,reduces the effort to comprehend,easy to interpret/read/understand,(+),2,too many lines,too many lines,more charts/points/lines/shapes/elements,(+),1,everything is quite diffuse,nothing clear,nothing clear,(+),1,small font,small font,word rotation/small font size,(-),1,high school education,familiar domain,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,Color saturation,color saturation,color saturation,(-),1,Colors more appealing,appealing colors,visual clarity/appealing
(+),1,harder for my eyes to focus,more difficult to focus,more difficult to focus/follow,(+),2,It contains more information.,more information,much/more data/info/info spread,(-),1,A few squares,several elements,several elements,(+),1,Text is small,small text,word rotation/small font size,(-),1,weight graph,graph,a specific technique,(+),1,Color variability,color variation,color variety/arrangement/distribution,(+),1,Bad color choice in regard to contrasts,bad color contrast,unclear colors/contrast
(+),1,more complicated,more complicated,more complicated,(+),2,Variety and Density of Elements,information density,dense/cluttered data/info,(+),1,a lot of shapes,many shapes,shapes and lines,(+),1,different axis,different axes,title/axis/label/descriptions,(+),1,bar chart,bar graph,"a specific technique, e.g., bar, pie, circle",(+),1,small box indicators,box symbols,indicating symbols,(+),1,Black is discordant here.,discordant color,unclear colors/contrast
(+),1,visually complex,complex to process,complicated to process,(+),2,Expected time and cognitive load to understand the key takeaway of/ key patterns suggested by the image (separating information from noise),more to understand,more to read/analyze/understand,(+),1,differnent sizes/figures,different shapes and sizes,shape size variation,(+),1,names too small to read,small text,word rotation/small font size,(+),1,wanted to find a pattern,looking for pattern,unfamiliar concepts/patterns,(+),1,colored surface,colored surface,colored surface,(+),1,Ugly calligraphy,ugly calligraphy,less attractive
(+),1,hard time gleaning what it convey,hard to interpret,hard to interpret/read/understand/differentiate,(+),2,Expected time and cognitive load to understand the majority of information in the image (separating information from noise),more to understand,more to read/analyze/understand,(+),1,Number of vertical lines,number of vertical lines,number of vertical lines,(+),1,text at the bottom,text at bottom,clear text arrangement/density,(+),1,scientific method,scientific method,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,colors are bold,bold colors,bold colors,(+),1,No clear pattern,unclear pattern,distracting/confusing/unclear
(+),1,think harder to get useful information,require hard thinking,more thinking,(+),1,no details,very little detail,little data/info,(+),1,The size,element size,element sizes,(+),1,Text is to small,small text,word rotation/small font size,(-),1,just patterns,pattern,familiar representation,(+),1,Colors are in the same shade,similar colors,similar colors,(+),1,Confusing,confusing,distracting/confusing/unclear
(-),1,easy lines to follow,easy to follow,easy to focus/follow,(-),1,none,very little data,little data/info,(+),1,no information about the squares,no square information,no square information,(+),1,no title,no titles,lack of/not enough axis labels/legend/annotations/context,(+),1,pie chart.,pie chart,a specific technique,(+),1,colors are similar,similar colors,lack of color contrast / hard to distinguish colors,(+),1,No regularity in design,no regularity,irregular
(+),1,not straight to the point,not to the point,not intuitive/simple data,(-),1,less information,less information,little data/info,(+),1,size of shapes,shape size,shape size,(+),1,some text,some text,title/axis/label/descriptions,(+),1,text shapes and geography,familiar geographic shape,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,colors are too similar,too similar colors,lack of color contrast / hard to distinguish colors,(+),1,I struggled to read it,struggled to read,struggled to read
(-),1,easier to interpret,easier to interpret,easier to interpret/read/understand,(-),1,mostly focused on about 1/3 of the image,concentrated information,concentrated,(-),1,the shapes,shapes,shapes,(+),1,More numbers,more numbers,more numbers,(+),1,never seen visualization,never seen,unfamiliar concepts/patterns,(+),1,colors drew me in,appealing colors,appealing colors,(+),1,is not clear,not clear,distracting/confusing/unclear
(+),1,few more moments to process,take longer to process,take longer to interpret,(+),1,Ammount of information,more information,much/more data/info/info spread,(+),1,interconnecting lines,lines,intersecting lines,(+),1,A lot of text,a lot of text,amount of words/context/numbers,(+),1,unfamiliar with the image,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),1,Colors make easier to read.,colors improve readability,readable/distinguishable colors,(+),1,not consistent,inconsistent,inconsistent
(-),1,quicker/easier to process,easier to process,easier to process/visualize,(+),1,quantity,more items,more charts/points/lines/shapes/elements,(+),1,sizes of the shape (circle),circle size,shape size,(-),1,the word source,word source,word source,(-),1,data visualizations,data visualization,"a specific technique, e.g., bar, pie, circle",(+),1,completely in color (no white),full color image,distinguishable/full/highly contrast color uses,(+),1,not as clear,not clear,distracting/confusing/unclear
(+),1,I didn't understand,don't understand,not interpretable/readable/understandable,(+),1,More information,more information,much/more data/info/info spread,(+),1,dotted lines,lines,shapes and lines,(-),1,simple structure,simple structure,small and simple,(-),1,measuring an earthquake,earthquake-related,"domain-specific concepts (e.g., chemical, biology, map)",(-),1,contrasting colors,contrasting colors,good color contrast/separation/segmentation,(+),1,Irregularity of the spots,irregular pattern,irregular
(+),1,more difficult to follow the lines,more difficult to follow,more difficult to focus/follow,(+),1,more to look at and analyse,more to analyze,more to read/analyze/understand,(+),1,squares,squares,squares,(+),1,a lot of numbers,lots of numbers,amount of words/context/numbers,(+),1,scatter plots,scatter plot,a specific technique,(+),1,contrast of the colors,color contrast / contrast level,low color contrast/separation/segmentation,(+),1,I didn't understand what was going on in this image,unclear what is happening,distracting/confusing/unclear
(+),1,hard to extract info,hard to extract,hard to identify/extract/find features,(-),1,amount of text,more information,much/more data/info/info spread,(+),1,"paths overlap, intersect, diverge, creating a visually intricate network",network representation,network representation,(+),1,no axes,no axis,no measurement/metric/axis,(-),1,Table,table,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,dark and black,dark and black,black-to-white/color gradient,(-),1,visually clean,visually clean,visual clarity/appealing
(+),1,don't understand what its talking about in 5 sec,don't understand,not interpretable/readable/understandable,(+),1,a lot more aspects,more elements,more charts/points/lines/shapes/elements,(-),1,more evenly distributed,more uniform design,more uniform design,(+),1,lot of words,lot of words,amount of words/context/numbers,(-),1,columns and rows,table,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,darker/denser area,darker colors,unclear coloring,(+),1,unknow,uncertain,distracting/confusing/unclear
(-),1,easier to see the differences,easier to see the differences,easier to see/tell/visualize,(+),1,a lot more images to look at,more images,more detailed/things,(-),1,not much interaction,no interaction,no interaction,(+),1,key in the image,key,too much legend,(-),1,bar graph,bar graph,"a specific technique, e.g., bar, pie, circle",(+),1,didn't understand what the colors represent,unclear color meaning,unclear color meaning,(+),1,meaningless,unclear,distracting/confusing/unclear
(+),1,makes it harder to look at the data points,harder to view data points,harder to view data point,(+),1,A lot more parameters,more parameters,more parameters/variables,(+),1,circles and lines,circles and lines,shapes and lines,(+),1,texts,text,word/text/sentence,(-),1,matrix patterns,matrix pattern,a specific technique,(+),1,Different shades of colors,color shade variation,color shading,(+),1,how organised/disorganised was the picture,less structured,looks random/messy/lack structure
(-),1,incredibly simple,simple to understand,simple to interpret/read/understand,(+),1,a lot more to understand,more to understand,more to read/analyze/understand,(-),1,straightforward lines,straight lines,straight lines,(-),1,what each axis is measuring,axis meaning,axis meaning,(-),1,simple map,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,More visually stimulating,stimulating colors,visually stimulating  texture/colors,(+),1,Interconnectedness of Elements,convoluted composition,convoluted composition
(+),1,do not know what,don't know meaning,unclear meaning/confusing,(+),1,multiple components,multiple components,multiple features/elements/graphs,(+),1,shapes representing data subsets,shapes represent subsets,shape subset representation,(+),1,many text boxes,many text boxes,more text boxes,(-),1,more like a graphic,graphic,a specific technique,(+),1,every pixel and color represents a collection of data,color encodes data,unclear colormaps,(+),1,looks random,messy,looks random/messy/lack structure
(+),1,unclear what the differences are,unclear differences,hard to interpret/read/understand,(+),1,a lot of charts,more charts,more charts/points/lines/shapes/elements,(-),1,layered,spatial organization,spatial organization,(+),1,Text on top of pictures,text on pictures,text on picture,(-),1,chemical compounds,chemicals,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,Great detail,color details,color details,(+),1,i couldnt say what is complexer,uncertain,distracting/confusing/unclear
(+),1,more difficult to read,more difficult to read,more difficult to interpret/read/understand/differentiate,(+),1,a lot of details and figures,more details,more detailed/things,(+),1,what the image portrayed,image portrayal,image portrayal,(+),1,Cluttered Labels and Annotations,cluttered labels/annotations,cluttered labels/annotations,(-),1,simple bar graph,bar graph,"a specific technique, e.g., bar, pie, circle",(+),1,half-shading,the shading,color shading,,,,,
