imageName,imageURL,VisType,NormalizedVC,vc_tier,Topics,SubTopics,rawUserComments,originalPhrases,humanCuratedPhrases
VisJ.1197.5(3).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisJ.1197.5(3).png,Glyph,0.76,high,"Data Density / Image Clutter; Visual Encoding Clarity; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Information Volume; Element Quantity; Graphical Forms & Primitives; Domain Familiarity; Symbols & Texture; Interpretive Difficulty,"There are a lot of layers of shapes/details. This complexity of texture is stimulating. Quantity of items in the image.; so many cube -> difficult to visualize; the image on the right I see no context whatsoever.; The one on the right has 3 dimensions, so it looks like it's showing more data and more complexity.",so many cube; difficult to visualize; Quantity of items; layers of shapes/details; shapes; texture is stimulating; no context,fine/layered details; more charts/points/lines/shapes/elements; shapes; no context or reference; visually stimulating  texture/colors; hard to see/tell/visualize
wsj124.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj124.png,Point,0.41,low,Immediacy / Cognitive Load,Interpretive Difficulty,You can clearly see the data that is being expressed.,can clearly see the data,easy to interpret/read/understand
InfoVisJ.669.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.669.4.png,Point,0.59,mid,Data Density / Image Clutter; Semantics / Text Legibility,Element Quantity; Annotations & Labels,More data points on second image. Labelled axis; #NAME?,More data points; Labeled axis,more charts/points/lines/shapes/elements; labeled axis
InfoVisC.157.1.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.157.1.png,Point,0.77,high,Data Density / Image Clutter; Semantics / Text Legibility; Immediacy / Cognitive Load,Element Quantity; Annotations & Labels; Typography & Readability; Interpretive Difficulty,"too many subplots, small fonts, lack of describing information of the elements; the image on the right I find that I will unlikely be able to interpret; It wasn't clear as to what is going on in the chart.",too many subplots; lack of describing information; small fonts; wasn't clear what is going on; unlikely be able to interpret,too many subplots; lack of legend; word rotation/small font size; hard to interpret/read/understand
VASTJ.1720.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1720.4.png,Bar,0.29,low,Schema; Immediacy / Cognitive Load,Domain Familiarity; Interpretive Difficulty,The one on the right is a simple bar graph. I could gather a little bit what it meant.,simple bar graph; could gather what it meant,"a specific technique, e.g., bar, pie, circle; easy to interpret/read/understand"
wsj28.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj28.png,Bar,0.48,mid,"Semantics / Text Legibility; Color, Symbol, and Texture Details",Text Volume & Content; Color Palette & Contrast,Lots of writing; Prominent colors,Lots of writing; Prominent colors,amount of words/context/numbers; salient colors
InfoVisJ.2639.8.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2639.8.png,Bar,0.71,high,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Color Palette & Contrast; Interpretive Difficulty; Processing Time & Effort; Semantic Clarity,The color bar seems more complex and takes me longer to interpret.,color bar; longer to interpret,color variety/arrangement/distribution; colored bars/charts; more complicated; more to read/analyze/understand; take longer to interpret; unclear meaning/confusing
InfoVisJ.691.6(3).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.691.6(3).png,Text,0.47,low,Data Density / Image Clutter; Visual Encoding Clarity,Information Volume; Graphical Forms & Primitives,"The colour of the images, the right one is more simplistic. There are none (pictures) on the right.",none; simplistic,little data/info; simple visual elements
InfoVisJ.2556.8.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2556.8.png,Text,0.61,mid,Data Density / Image Clutter; Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,Visual Clutter & Overlap; Annotations & Labels; Domain Familiarity; Interpretive Difficulty,I think the second image is not that complex because u can easily understand it; The one on the right seems like a simple map; many writings and squeezed writings.; the left one seemed more complex.,many writings; squeezed writings; you can easily understand it; simple map,"cluttered labels/annotations; title/axis/label/descriptions; domain-specific concepts (e.g., chemical, biology, map); easy to interpret/read/understand"
VASTC.51.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.51.10.png,Text,0.78,high,Data Density / Image Clutter; Visual Encoding Clarity,Information Volume; Graphical Forms & Primitives,contains a lot of information the size of the graphics,a lot of information; size of the graphics,much/more data/info/info spread; element sizes
whoJ44.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoJ44.png,Line,0.31,low,Data Density / Image Clutter; Visual Encoding Clarity,Information Volume; Graphical Forms & Primitives,data shown as lines; contains less information,less information; lines,little data/info; lines
v483_n7390_1_f2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/v483_n7390_1_f2.png,Line,0.5,mid,"Color, Symbol, and Texture Details",Color Palette & Contrast,,more variation,color variety/arrangement/distribution
InfoVisC.8.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.8.7.png,Line,0.72,high,Data Density / Image Clutter,Information Volume; Visual Clutter & Overlap,There were a lot of intersections in the Circle  suggesting that there is a high amount of data to be extracted,high amount of data; intersections in the Circle,much/more data/info/info spread; overlapping shapes/colors/lines
SciVisJ.796.18.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.796.18.png,Cont.-ColorPatn,0.51,low,Semantics / Text Legibility,Annotations & Labels,1. Unlabeled legend/data. 2. Legend too close to visualizations,Legend too close to visualizations; Unlabeled legend/data,lack of/not enough axis labels/legend/annotations/context; too much legend
VisC.433.1.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.433.1.png,Cont.-ColorPatn,0.63,mid,"Data Density / Image Clutter; Color, Symbol, and Texture Details",Visual Clutter & Overlap; Information Volume; Color Palette & Contrast; Element Quantity,-more colours -more pixels -takes up more space -more informations,more informations; takes up more space; more colors; more pixels,more regions/space; much/more data/info/info spread; color variety/arrangement/distribution; more pixels
SciVisJ.259.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.259.7.png,Cont.-ColorPatn,0.75,high,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details",Element Quantity; Information Volume; Graphical Forms & Primitives; Color Palette & Contrast,"details, quantities, colors; several elements that make you go back and evaluate",colors; details; quantity; several elements,more charts/points/lines/shapes/elements; more detailed/things; several elements; unclear colormaps
