keyword,count,n_vistypes,topics_involved,step1_merge,step1b_criteria,step3_subtopic,removed_at,final_status,merged_into
word/text/sentence,19,7,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
little data/info,19,8,Data Density / Image Clutter,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
shapes,17,7,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
hard to interpret/read/understand/differentiate,17,8,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
dense/cluttered data/info,14,6,Data Density / Image Clutter,MERGED (manual group),-,Visual Clutter & Overlap,"Step 1: merged into ""overlapping shapes/colors/lines""",merged,overlapping shapes/colors/lines
multiple features/elements/graphs,14,7,Data Density / Image Clutter,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
too much legend,13,6,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
looks random/messy/lack structure,12,8,Aesthetics Uncertainty,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
lines,12,4,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
more reading/interpretation/understanding,11,6,Immediacy / Cognitive Load,MERGED (manual group),-,Processing Time & Effort,"Step 1: merged into ""take longer to interpret""",merged,take longer to interpret
unclear color meaning,11,7,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color contrast/clarity""",merged,color contrast/clarity
lack of color contrast / hard to distinguish colors,11,6,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color contrast/clarity""",merged,color contrast/clarity
messy/mixed up/noisy/intermingled elements,10,5,Data Density / Image Clutter,MERGED (manual group),-,Visual Clutter & Overlap,"Step 1: merged into ""overlapping shapes/colors/lines""",merged,overlapping shapes/colors/lines
dense/cluttered layout,10,6,Data Density / Image Clutter,MERGED (manual group),-,Visual Clutter & Overlap,"Step 1: merged into ""overlapping shapes/colors/lines""",merged,overlapping shapes/colors/lines
readability,10,5,Semantics / Text Legibility,MERGED (manual group),-,Typography & Readability,"Step 1: merged into ""word rotation/small font size""",merged,word rotation/small font size
more to read/analyze/understand,10,4,Data Density / Image Clutter | Immediacy / Cognitive Load,MERGED (manual group),-,Processing Time & Effort,"Step 1: merged into ""take longer to interpret""",merged,take longer to interpret
"a specific technique, e.g., bar, pie, circle",10,6,Schema,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
low color contrast/separation/segmentation,10,6,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color contrast/clarity""",merged,color contrast/clarity
unclear coloring,10,6,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color contrast/clarity""",merged,color contrast/clarity
amount of / too many colors,9,5,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
many points/lines/shapes/elements,9,6,Data Density / Image Clutter,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
fine/layered details,9,7,Data Density / Image Clutter,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
clear title/axis/label,9,5,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
color shading,9,6,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
different font/word sizes/structure,9,3,Semantics / Text Legibility,MERGED (manual group),-,Typography & Readability,"Step 1: merged into ""word rotation/small font size""",merged,word rotation/small font size
easier to process/visualize,9,4,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
more complicated,9,5,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
unclear meaning,8,5,Visual Encoding Clarity,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
shape size variation,8,5,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
more title/axis/label,8,5,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
no measurement/metric/axis,7,6,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
black-to-white/color gradient,7,5,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
shape variety,7,5,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
curves and shapes,7,6,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
complicated to process,7,5,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
intuitive,7,5,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
hard to see/tell/visualize,7,6,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
hard to compare/discern/distinguish,7,5,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
dense points/lines/shapes/elements,7,7,Data Density / Image Clutter,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
too much data/info,7,6,Data Density / Image Clutter,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
not intuitive/simple data,6,4,Immediacy / Cognitive Load,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
many/more data/info,6,4,Data Density / Image Clutter,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
no context or reference,6,5,Schema,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
element sizes,6,3,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
simple to interpret/read/understand,6,3,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
organized/structured,6,5,Data Density / Image Clutter,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
unclear relation between words,6,5,Semantics / Text Legibility,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
unclear what data conveys,6,5,Visual Encoding Clarity,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
hard to identify/extract/find features,6,3,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
a specific domain,5,3,Schema,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
good color contrast/separation/segmentation,5,4,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color contrast/clarity""",merged,color contrast/clarity
no clear indication,5,2,Visual Encoding Clarity,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
ambiguous/confusing colors,5,4,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color contrast/clarity""",merged,color contrast/clarity
color scale/scheme,5,4,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
hard to focus/follow,5,4,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
visual clarity/appealing,5,4,Aesthetics Uncertainty,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
indistinguishable/unintuitive lines,5,5,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
more effort/reading/detailed analysis,5,3,Immediacy / Cognitive Load,MERGED (manual group),-,Processing Time & Effort,"Step 1: merged into ""take longer to interpret""",merged,take longer to interpret
too many details/divisions,5,4,Data Density / Image Clutter,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
too many colors,5,3,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
unclear shape meaning,4,3,Visual Encoding Clarity,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
clear indication,4,4,Visual Encoding Clarity,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
attention/squinting to understand,4,3,Immediacy / Cognitive Load,MERGED (manual group),-,Processing Time & Effort,"Step 1: merged into ""take longer to interpret""",merged,take longer to interpret
easier to see/tell/visualize,4,3,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
straight lines,4,4,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
more difficult to compare/discern/distinguish,4,4,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
code/text,3,3,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
color dimension,3,3,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
easy to focus/follow,3,3,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
easier to read,3,3,Semantics / Text Legibility,MERGED (manual group),-,Typography & Readability,"Step 1: merged into ""word rotation/small font size""",merged,word rotation/small font size
easy to understand,3,3,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
provokes thought and understanding,3,3,Immediacy / Cognitive Load,MERGED (manual group),-,Processing Time & Effort,"Step 1: merged into ""take longer to interpret""",merged,take longer to interpret
color keys,3,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
too many points/lines/shapes/elements,3,1,Data Density / Image Clutter,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
confusing connection,3,1,Visual Encoding Clarity,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
curved lines,3,2,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
text and imagery,3,3,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
spatial organization,3,2,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
more contrast,3,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color contrast/clarity""",merged,color contrast/clarity
more difficult,3,3,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
more forms,3,1,Visual Encoding Clarity,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
few points/lines/shapes/elements,3,3,Data Density / Image Clutter,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
many numbers,3,3,Data Density / Image Clutter,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
information nuance expressed,3,3,Visual Encoding Clarity,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
less attractive,3,3,Aesthetics Uncertainty,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
legend easy to understand,3,3,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
intense/too many colors,3,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
less intuitive,3,3,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
appealing colors,3,3,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
unreadable,2,2,Semantics / Text Legibility,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
black color,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
bars as individual lines,2,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
blue color,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
involves numbers,2,2,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
intersecting lines,2,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
information overload,2,1,Immediacy / Cognitive Load,MERGED (manual group),-,Visual Clutter & Overlap,"Step 1: merged into ""overlapping shapes/colors/lines""",merged,overlapping shapes/colors/lines
irregular,2,2,Aesthetics Uncertainty,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
value and graphic alignment,2,2,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
visually stimulating  texture/colors,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Symbols & Texture,"Step 1: merged into ""symbols""",merged,symbols
label meaning,2,2,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
large dataset,2,2,Data Density / Image Clutter,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
lack of meaning,2,2,Semantics / Text Legibility,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
lack of legend,2,2,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
indicating symbols,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Symbols & Texture,"Step 1: merged into ""symbols""",merged,symbols
nonlinearity,2,1,Visual Encoding Clarity,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
not easily understood,2,2,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
multiple aspects,2,2,Visual Encoding Clarity,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
more numbers,2,2,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
more colors,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
more nuance information,2,2,Visual Encoding Clarity,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
more intricate,2,2,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
more interpretable/readable/understandable,2,2,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
more uniform design,2,2,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
hard to measure/model,2,1,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
hard to describe,2,2,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
hard to read,2,1,Semantics / Text Legibility,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
explanation text,2,2,Semantics / Text Legibility,MERGED (manual group),-,Typography & Readability,"Step 1: merged into ""word rotation/small font size""",merged,word rotation/small font size
fast readability,2,2,Semantics / Text Legibility,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
no detail,2,2,Visual Encoding Clarity,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
convoluted composition,2,2,Aesthetics Uncertainty,MERGED (manual group),-,Visual Clutter & Overlap,"Step 1: merged into ""overlapping shapes/colors/lines""",merged,overlapping shapes/colors/lines
data trend,2,2,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
technical encoding,2,2,Visual Encoding Clarity,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
text hard to read,2,2,Semantics / Text Legibility,MERGED (manual group),-,Typography & Readability,"Step 1: merged into ""word rotation/small font size""",merged,word rotation/small font size
