VisType,topic,original_phrase,image_count,humanCurated_phrase,final_subtopic_phrase
Area,Immediacy / Cognitive Load,easy to focus/follow,1,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,easy to interpret/read/understand,14,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,easy to understand,1,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,hard to compare/discern/distinguish,2,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,hard to identify/extract/find features,3,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,hard to interpret/read/understand,2,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,hard to interpret/read/understand/differentiate,2,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,hard to see/tell/visualize,1,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,intuitive,2,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,less clear,1,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,low readability,1,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,more complicated,2,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,more difficult,1,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,more difficult to interpret/read/understand/differentiate,4,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,not interpretable/readable/understandable,2,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,simple to interpret/read/understand,2,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,not intuitive/simple data,2,distracting/confusing/unclear,distracting/confusing/unclear
Area,Schema,a specific technique,3,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Area,Schema,"domain-specific concepts (e.g., chemical, biology, map)",12,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Area,Schema,familiar representation,7,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Area,Schema,no context or reference,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Area,Schema,unfamiliar concepts/patterns,7,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Area,Schema,abstract shapes or colors,1,abstract shapes or colors,abstract shapes or colors
Area,Schema,2D/3D,1,2D/3D,2D/3D
Area,Semantics / Text Legibility,different font/word sizes/structure,1,word rotation/small font size,word rotation/small font size
Area,Semantics / Text Legibility,easier to read,1,word rotation/small font size,word rotation/small font size
Area,Semantics / Text Legibility,explanation text,1,word rotation/small font size,word rotation/small font size
Area,Semantics / Text Legibility,readability,3,word rotation/small font size,word rotation/small font size
Area,Semantics / Text Legibility,small and simple,1,word rotation/small font size,word rotation/small font size
Area,Semantics / Text Legibility,word rotation/small font size,5,word rotation/small font size,word rotation/small font size
Area,Semantics / Text Legibility,almost no explanation,1,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,axis numbers,1,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,clear title/axis/label,3,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,explanatory legend,1,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,lack of/not enough axis labels/legend/annotations/context,5,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,legend easy to understand,1,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,legend on the top,1,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,many legend categories,1,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,more title/axis/label,2,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,no measurement/metric,1,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,no measurement/metric/axis,1,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,number of legend items,1,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,title/axis/label/descriptions,3,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,too much legend,3,labels/axes/legends,labels/axes/legends
Area,Semantics / Text Legibility,description easy to read,1,easy/hard to interpret,easy/hard to interpret
Area,Semantics / Text Legibility,amount of words/context/numbers,4,amount of words/context/numbers,amount of words/context/numbers
Area,Semantics / Text Legibility,more texts/words,3,amount of words/context/numbers,amount of words/context/numbers
Area,Semantics / Text Legibility,word/text/sentence,1,amount of words/context/numbers,amount of words/context/numbers
Area,Semantics / Text Legibility,frame with values,1,2D/3D,2D/3D
Area,Semantics / Text Legibility,-,1,-,
Area,Semantics / Text Legibility,clear text arrangement/density,1,clear text arrangement/density,
Area,Semantics / Text Legibility,clear text/scale/information,2,clear text/scale/information,
Area,Semantics / Text Legibility,little/less text/numbers/context,1,little/less text/numbers/context,
Area,Visual Encoding Clarity,understand/read shapes,1,understand/read shapes,understand/read shapes
Area,Visual Encoding Clarity,clear indication,1,unclear meaning/confusing,unclear meaning/confusing
Area,Visual Encoding Clarity,unclear meaning,1,unclear meaning/confusing,unclear meaning/confusing
Area,Visual Encoding Clarity,unclear what data conveys,1,unclear meaning/confusing,unclear meaning/confusing
Area,Visual Encoding Clarity,curves and shapes,2,shapes and lines,shapes and lines
Area,Visual Encoding Clarity,length,1,shapes and lines,shapes and lines
Area,Visual Encoding Clarity,shape size variation,2,shapes and lines,shapes and lines
Area,Visual Encoding Clarity,shape variety,1,shapes and lines,shapes and lines
Area,Visual Encoding Clarity,shapes,1,shapes and lines,shapes and lines
Area,Visual Encoding Clarity,shapes and lines,2,shapes and lines,shapes and lines
Area,Visual Encoding Clarity,shapes varied,1,shapes and lines,shapes and lines
Area,Visual Encoding Clarity,size decreasing,2,shapes and lines,shapes and lines
Area,Visual Encoding Clarity,complex design,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Area,Visual Encoding Clarity,multi-year information,1,much/little data/info,much/little data/info
Area,Visual Encoding Clarity,more forms,3,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Area,Visual Encoding Clarity,graphical information,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Area,Visual Encoding Clarity,mismatched number-circle proportion,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Area,Visual Encoding Clarity,multivariate,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Area,Visual Encoding Clarity,nonlinearity,2,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Area,Visual Encoding Clarity,clear connection,1,distracting/confusing/unclear,distracting/confusing/unclear
Area,Visual Encoding Clarity,clear colors/shapes,1,clear colors/shapes,clear colors/shapes
Area,Visual Encoding Clarity,data trend,1,2D/3D,2D/3D
Area,Visual Encoding Clarity,spatial organization,2,2D/3D,2D/3D
Area,Visual Encoding Clarity,value and graphic alignment,1,2D/3D,2D/3D
Area,Visual Encoding Clarity,value representation,1,2D/3D,2D/3D
Area,Visual Encoding Clarity,regions,1,more regions/space,
Area,Visual Encoding Clarity,scale difference,1,scale difference,
Area,Visual Encoding Clarity,several elements,1,several elements,
Area,Visual Encoding Clarity,shape point of interest,1,shape point of interest,
Area,Visual Encoding Clarity,shape size,1,shape size,
Area,Visual Encoding Clarity,shape variation,1,shape variation,
Area,Visual Encoding Clarity,simple visual elements,1,simple visual elements,
Bar,Aesthetics Uncertainty,unclear colors/contrast,1,unclear colors/contrast,unclear colors/contrast
Bar,Aesthetics Uncertainty,distracting/confusing/unclear,1,distracting/confusing/unclear,distracting/confusing/unclear
Bar,Aesthetics Uncertainty,looks random/messy/lack structure,1,distracting/confusing/unclear,distracting/confusing/unclear
Bar,"Color, Symbol, and Texture Details",unclear meaning/confusing,1,unclear meaning/confusing,unclear meaning/confusing
Bar,"Color, Symbol, and Texture Details",black-to-white/color gradient,1,color variety/shading,color variety/shading
Bar,"Color, Symbol, and Texture Details",clearer coloring,1,color variety/shading,color variety/shading
Bar,"Color, Symbol, and Texture Details",color dimension,1,color variety/shading,color variety/shading
Bar,"Color, Symbol, and Texture Details",color represents groups,1,color variety/shading,color variety/shading
Bar,"Color, Symbol, and Texture Details",color shading,1,color variety/shading,color variety/shading
Bar,"Color, Symbol, and Texture Details",color variety/arrangement/distribution,7,color variety/shading,color variety/shading
Bar,"Color, Symbol, and Texture Details",colored bars/charts,1,color variety/shading,color variety/shading
Bar,"Color, Symbol, and Texture Details",more colors,1,color variety/shading,color variety/shading
Bar,"Color, Symbol, and Texture Details",salient colors,1,color variety/shading,color variety/shading
Bar,"Color, Symbol, and Texture Details",ambiguous/confusing colors,1,color contrast/clarity,color contrast/clarity
Bar,"Color, Symbol, and Texture Details",good color contrast/separation/segmentation,1,color contrast/clarity,color contrast/clarity
Bar,"Color, Symbol, and Texture Details",lack of color contrast / hard to distinguish colors,1,color contrast/clarity,color contrast/clarity
Bar,"Color, Symbol, and Texture Details",unclear colormaps,2,color contrast/clarity,color contrast/clarity
Bar,"Color, Symbol, and Texture Details",distinguishable/full color uses,1,distinguishable/full/highly contrast color uses,
Bar,"Color, Symbol, and Texture Details",soft/layered/overlapping colors,1,soft/layered/overlapping colors,
Bar,"Color, Symbol, and Texture Details",two colors,1,two colors,
Bar,Data Density / Image Clutter,dense/cluttered data/info,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Bar,Data Density / Image Clutter,dense/cluttered layout,2,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Bar,Data Density / Image Clutter,little data/info,2,much/little data/info,much/little data/info
Bar,Data Density / Image Clutter,more detailed/things,3,much/little data/info,much/little data/info
Bar,Data Density / Image Clutter,much/more data/info/info spread,8,much/little data/info,much/little data/info
Bar,Data Density / Image Clutter,dense points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Bar,Data Density / Image Clutter,more charts/points/lines/shapes/elements,9,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Bar,Data Density / Image Clutter,multiple features/elements/graphs,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Bar,Immediacy / Cognitive Load,unclear meaning/confusing,2,unclear meaning/confusing,unclear meaning/confusing
Bar,Immediacy / Cognitive Load,attention/squinting to understand,1,take longer to interpret,take longer to interpret
Bar,Immediacy / Cognitive Load,more effort/reading/detailed analysis,1,take longer to interpret,take longer to interpret
Bar,Immediacy / Cognitive Load,more reading/interpretation/understanding,4,take longer to interpret,take longer to interpret
Bar,Immediacy / Cognitive Load,more to read/analyze/understand,2,take longer to interpret,take longer to interpret
Bar,Immediacy / Cognitive Load,provokes thought and understanding,1,take longer to interpret,take longer to interpret
Bar,Immediacy / Cognitive Load,take longer to interpret,1,take longer to interpret,take longer to interpret
Bar,Immediacy / Cognitive Load,complicated to process,1,easy/hard to interpret,easy/hard to interpret
Bar,Immediacy / Cognitive Load,easier to interpret/read/understand,2,easy/hard to interpret,easy/hard to interpret
Bar,Immediacy / Cognitive Load,easier to see/tell/visualize,1,easy/hard to interpret,easy/hard to interpret
Bar,Immediacy / Cognitive Load,easy to interpret/read/understand,9,easy/hard to interpret,easy/hard to interpret
Bar,Immediacy / Cognitive Load,easy to understand,1,easy/hard to interpret,easy/hard to interpret
Bar,Immediacy / Cognitive Load,hard to describe,1,easy/hard to interpret,easy/hard to interpret
Bar,Immediacy / Cognitive Load,hard to interpret/read/understand,4,easy/hard to interpret,easy/hard to interpret
Bar,Immediacy / Cognitive Load,more complicated,1,easy/hard to interpret,easy/hard to interpret
Bar,Immediacy / Cognitive Load,more difficult to compare/discern/distinguish,1,easy/hard to interpret,easy/hard to interpret
Bar,Immediacy / Cognitive Load,more difficult to interpret/read/understand/differentiate,2,easy/hard to interpret,easy/hard to interpret
Bar,Immediacy / Cognitive Load,not interpretable/readable/understandable,3,easy/hard to interpret,easy/hard to interpret
Bar,Immediacy / Cognitive Load,simple to interpret/read/understand,2,easy/hard to interpret,easy/hard to interpret
Bar,Schema,"a specific technique, e.g., bar, pie, circle",5,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Bar,Schema,familiar representation,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Bar,Schema,unique,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Bar,Semantics / Text Legibility,description,1,word rotation/small font size,word rotation/small font size
Bar,Semantics / Text Legibility,word misoriented,1,word rotation/small font size,word rotation/small font size
Bar,Semantics / Text Legibility,unclear relation between words,1,unclear meaning/confusing,unclear meaning/confusing
Bar,Semantics / Text Legibility,clear title/axis/label,2,labels/axes/legends,labels/axes/legends
Bar,Semantics / Text Legibility,lack of/not enough axis labels/legend/annotations/context,3,labels/axes/legends,labels/axes/legends
Bar,Semantics / Text Legibility,legend easy to understand,1,labels/axes/legends,labels/axes/legends
Bar,Semantics / Text Legibility,more title/axis/label,1,labels/axes/legends,labels/axes/legends
Bar,Semantics / Text Legibility,title/axis/label/descriptions,5,labels/axes/legends,labels/axes/legends
Bar,Semantics / Text Legibility,too much legend,1,labels/axes/legends,labels/axes/legends
Bar,Semantics / Text Legibility,description easy to read,1,easy/hard to interpret,easy/hard to interpret
Bar,Semantics / Text Legibility,easy to read,1,easy/hard to interpret,easy/hard to interpret
Bar,Semantics / Text Legibility,amount of words/context/numbers,3,amount of words/context/numbers,amount of words/context/numbers
Bar,Semantics / Text Legibility,more texts/words,1,amount of words/context/numbers,amount of words/context/numbers
Bar,Semantics / Text Legibility,more labels/context,1,more labels/context,
Bar,Visual Encoding Clarity,unclear shape meaning,1,unclear meaning/confusing,unclear meaning/confusing
Bar,Visual Encoding Clarity,unclear what data conveys,1,unclear meaning/confusing,unclear meaning/confusing
Bar,Visual Encoding Clarity,bars as individual lines,1,shapes and lines,shapes and lines
Bar,Visual Encoding Clarity,curves and shapes,1,shapes and lines,shapes and lines
Bar,Visual Encoding Clarity,horizontal bars,1,shapes and lines,shapes and lines
Bar,Visual Encoding Clarity,length variation,1,shapes and lines,shapes and lines
Bar,Visual Encoding Clarity,shape arrangement,1,shapes and lines,shapes and lines
Bar,Visual Encoding Clarity,shapes,1,shapes and lines,shapes and lines
Bar,Visual Encoding Clarity,shapes and lines,2,shapes and lines,shapes and lines
Bar,Visual Encoding Clarity,size,1,shapes and lines,shapes and lines
Bar,Visual Encoding Clarity,straight lines,1,shapes and lines,shapes and lines
Bar,Visual Encoding Clarity,mixed timeline,1,much/little data/info,much/little data/info
Bar,Visual Encoding Clarity,infomration representation,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Bar,Visual Encoding Clarity,change over time,1,color variety/shading,color variety/shading
Bar,Visual Encoding Clarity,crop production shown,1,color variety/shading,color variety/shading
Bar,Visual Encoding Clarity,clear colors/shapes,1,clear colors/shapes,clear colors/shapes
Bar,Visual Encoding Clarity,2D/3D,1,2D/3D,2D/3D
Bar,Visual Encoding Clarity,design-data relationship,1,design-data relationship,
Bar,Visual Encoding Clarity,scale difference,1,scale difference,
Cont.-ColorPatn,Aesthetics Uncertainty,unclear colors/contrast,3,unclear colors/contrast,unclear colors/contrast
Cont.-ColorPatn,Aesthetics Uncertainty,distracting/confusing/unclear,3,distracting/confusing/unclear,distracting/confusing/unclear
Cont.-ColorPatn,Aesthetics Uncertainty,visually striking,1,distracting/confusing/unclear,distracting/confusing/unclear
Cont.-ColorPatn,"Color, Symbol, and Texture Details",indicating symbols,1,symbols,symbols
Cont.-ColorPatn,"Color, Symbol, and Texture Details",visually stimulating  texture/colors,1,symbols,symbols
Cont.-ColorPatn,"Color, Symbol, and Texture Details",less negative space,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Cont.-ColorPatn,"Color, Symbol, and Texture Details",more pixels,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Cont.-ColorPatn,"Color, Symbol, and Texture Details",hard to distinguish colors,1,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,"Color, Symbol, and Texture Details",amount of / too many colors,2,color variety/shading,color variety/shading
Cont.-ColorPatn,"Color, Symbol, and Texture Details",black-to-white/color gradient,2,color variety/shading,color variety/shading
Cont.-ColorPatn,"Color, Symbol, and Texture Details",blended colors,1,color variety/shading,color variety/shading
Cont.-ColorPatn,"Color, Symbol, and Texture Details",color hues,1,color variety/shading,color variety/shading
Cont.-ColorPatn,"Color, Symbol, and Texture Details",color scale/scheme,2,color variety/shading,color variety/shading
Cont.-ColorPatn,"Color, Symbol, and Texture Details",color shading,1,color variety/shading,color variety/shading
Cont.-ColorPatn,"Color, Symbol, and Texture Details",color variety/arrangement/distribution,11,color variety/shading,color variety/shading
Cont.-ColorPatn,"Color, Symbol, and Texture Details",colored surface,1,color variety/shading,color variety/shading
Cont.-ColorPatn,"Color, Symbol, and Texture Details",separate color scales,1,color variety/shading,color variety/shading
Cont.-ColorPatn,"Color, Symbol, and Texture Details",lack of color contrast / hard to distinguish colors,2,color contrast/clarity,color contrast/clarity
Cont.-ColorPatn,"Color, Symbol, and Texture Details",low color contrast/separation/segmentation,2,color contrast/clarity,color contrast/clarity
Cont.-ColorPatn,"Color, Symbol, and Texture Details",separate values by color to show differences,1,color contrast/clarity,color contrast/clarity
Cont.-ColorPatn,"Color, Symbol, and Texture Details",unclear color meaning,1,color contrast/clarity,color contrast/clarity
Cont.-ColorPatn,"Color, Symbol, and Texture Details",unclear coloring,1,color contrast/clarity,color contrast/clarity
Cont.-ColorPatn,"Color, Symbol, and Texture Details",unclear colormaps,5,color contrast/clarity,color contrast/clarity
Cont.-ColorPatn,"Color, Symbol, and Texture Details",blurry colors/images,2,blurry colors/images,
Cont.-ColorPatn,"Color, Symbol, and Texture Details",distinguishable/full/highly contrast color uses,1,distinguishable/full/highly contrast color uses,
Cont.-ColorPatn,Data Density / Image Clutter,messy/mixed up/noisy/intermingled elements,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Cont.-ColorPatn,Data Density / Image Clutter,overlapping shapes/colors/lines,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Cont.-ColorPatn,Data Density / Image Clutter,fine/layered details,1,much/little data/info,much/little data/info
Cont.-ColorPatn,Data Density / Image Clutter,less detailed/things,1,much/little data/info,much/little data/info
Cont.-ColorPatn,Data Density / Image Clutter,more detailed/things,4,much/little data/info,much/little data/info
Cont.-ColorPatn,Data Density / Image Clutter,much/more data/info/info spread,4,much/little data/info,much/little data/info
Cont.-ColorPatn,Data Density / Image Clutter,dense points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Cont.-ColorPatn,Data Density / Image Clutter,more charts/points/lines/shapes/elements,9,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Cont.-ColorPatn,Data Density / Image Clutter,multiple features/elements/graphs,2,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Cont.-ColorPatn,Data Density / Image Clutter,organized/structured,1,2D/3D,2D/3D
Cont.-ColorPatn,Data Density / Image Clutter,more regions/space,1,more regions/space,
Cont.-ColorPatn,Immediacy / Cognitive Load,unclear meaning/confusing,3,unclear meaning/confusing,unclear meaning/confusing
Cont.-ColorPatn,Immediacy / Cognitive Load,attention/squinting to understand,1,take longer to interpret,take longer to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,require specialized knowledge,1,take longer to interpret,take longer to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,take longer to interpret,1,take longer to interpret,take longer to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,easy to interpret/read/understand,3,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,hard to compare/discern/distinguish,1,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,hard to focus/follow,1,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,hard to identify/extract/find features,2,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,hard to interpret/read/understand,1,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,hard to interpret/read/understand/differentiate,1,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,hard to measure/model,2,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,less understandable,1,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,more difficult to compare/discern/distinguish,1,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,more difficult to interpret/read/understand/differentiate,2,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,not easily understood,1,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,not interpretable/readable/understandable,4,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Immediacy / Cognitive Load,more difficult to focus/follow,1,more difficult to focus/follow,
Cont.-ColorPatn,Schema,not enough knowledge to tell,1,take longer to interpret,take longer to interpret
Cont.-ColorPatn,Schema,a specific technique,2,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Cont.-ColorPatn,Schema,"a specific technique, e.g., bar, pie, circle",1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Cont.-ColorPatn,Schema,"domain-specific concepts (e.g., chemical, biology, map)",3,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Cont.-ColorPatn,Schema,familiar representation,2,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Cont.-ColorPatn,Schema,no context or reference,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
